,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
119,Yes,Not employed,,,Yes,Yes
120,Yes,Not employed,,,Yes,Yes
121,Yes,Not employed,,,Yes,Yes
122,Yes,Not employed,,,Yes,Yes
123,Yes,Employed Full Time,2019-05-01,,Yes,Yes
124,Yes,Not employed,,,Yes,Yes
125,Yes,Not employed,,,Yes,Yes
126,Yes,Not employed,,,Yes,Yes
127,Yes,Not employed,,,Yes,Yes
128,Yes,Not employed,,,Yes,Yes
129,Yes,Not employed,,,Yes,Yes
130,Yes,Employed Full Time,2019-06-03,,Yes,Yes
131,Yes,Not employed,,,Yes,Yes
132,Yes,Not employed,,,Yes,Yes
133,No,Not employed,,No,Yes,Yes
134,Yes,Employed Part Time,2016-09-30,Yes,Yes,Yes
135,Yes,Employed Part Time,2013-11-16,Yes,Yes,Yes
136,Yes,Not employed,,Yes,Yes,Yes
137,Yes,Not employed,,No,Yes,Yes
138,Yes,Not employed,,Yes,Yes,Yes
139,Yes,Not employed,,No,Yes,Yes
140,Yes,Employed Full Time,2019-04-30,No,Yes,Yes
141,Yes,Not employed,,No,Yes,Yes
142,Yes,Employed Full Time,2016-08-08,Yes,Yes,Yes
143,Yes,Not employed,,No,Yes,Yes
144,Yes,Not employed,,No,Yes,No
145,No,Employed Full Time,2018-07-30,Yes,Yes,No
146,No,Not employed,,No,Yes,No
147,No,Employed Full Time,2019-06-24,No,Yes,No
148,Yes,Not employed,,,Yes,No
149,Yes,Not employed,,,Yes,No
150,Yes,Not employed,,,Yes,No
151,Yes,Not employed,,,Yes,No
152,Yes,Not employed,,No,Yes,No
153,Yes,Not employed,,No,Yes,No
154,Yes,Not employed,,No,Yes,No
155,Yes,Not employed,,No,Yes,No
156,Yes,Not employed,,No,Yes,No
157,Yes,Not employed,,No,Yes,No
158,Yes,Not employed,,No,Yes,No
159,Yes,Employed Full Time,2019-05-15,Yes,Yes,No
160,Yes,Not employed,,No,Yes,No
161,Yes,Not employed,,Yes,Yes,No
162,Yes,Not employed,,No,Yes,No
163,Yes,Not employed,,No,Yes,No
164,Yes,Not employed,,No,Yes,No
165,Yes,Not employed,,No,Yes,No
166,Yes,Not employed,,No,Yes,No
167,Yes,Not employed,,No,Yes,No
168,Yes,Not employed,,Yes,Yes,No
169,Yes,Not employed,,No,Yes,No
170,Yes,Not employed,,Yes,Yes,No
171,Yes,Not employed,,No,Yes,No
172,Yes,Employed Full Time,2019-04-22,Yes,Yes,No
173,Yes,Not employed,,No,Yes,No
174,Yes,Not employed,,No,Yes,No
175,Yes,Not employed,,No,Yes,No
176,Yes,Employed Part Time,2019-05-07,Yes,Yes,No
177,Yes,Not employed,,No,Yes,No
178,Yes,Not employed,,No,Yes,No
179,Yes,Not employed,,No,Yes,No
180,Yes,Not employed,,Yes,Yes,No
181,Yes,Not employed,,No,Yes,No
