employmentid,accessemployment,employmentstatus,employmentstartdate,to_timestamp_from_excel,employmentstartdate
351,No,Employed Part Time,42107,2015-04-13 00:00:00,4/13/2015
352,Yes,,,,
353,No,Employed Full Time,,,
354,Yes,,,,
355,No,Employed Part Time,42353,2015-12-15 00:00:00,12/15/2015
356,Yes,,,,
357,Yes,,,,
358,No,,,,
359,Yes,,,,
360,Yes,Employed Part Time,,,
361,Yes,,,,
362,Yes,,,,
363,Yes,,,,
364,Yes,Employed Full Time,42445,2016-03-16 00:00:00,3/16/2016
365,No,,,,
366,Yes,,,,
367,Yes,,,,
368,Yes,,,,
369,Yes,,,,
370,Yes,,,,
371,Yes,,,,
372,Yes,,,,
373,No,Employed Full Time,,,
374,Yes,,,,
375,No,Employed Part Time,41281,2013-01-07 00:00:00,1/7/2013
376,No,,,,
377,Yes,,,,
378,Yes,,,,
379,No,Employed Full Time,42405,2016-02-05 00:00:00,2/5/2016
380,No,Employed Full Time,42405,2016-02-05 00:00:00,2/5/2016
381,No,Employed Full Time,,,
382,Yes,,,,
383,Yes,,,,
384,Yes,,,,
385,Yes,,,,
386,No,,,,
387,No,Employed Full Time,42032,2015-01-28 00:00:00,1/28/2015
388,Yes,,,,
389,Yes,,,,
390,No,Employed Full Time,,,
391,Yes,,,,
392,Yes,,,,
393,Yes,,,,
394,Yes,,,,
395,Yes,,,,
396,No,Employed Full Time,,,
397,Yes,,,,
398,Yes,,,,
399,Yes,,,,
400,No,,,,
401,Yes,,,,
402,Yes,,,,
403,Yes,,,,
404,Yes,,,,
405,Yes,,,,
406,No,Employed Full Time,,,
407,Yes,,,,
408,Yes,Employed Part Time,,,
409,Yes,Employed Part Time,42156,2015-06-01 00:00:00,6/1/2015
410,No,,,,
411,No,,,,
412,No,,,,
413,Yes,,,,
414,Yes,,,,
415,Yes,,,,
416,Yes,,,,
417,No,Employed Full Time,,,
418,Yes,Employed Part Time,,,
419,Yes,,,,
420,No,,,,
421,Yes,,,,
422,Yes,,,,
423,Yes,,,,
424,No,Employed Full Time,,,
425,Yes,,,,
426,Yes,,,,
427,No,Employed Full Time,,,
428,No,Employed Full Time,,,
429,No,,,,
430,Yes,,,,
431,Yes,,,,
432,No,Employed Full Time,,,
433,No,Employed Full Time,,,
434,Yes,,,,
435,Yes,,,,
436,No,,,,
437,Yes,,,,
438,No,,,,
439,No,,,,
440,Yes,,,,
441,No,,,,
442,Yes,Employed Full Time,,,
443,No,,,,
444,No,,,,
445,Yes,,,,
446,Yes,,,,
447,Yes,,,,
448,Yes,,,,
449,Yes,,,,
450,No,Employed Full Time,,,
451,Yes,,,,
452,Yes,,,,
453,Yes,,,,
454,Yes,,,,
455,Yes,,,,
456,No,Employed Full Time,,,
457,No,Employed Full Time,,,
458,No,,,,
459,Yes,,,,
460,Yes,,,,
461,Yes,,,,
462,No,,,,
463,No,Employed Full Time,,,
464,Yes,,,,
465,No,,,,
466,Yes,,,,
467,Yes,,,,
468,Yes,,,,
469,Yes,,,,
470,Yes,,,,
471,Yes,,,,
472,Yes,,,,
473,Yes,,,,
474,No,,,,
475,Yes,,,,
476,Yes,,,,
477,No,Employed Full Time,,,
478,No,Employed Part Time,,,
479,Yes,,,,
480,Yes,,,,
481,Yes,,,,
482,Yes,,,,
483,Yes,,,,
484,No,,,,
485,Yes,,,,
486,No,,,,
487,Yes,,,,
488,Yes,,,,
489,Yes,,,,
490,No,,,,
491,No,,,,
492,Yes,,,,
493,Yes,,,,
494,Yes,,,,
495,Yes,,,,
496,Yes,Employed Full Time,,,
497,Yes,,,,
498,Yes,Employed Full Time,42382,2016-01-13 00:00:00,1/13/2016
499,Yes,Employed Part Time,,,
500,Yes,,,,
501,Yes,,,,
502,No,Employed Full Time,,,
503,No,,,,
504,Yes,,,,
505,Yes,,,,
506,Yes,,,,
507,Yes,,,,
508,Yes,,,,
509,Yes,Employed Part Time,,,
510,Yes,,,,
511,Yes,,,,
512,Yes,,,,
513,Yes,,,,
514,Yes,,,,
515,No,Employed Full Time,,,
516,Yes,Employed Part Time,42520,2016-05-30 00:00:00,5/30/2016
517,Yes,,,,
518,Yes,,,,
519,Yes,,,,
520,Yes,,,,
521,Yes,Employed Full Time,42954,2017-08-07 00:00:00,8/7/2017
522,Yes,,,,
523,Yes,,,,
524,Yes,,,,
525,Yes,,,,
526,No,Employed Full Time,,,
527,Yes,,,,
528,Yes,,,,
529,Yes,Employed Part Time,42506,2016-05-16 00:00:00,5/16/2016
530,No,,,,
531,Yes,,,,
532,No,Not employed,,,
533,Yes,,,,
534,Yes,,,,
535,Yes,,,,
536,Yes,,,,
537,Yes,,,,
538,Yes,,,,
539,Yes,,,,
540,Yes,,,,
541,No,,,,
542,No,,,,
543,No,,,,
544,Yes,,,,
545,Yes,Employed Full Time,42689,2016-11-15 00:00:00,11/15/2016
546,No,Employed Part Time,,,
547,No,,,,
548,Yes,,,,
549,No,,,,
550,No,,,,
551,Yes,,,,
552,No,,,,
553,Yes,,,,
554,Yes,,,,
555,Yes,,,,
556,Yes,,,,
557,Yes,,,,
558,Yes,,,,
559,Yes,,,,
560,Yes,,,,
561,Yes,Employed Full Time,42611,2016-08-29 00:00:00,8/29/2016
562,No,,,,
563,No,,,,
564,No,Employed Part Time,,,
565,Yes,,,,
566,No,Employed Full Time,,,
567,Yes,,,,
568,Yes,,,,
569,Yes,,,,
570,Yes,,,,
571,Yes,,,,
572,Yes,,,,
573,No,Employed Full Time,,,
574,Yes,,,,
575,Yes,,,,
576,Yes,,,,
577,Yes,,,,
578,Yes,,,,
579,No,,,,
580,Yes,,,,
581,Yes,,,,
582,Yes,,,,
583,No,Employed Full Time,,,
584,Yes,,,,
585,No,,,,
586,Yes,,,,
587,No,,,,
588,No,,,,
589,No,Employed Full Time,,,
590,No,Employed Full Time,,,
591,Yes,,,,
592,No,Employed Full Time,,,
593,Yes,Employed Full Time,,,
594,Yes,,,,
595,Yes,,,,
596,Yes,,,,
597,No,,,,
598,No,,,,
599,No,Employed Full Time,,,
600,No,Employed Full Time,,,
601,Yes,,,,
602,Yes,Employed Part Time,,,
603,Yes,,,,
604,Yes,,,,
605,No,,,,
606,No,Employed Full Time,,,
607,No,Employed Full Time,,,
608,No,,,,
609,No,Not employed,,,
610,No,,,,
611,Yes,,,,
612,No,Employed Full Time,,,
613,Yes,,,,
614,Yes,,,,
615,Yes,,,,
616,Yes,,,,
617,No,,,,
618,Yes,,,,
619,Yes,,,,
620,No,,,,
621,Yes,Employed Part Time,42628,2016-09-15 00:00:00,9/15/2016
622,Yes,,,,
623,Yes,Employed Full Time,,,
624,No,Employed Part Time,,,
625,No,,,,
626,Yes,,,,
627,Yes,,,,
628,No,Employed Part Time,,,
629,Yes,,,,
630,Yes,,,,
631,No,,,,
632,No,,,,
633,No,,,,
634,No,Employed Part Time,,,
635,No,,,,
636,No,Employed Part Time,,,
637,No,Employed Full Time,,,
638,No,Employed Part Time,,,
639,No,Employed Full Time,,,
640,No,Employed Full Time,,,
641,No,,,,
642,No,,,,
643,Yes,,,,
644,Yes,,,,
645,Yes,,,,
646,Yes,,,,
647,Yes,,,,
648,No,,,,
649,No,Employed Full Time,,,
650,Yes,,,,
651,No,,,,
652,No,Employed Part Time,,,
653,Yes,,,,
654,No,,,,
655,No,,,,
656,No,,,,
657,No,,,,
658,No,Employed Full Time,,,
659,No,,,,
660,No,,,,
661,No,,,,
662,No,,,,
663,No,,,,
664,No,,,,
665,No,,,,
666,No,,,,
667,No,,,,
668,No,Employed Full Time,,,
669,Yes,,,,
670,No,,,,
671,No,,,,
672,No,Employed Full Time,,,
673,No,,,,
674,No,,,,
675,Yes,,,,
676,No,,,,
677,Yes,,,,
678,No,,,,
679,No,,,,
680,No,,,,
681,No,,,,
682,No,Employed Part Time,,,
683,No,,,,
684,No,,,,
685,No,Employed Part Time,,,
686,No,,,,
687,Yes,Employed Part Time,,,
688,No,Employed Part Time,,,
689,No,Employed Full Time,,,
690,Yes,Employed Part Time,,,
691,No,,,,
692,No,Employed Full Time,,,
693,No,Employed Full Time,42711,2016-12-07 00:00:00,12/7/2016
694,Yes,,,,
695,No,Employed Full Time,,,
696,No,,,,
697,No,Employed Full Time,,,
698,No,Employed Part Time,,,
699,No,Employed Part Time,,,
700,No,,,,
701,No,,,,
702,Yes,,,,
703,Yes,Employed Part Time,,,
704,Yes,,,,
705,No,Employed Full Time,,,
706,No,,,,
707,Yes,,,,
708,No,Employed Full Time,,,
709,No,Employed Part Time,,,
710,No,,,,
711,No,Employed Full Time,,,
712,No,Employed Full Time,,,
713,Yes,Employed Full Time,,,
714,No,Employed Part Time,,,
715,No,Employed Full Time,,,
716,No,,,,
717,No,,,,
718,No,,,,
719,Yes,,,,
720,No,Employed Full Time,,,
721,No,,,,
722,Yes,Employed Full Time,,,
723,No,Not employed,,,
724,No,Employed Full Time,,,
725,Yes,,,,
726,No,,,,
727,No,,,,
728,No,Employed Full Time,,,
729,Yes,,,,
730,No,,,,
731,No,,,,
732,Yes,Employed Full Time,,,
733,Yes,,,,
734,No,,,,
735,Yes,,,,
736,No,,,,
737,Yes,,,,
738,No,,,,
739,Yes,,,,
740,No,Employed Full Time,,,
741,No,,,,
742,No,,,,
743,No,,,,
744,No,,,,
745,No,,,,
746,Yes,,,,
747,Yes,,,,
748,Yes,Employed Part Time,,,
749,Yes,,,,
750,Yes,,,,
751,No,,,,
752,Yes,Employed Full Time,42774,2017-02-08 00:00:00,2/8/2017
753,No,,,,
754,Yes,,41061,2012-06-01 00:00:00,6/1/2012
755,No,,,,
756,Yes,,,,
757,Yes,,,,
758,No,,,,
759,No,,,,
760,No,,,,
761,No,,,,
762,Yes,,,,
763,Yes,,,,
764,Yes,,,,
765,No,,,,
766,Yes,,,,
767,Yes,,,,
768,Yes,,,,
769,Yes,,,,
770,Yes,,,,
771,Yes,Employed Part Time,,,
772,Yes,,,,
773,Yes,,,,
774,No,Employed Part Time,,,
775,Yes,,,,
776,No,,,,
777,Yes,,,,
778,Yes,,,,
779,No,,,,
780,No,,,,
781,No,,,,
782,No,Employed Full Time,,,
783,Yes,,,,
784,Yes,,,,
785,No,Employed Full Time,,,
786,No,,,,
787,No,,,,
788,No,,,,
789,No,,,,
790,No,,,,
791,No,Employed Full Time,,,
792,Yes,Employed Full Time,,,
793,Yes,Not employed,,,
794,Yes,,,,
795,No,,,,
796,Yes,,,,
797,Yes,,,,
798,Yes,,,,
799,Yes,Employed Part Time,,,
800,No,Employed Full Time,,,
801,Yes,,,,
802,No,,,,
803,No,,,,
804,No,,,,
805,Yes,Employed Full Time,42860,2017-05-05 00:00:00,5/5/2017
806,No,,,,
807,Yes,,,,
808,No,,,,
809,Yes,,,,
810,Yes,,,,
811,Yes,,,,
812,No,,,,
813,No,Employed Full Time,,,
814,Yes,,,,
815,Yes,,,,
816,No,,,,
817,No,,,,
818,No,,,,
819,No,,,,
820,Yes,,,,
821,Yes,,,,
822,No,Employed Full Time,,,
823,No,,,,
824,No,,,,
825,No,Employed Part Time,42220,2015-08-04 00:00:00,8/4/2015
826,Yes,,,,
827,No,,,,
828,Yes,,,,
829,Yes,Employed Full Time,42292,2015-10-15 00:00:00,10/15/2015
830,Yes,,,,
831,Yes,,,,
832,Yes,Employed Part Time,,,
833,No,,,,
834,No,,,,
835,No,,,,
836,No,,,,
837,No,,,,
838,No,,,,
839,Yes,,,,
840,Yes,Employed Full Time,40709,2011-06-15 00:00:00,6/15/2011
841,Yes,,,,
842,Yes,Not employed,,,
843,Yes,Employed Full Time,42200,2015-07-15 00:00:00,7/15/2015
844,Yes,Not employed,,,
845,Yes,Not employed,,,
846,Yes,Not employed,,,
847,No,Employed Part Time,43017,2017-10-09 00:00:00,10/9/2017
848,Yes,,,,
849,Yes,Employed Part Time,42916,2017-06-30 00:00:00,6/30/2017
850,Yes,Not employed,,,
851,No,Not employed,,,
852,No,,,,
853,Yes,Not employed,,,
854,Yes,Not employed,,,
855,No,Not employed,,,
856,Yes,Employed Full Time,42992,2017-09-14 00:00:00,9/14/2017
857,Yes,Not employed,,,
858,No,Not employed,,,
859,Yes,Not employed,,,
860,Yes,Not employed,,,
861,Yes,Employed Part Time,42983,2017-09-05 00:00:00,9/5/2017
862,No,Employed Full Time,42917,2017-07-01 00:00:00,7/1/2017
863,Yes,Not employed,,,
864,No,Not employed,,,
865,Yes,Not employed,,,
866,No,Employed Part Time,42781,2017-02-15 00:00:00,2/15/2017
867,No,Not employed,,,
868,No,Employed Full Time,42753,2017-01-18 00:00:00,1/18/2017
869,No,Not employed,,,
870,Yes,Not employed,,,
871,Yes,Not employed,,,
872,Yes,Not employed,,,
873,Yes,Employed Full Time,42682,2016-11-08 00:00:00,11/8/2016
874,Yes,,,,
875,Yes,Not employed,,,
876,No,,,,
877,No,Not employed,,,
878,Yes,Not employed,,,
879,No,Not employed,,,
880,Yes,Not employed,,,
881,Yes,Employed Full Time,42935,2017-07-19 00:00:00,7/19/2017
882,Yes,Not employed,,,
883,No,Not employed,,,
884,Yes,Not employed,,,
885,No,Not employed,,,
886,No,Employed Full Time,42445,2016-03-16 00:00:00,3/16/2016
887,Yes,Not employed,,,
888,Yes,Not employed,,,
889,Yes,,1,1900-01-01 00:00:00,1/1/1900
890,Yes,Not employed,,,
891,Yes,Not employed,,,
892,No,Employed Full Time,42445,2016-03-16 00:00:00,3/16/2016
893,Yes,Not employed,,,
894,Yes,Employed Part Time,43009,2017-10-01 00:00:00,10/1/2017
895,No,Not employed,,,
896,Yes,Not employed,,,
897,Yes,Not employed,,,
898,Yes,Not employed,,,
899,Yes,Not employed,,,
900,No,Not employed,,,
901,No,Employed Full Time,43024,2017-10-16 00:00:00,10/16/2017
902,No,Employed Full Time,43009,2017-10-01 00:00:00,10/1/2017
903,Yes,,,,
904,Yes,Not employed,,,
905,Yes,,,,
906,No,Employed Full Time,41232,2012-11-19 00:00:00,11/19/2012
907,Yes,Not employed,,,
908,No,Not employed,,,
909,No,,,,
910,No,Employed Full Time,39138,2007-02-25 00:00:00,2/25/2007
911,Yes,,,,
912,No,Employed Full Time,43112,2018-01-12 00:00:00,1/12/2018
913,No,,,,
914,No,,,,
915,Yes,,,,
916,Yes,,,,
917,No,,,,
918,No,0,1,1900-01-01 00:00:00,1/1/1900
919,No,,,,
920,Yes,,,,
921,No,,,,
922,No,,,,
923,No,Employed Part Time,36010,1998-08-03 00:00:00,8/3/1998
924,Yes,,,,
925,Yes,,,,
926,No,,,,
927,Yes,,,,
928,Yes,,,,
929,Yes,,,,
930,No,Employed Full Time,43054,2017-11-15 00:00:00,11/15/2017
931,No,,,,
932,No,,,,
933,No,,,,
934,No,Employed Full Time,42170,2015-06-15 00:00:00,6/15/2015
935,No,,,,
936,Yes,Employed Full Time,42709,2016-12-05 00:00:00,12/5/2016
937,Yes,,,,
938,Yes,,,,
939,No,,,,
940,No,Employed Full Time,43042,2017-11-03 00:00:00,11/3/2017
941,No,Employed Part Time,42828,2017-04-03 00:00:00,4/3/2017
942,No,Employed Full Time,36285,1999-05-05 00:00:00,5/5/1999
943,Yes,,,,
944,No,,,,
945,No,Employed Full Time,43052,2017-11-13 00:00:00,11/13/2017
946,Yes,,,,
947,Yes,Employed Full Time,42716,2016-12-12 00:00:00,12/12/2016
948,No,,,,
949,No,Employed Part Time,43019,2017-10-11 00:00:00,10/11/2017
950,No,,,,
951,Yes,Employed Full Time,40247,2010-03-10 00:00:00,3/10/2010
952,No,,,,
953,No,,,,
954,No,0,3,1900-01-03 00:00:00,1/3/1900
955,No,,,,
956,Yes,,,,
957,Yes,Employed Full Time,43011,2017-10-03 00:00:00,10/3/2017
958,No,Employed Full Time,43313,2018-08-01 00:00:00,8/1/2018
959,No,,,,
960,No,Employed Full Time,28126,1977-01-01 00:00:00,1/1/1977
961,Yes,,,,
962,No,,,,
963,Yes,,,,
964,Yes,,,,
965,No,Employed Full Time,42660,2016-10-17 00:00:00,10/17/2016
966,No,,,,
967,No,,,,
968,No,Employed Full Time,42107,2015-04-13 00:00:00,4/13/2015
969,No,,,,
970,Yes,,,,
971,Yes,Employed Full Time,37723,2003-04-12 00:00:00,4/12/2003
972,Yes,,,,
973,Yes,,,,
974,No,,,,
975,No,,,,
976,Yes,Employed Full Time,42807,2017-03-13 00:00:00,3/13/2017
977,Yes,Employed Full Time,43082,2017-12-13 00:00:00,12/13/2017
978,Yes,,,,
979,No,Employed Part Time,42807,2017-03-13 00:00:00,3/13/2017
980,No,,,,
981,No,,,,
982,Yes,,,,
983,Yes,,,,
984,No,Employed Full Time,42036,2015-02-01 00:00:00,2/1/2015
985,No,,,,
986,No,Employed Full Time,43102,2018-01-02 00:00:00,1/2/2018
987,Yes,,,,
988,No,Employed Part Time,40603,2011-03-01 00:00:00,3/1/2011
989,No,Employed Full Time,42993,2017-09-15 00:00:00,9/15/2017
990,No,Employed Full Time,43105,2018-01-05 00:00:00,1/5/2018
991,No,,,,
992,No,,,,
993,No,Employed Full Time,42339,2015-12-01 00:00:00,12/1/2015
994,No,,,,
995,No,,,,
996,No,Employed Part Time,42926,2017-07-10 00:00:00,7/10/2017
997,No,Employed Part Time,42675,2016-11-01 00:00:00,11/1/2016
998,No,,,,
999,No,,,,
1000,No,Employed Full Time,34182,1993-08-01 00:00:00,8/1/1993
1001,No,,,,
1002,No,Employed Full Time,42647,2016-10-04 00:00:00,10/4/2016
1003,Yes,,,,
1004,No,Employed Full Time,42122,2015-04-28 00:00:00,4/28/2015
1005,No,Employed Full Time,42583,2016-08-01 00:00:00,8/1/2016
1006,No,Employed Part Time,43024,2017-10-16 00:00:00,10/16/2017
1007,No,,,,
1008,No,,,,
1009,No,,,,
1010,No,,,,
1011,No,,,,
1012,No,,,,
1013,No,,,,
1014,No,,,,
1015,Yes,Employed Part Time,43434,2018-11-30 00:00:00,11/30/2018
1016,No,,,,
1017,No,,,,
1018,Yes,,,,
1019,No,Employed Full Time,,,
1020,Yes,,,,
1021,No,Employed Full Time,42774,2017-02-08 00:00:00,2/8/2017
1022,No,Employed Full Time,42905,2017-06-19 00:00:00,6/19/2017
1023,Yes,,,,
1024,No,,,,
1025,No,Employed Full Time,39661,2008-08-01 00:00:00,8/1/2008
1026,No,Employed Part Time,38718,2006-01-01 00:00:00,1/1/2006
1027,No,,,,
1028,No,,,,
1029,Yes,,,,
1030,No,,,,
1031,Yes,,,,
1032,No,,,,
1033,No,,,,
1034,No,,,,
1035,No,,,,
1036,No,,,,
1037,No,,,,
1038,No,Employed Part Time,,,
1039,No,,,,
1040,No,,,,
1041,No,Employed Part Time,42591,2016-08-09 00:00:00,8/9/2016
1042,Yes,Not employed,,,
1043,Yes,,,,
1044,Yes,,,,
1045,Yes,Employed Part Time,43160,2018-03-01 00:00:00,3/1/2018
1046,No,,,,
1047,No,,,,
1048,No,,,,
