agency,clientid,quarter,baseline_baseline,dob,dob_cat,gender,race,maritalstatus,highested,housingtype,hhadults,hhchildren,criminalbackground,zipcode,date,accessemployment_baseline,employmentstatus_baseline,employmentstartdate_baseline,employmentretention_baseline,jobtrainingenrolled_baseline,jobtrainingcompleted_baseline,savings_baseline,creditscore_baseline,debt_baseline,wages1_baseline,hours1_baseline,wages2_baseline,hours2_baseline,incomeclient_baseline,incomehh_baseline,publicbenefits_baseline,expenseshh_baseline,accessincome_baseline,accessfinancialcoach_baseline,bundledservices_baseline,fincap_budget_baseline,fincap_goals_baseline,fincap_emergencyfund_baseline,fincap_autodeposit_baseline,fincap_incomeexpenses_baseline,fincap_latefee_baseline,accessincome_alltime,accessemployment_alltime,accessfinancialcoach_alltime,bundledservices_alltime,clientid_checkin,quarter_checkin,accessemployment_checkin,employmentstatus_checkin,employmentstartdate_checkin,employmentretention_checkin,jobtrainingenrolled_checkin,jobtrainingcompleted_checkin,savings_checkin,creditscore_checkin,debt_checkin,wages1_checkin,hours1_checkin,wages2_checkin,hours_checkin,incomeclient_checkin,incomehh_checkin,publicbenefits_checkin,expenseshh_checkin,accessincome_checkin,accessfinancialcoach_checkin,bundledservices_checkin,fincap_budget_checkin,fincap_goals_checkin,fincap_emergencyfund_checkin,fincap_autodeposit_checkin,fincap_incomeexpenses_checkin,fincap_latefee_checkin
Metrocrest,182953,2016 Q1,t,1970-02-04 00:00:00,1961-1970,Female,Hispanic,Married or Domestic Partnership,Less than HS,Rents,3,2,Unknown,75287,2016-01-01 00:00:00,No,,,No,Yes,No,,,38208,0.0,0.0,,,0.0,0.0,0.0,1578.0,Yes,No,1,No,Not at all confident,No,No,No,No,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183115,2015 Q4,t,1972-11-07 00:00:00,1971-1980,Female,Hispanic,Single,"Some college, no degree",Rents,1,2,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,1189.0,Yes,Yes,2,No,Not at all confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183298,2015 Q4,t,1982-04-20 00:00:00,1981-1990,Female,White,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,2,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1870.0,0.0,1751.0,Yes,Yes,2,No,Not at all confident,No,No,Yes,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183333,2015 Q4,t,1972-11-14 00:00:00,1971-1980,Female,Black or African American,Divorced,"HS, GED, or equivalent",Rents,2,1,No,75007,2015-10-01 00:00:00,No,Employed Full Time,6/29/2015,Yes,No,No,0,,0,11.32,40.0,0.0,0.0,1811.2,1811.2,414.48,2686.25,Yes,Yes,2,No,Somewhat confident,Yes,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183433,2015 Q4,t,1957-10-09 00:00:00,1951-1960,Female,White,Single,"HS, GED, or equivalent",Rents,1,0,No,75010,2015-10-01 00:00:00,No,Employed Full Time,8/16/2015,No,No,No,0,,,11.0,40.0,,,1760.0,1760.0,187.0,1566.0,Yes,No,1,No,Somewhat confident,No,No,Yes,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183668,2015 Q4,t,1972-12-01 00:00:00,1971-1980,Female,White,Separated,"HS, GED, or equivalent",Rents,1,1,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183721,2015 Q4,t,1967-07-30 00:00:00,1961-1970,Female,Black or African American,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,1,No,75007,2015-10-01 00:00:00,No,Employed Full Time,7/5/2014,Yes,No,No,0,,300,10.0,37.0,0.0,0.0,1600.0,2800.0,0.0,1494.0,Yes,Yes,2,No,Somewhat confident,No,No,Yes,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183732,2015 Q4,t,1952-12-15 00:00:00,1951-1960,Female,White,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,4,1,No,75007,2015-10-01 00:00:00,Yes,,,No,Yes,Yes,2000,,18000,0.0,0.0,0.0,0.0,518.0,1670.0,90.0,2931.0,Yes,Yes,3,Yes,Somewhat confident,Yes,Yes,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,183857,2015 Q4,t,1966-10-14 00:00:00,1961-1970,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,2,No,75006,2015-10-01 00:00:00,No,Employed Part Time,8/22/2015,Yes,No,No,,,,9.48,30.0,,,1152.0,1152.0,330.0,1551.13,Yes,Yes,2,Yes,Very confident,Yes,No,Yes,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,184035,2016 Q2,t,1960-09-20 00:00:00,1951-1960,Female,Black or African American,Single,Associate Degree,Rents,2,0,No,75007,2016-04-01 00:00:00,No,,,No,No,No,0,,,0.0,0.0,,,0.0,0.0,483.0,2708.0,Yes,Yes,2,Yes,Somewhat confident,Yes,No,No,Yes,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,184141,2015 Q4,t,1973-02-13 00:00:00,1971-1980,Female,Black or African American,Married or Domestic Partnership,"Some college, no degree",Rents,3,4,Unknown,75019,2015-10-01 00:00:00,No,Employed Part Time,1/1/2015,Yes,No,No,0,,2500,28.0,23.0,0.0,0.0,2640.0,3040.0,40.0,2500.0,Yes,Yes,2,Yes,Very confident,No,No,Yes,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,184264,2015 Q4,t,1977-05-23 00:00:00,1971-1980,Female,Hispanic,Separated,Unknown,Rents,3,2,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1408.0,0.0,1355.0,Yes,Yes,2,No,Not at all confident,No,No,Yes,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,184708,2015 Q4,t,1979-01-18 00:00:00,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Owns,2,4,Unknown,75019,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,185047,2016 Q2,t,1946-12-25 00:00:00,1941-1950,Female,White,Married or Domestic Partnership,"Some college, no degree",Rents,1,0,No,75007,2016-04-01 00:00:00,Yes,,,No,No,No,0,,,0.0,0.0,,,0.0,0.0,1500.0,2176.0,Yes,Yes,3,Yes,Somewhat confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,185204,2015 Q4,t,1959-10-29 00:00:00,1951-1960,Male,White,Married or Domestic Partnership,Unknown,Rents,3,1,No,75234,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,185327,2015 Q4,t,1962-11-10 00:00:00,1961-1970,Female,White,Divorced,"HS, GED, or equivalent",Rents,1,1,No,75019,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,1485.0,Yes,Yes,2,No,Somewhat confident,Yes,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,185490,2015 Q4,t,1953-05-04 00:00:00,1951-1960,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,5,No,75006,2015-10-01 00:00:00,Yes,Employed Full Time,4/23/2016,No,No,No,,631,624,10.0,40.0,,,1600.0,2240.0,0.0,1066.0,Yes,Yes,3,Yes,Somewhat confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,185522,2015 Q4,t,1965-12-18 00:00:00,1961-1970,Male,White,Single,Unknown,Lives with Relatives/Friends,2,0,No,75007,2015-10-01 00:00:00,Yes,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,1280.0,Yes,Yes,3,No,Not at all confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186114,2015 Q4,t,1972-03-05 00:00:00,1971-1980,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,1,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186147,2015 Q4,t,1945-03-08 00:00:00,1941-1950,Male,White,Married or Domestic Partnership,"Some college, no degree",Owns,3,4,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,1800.0,3000.0,0.0,3800.0,Yes,Yes,2,Yes,Somewhat confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186282,2015 Q4,t,1959-08-22 00:00:00,1951-1960,Female,Black or African American,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,0,No,75007,2015-10-01 00:00:00,Yes,,,No,No,No,0,583,10544,0.0,0.0,,,0.0,2600.0,0.0,2900.0,Yes,Yes,3,Yes,Somewhat confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186488,2015 Q4,t,1976-06-16 00:00:00,1971-1980,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Owns,2,3,No,75234,2015-10-01 00:00:00,No,Employed Full Time,6/7/2015,Yes,No,No,0,,0,22.12,40.0,8.0,0.0,3539.0,5060.16,0.0,5622.98,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186597,2015 Q4,t,1961-01-19 00:00:00,1961-1970,Female,White,Single,"HS, GED, or equivalent",Rents,1,0,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,969.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186718,2015 Q4,t,1973-09-01 00:00:00,1971-1980,Female,White,Married or Domestic Partnership,"Some college, no degree",Rents,2,2,No,75007,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,788.0,788.0,0.0,2600.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186775,2015 Q4,t,1969-06-09 00:00:00,1961-1970,Female,Hispanic,Married or Domestic Partnership,Unknown,Owns,2,2,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1280.0,310.0,2084.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186850,2015 Q4,t,1958-12-19 00:00:00,1951-1960,Female,White,Single,"HS, GED, or equivalent",Rents,2,2,No,75007,2015-10-01 00:00:00,No,Employed Part Time,6/16/2015,Yes,No,No,0,,0,13.0,10.0,0.0,0.0,520.0,520.0,1236.0,2017.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186944,2015 Q4,t,1996-08-10 00:00:00,1991-2000,Female,Hispanic,Single,"HS, GED, or equivalent",Rents,2,1,No,75007,2015-10-01 00:00:00,Yes,Employed Full Time,7/6/2015,Yes,No,No,0,,0,13.5,40.0,0.0,0.0,2160.0,2160.0,0.0,1674.97,Yes,Yes,3,No,Somewhat confident,No,Yes,Yes,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,186956,2015 Q4,t,1966-02-23 00:00:00,1961-1970,Female,Hispanic,Separated,Unknown,Owns,4,6,No,75234,2015-10-01 00:00:00,Yes,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,1700.0,1700.0,0.0,3648.0,Yes,Yes,3,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,187105,2015 Q4,t,1975-07-14 00:00:00,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,0,No,75006,2015-10-01 00:00:00,No,Employed Full Time,7/15/2012,Yes,No,No,0,,0,17.0,40.0,0.0,0.0,2300.0,2300.0,0.0,1310.0,Yes,Yes,2,Yes,Very confident,Yes,Yes,Yes,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,187544,2015 Q4,t,1943-01-08 00:00:00,1941-1950,Female,White,Single,"Some college, no degree",Rents,1,0,Unknown,75287,2015-10-01 00:00:00,No,Employed Part Time,7/12/2015,Yes,No,No,0,,0,7.25,18.0,0.0,0.0,522.0,1471.0,0.0,1310.0,Yes,Yes,2,No,Not at all confident,No,No,Yes,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,188250,2015 Q4,t,1969-11-17 00:00:00,1961-1970,Female,Hispanic,Separated,Unknown,Rents,1,1,No,75006,2015-10-01 00:00:00,Yes,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,800.0,194.0,1490.0,Yes,Yes,3,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,188900,2015 Q4,t,1945-10-17 00:00:00,1941-1950,Female,White,Single,"HS, GED, or equivalent",Rents,1,0,Unknown,75001,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,932.0,932.0,0.0,1404.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189186,2015 Q4,t,1963-08-15 00:00:00,1961-1970,Male,Black or African American,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,0,Unknown,75001,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,2000.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189420,2016 Q2,t,1967-08-22 00:00:00,1961-1970,Female,Hispanic,Single,"HS, GED, or equivalent",Rents,1,2,Yes,75006,2016-04-01 00:00:00,No,Employed Full Time,11/23/2013,Yes,No,No,0,593,,11.0,40.0,,,1760.0,1760.0,0.0,1218.0,Yes,No,1,No,Somewhat confident,No,No,No,No,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189432,2015 Q4,t,1955-12-06 00:00:00,1951-1960,Female,White,Single,Bachelor's Degree,Rents,1,0,No,75007,2015-10-01 00:00:00,Yes,,,No,No,No,,,,0.0,0.0,,,0.0,0.0,1224.0,1820.0,Yes,Yes,3,Yes,Somewhat confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189551,2015 Q4,t,1965-07-18 00:00:00,1961-1970,Female,White,Divorced,Less than HS,Owns,1,0,No,75006,2015-10-01 00:00:00,Yes,,,No,No,No,0,,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,Yes,Yes,3,No,Not at all confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189643,2016 Q1,t,1965-10-22 00:00:00,1961-1970,Female,White,Divorced,"HS, GED, or equivalent",Rents,2,0,No,75287,2016-01-01 00:00:00,Yes,Employed Full Time,10/1/2001,Yes,No,No,,,,12.99,38.0,,,1974.48,1974.48,0.0,1537.0,No,No,1,No,Somewhat confident,Yes,Yes,Yes,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189907,2015 Q4,t,1957-04-03 00:00:00,1951-1960,Female,Black or African American,Single,"Some college, no degree",Rents,1,0,No,75287,2015-10-01 00:00:00,Yes,Employed Full Time,1/5/2008,Yes,No,No,0,,0,8.13,40.0,0.0,0.0,1300.0,1300.0,0.0,1377.0,Yes,Yes,3,Yes,Somewhat confident,No,No,Yes,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189917,2015 Q4,t,1977-01-27 00:00:00,1971-1980,Female,Hispanic,Separated,Unknown,Rents,1,3,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,1527.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189919,2016 Q2,t,1965-10-01 00:00:00,1961-1970,Female,Hispanic,Divorced,"HS, GED, or equivalent",Rents,2,0,No,75006,2016-04-01 00:00:00,No,Employed Part Time,11/1/2015,Yes,No,No,0,,1400,15.0,23.0,,,1400.0,1400.0,197.0,2170.0,Yes,Yes,2,No,Somewhat confident,Yes,No,No,Yes,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189954,2015 Q4,t,1980-04-09 00:00:00,1971-1980,Female,Black or African American,Single,"HS, GED, or equivalent",Rents,1,2,No,75007,2015-10-01 00:00:00,No,Employed Part Time,5/13/2015,Yes,No,No,0,,,7.25,26.0,,,754.0,754.0,935.0,2142.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,189958,2016 Q2,t,1968-02-18 00:00:00,1961-1970,Female,Hispanic,Single,Unknown,Rents,1,3,No,75287,2016-04-01 00:00:00,No,,,,No,No,,,,0.0,0.0,,,0.0,640.0,1528.0,1857.0,Yes,Yes,2,No,Not at all confident,No,No,Yes,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1034665,2016 Q2,t,,,Female,Unknown,Unknown,Unknown,Unknown,,,,,2016-04-01 00:00:00,No,,,,No,No,,675,,,,,,900.0,900.0,612.0,,Yes,No,1,,,,,,,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1035689,2016 Q1,t,1968-01-13 00:00:00,1961-1970,Female,Black or African American,Single,Unknown,Unknown,,,,75243,2016-01-01 00:00:00,Yes,Employed Part Time,11/9/2015,,No,No,,,,8.0,15.0,,,,,,,No,Yes,2,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1035903,2016 Q2,t,1957-10-10 00:00:00,1951-1960,Female,White,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,2,0,No,75211,2016-04-01 00:00:00,Yes,Employed Part Time,,,No,No,,,,,,,,650.0,650.0,192.0,,Yes,Yes,3,No,Very confident,No,Yes,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1035936,2018 Q3,t,1988-12-22 00:00:00,1981-1990,Female,Black or African American,Unknown,Unknown,Unknown,,,Unknown,75243,2018-07-01 00:00:00,No,Employed Full Time,4/1/2018,,,,,450,,10.0,40.0,,,1600.0,1600.0,,1812.0,Yes,Yes,2,No,Somewhat confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036002,2016 Q1,t,1993-06-08 00:00:00,1991-2000,Male,Black or African American,Single,Unknown,Rents,,,,75243,2016-01-01 00:00:00,Yes,Employed Full Time,10/28/2015,,No,No,,,,9.0,40.0,,,,,,,No,No,1,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036147,2016 Q2,t,1990-05-21 00:00:00,1981-1990,Male,Hispanic,Single,Unknown,Rents,,,,75254,2016-04-01 00:00:00,No,Employed Full Time,,,No,No,,700,,,,,,1300.0,1300.0,,,No,No,0,Yes,Very confident,No,No,No,Yes,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036346,2016 Q2,t,,,Female,Black or African American,Unknown,Unknown,Unknown,,,,75002,2016-04-01 00:00:00,No,Employed Full Time,,,No,No,,,,,,,,700.0,1900.0,0.0,,No,No,0,Yes,Very confident,No,No,Yes,Yes,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036544,2016 Q2,t,1957-04-20 00:00:00,1951-1960,Male,White,Unknown,Associate Degree,Rents,1,0,No,75228,2016-04-01 00:00:00,No,Employed Full Time,,,No,No,,643,,,,,,1600.0,1600.0,0.0,,No,No,0,Yes,Very confident,Yes,No,Yes,Yes,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036578,2016 Q2,t,1972-03-25 00:00:00,1971-1980,Female,Black or African American,Unknown,Unknown,Unknown,,,,75032,2016-04-01 00:00:00,No,Employed Full Time,,,No,No,,,,,,,,,,,,No,No,0,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,1036591,2016 Q2,t,1948-11-26 00:00:00,1941-1950,Female,White,Single,Unknown,Unknown,,,,75243,2016-04-01 00:00:00,No,,,,No,No,,587,,,,,,,,1239.0,,Yes,No,1,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
