employmentid,accessemployment,employmentstatus,employmentstartdate,employmentretention,jobtrainingenrolled,jobtrainingcompleted,to_timestamp_from_excel
369,No,,,,No,No,
370,Yes,,,,No,No,
371,Yes,,,,No,No,
372,Yes,,,,No,No,
373,Yes,,,,No,No,
374,Yes,,,,No,No,
375,Yes,,,,No,No,
376,Yes,,,,No,No,
377,No,Employed Full Time,,,Yes,Yes,
378,Yes,,,,No,No,
379,No,Employed Part Time,41281,,Yes,Yes,2013-01-07 00:00:00
380,No,,,,Yes,Yes,
381,Yes,,,,No,No,
382,Yes,,,,No,No,
383,No,Employed Full Time,42405,,Yes,Yes,2016-02-05 00:00:00
384,No,Employed Full Time,42405,,Yes,Yes,2016-02-05 00:00:00
385,No,Employed Full Time,,,No,No,
386,Yes,,,,No,No,
387,Yes,,,,No,No,
388,Yes,,,,No,No,
389,Yes,,,,No,No,
390,No,,,,No,No,
391,No,Employed Full Time,42032,,No,No,2015-01-28 00:00:00
392,Yes,,,,No,No,
393,Yes,,,,No,No,
394,No,Employed Full Time,,,No,No,
395,Yes,,,,No,No,
396,Yes,,,,No,No,
397,Yes,,,,No,No,
398,Yes,,,,No,No,
399,Yes,,,,No,No,
400,No,Employed Full Time,,,No,No,
401,Yes,,,,No,No,
402,Yes,,,,No,No,
403,Yes,,,,No,No,
404,No,,,,No,No,
405,Yes,,,,No,No,
406,Yes,,,,No,No,
407,Yes,,,,No,No,
408,Yes,,,,Yes,No,
409,Yes,,,,No,No,
410,No,Employed Full Time,,,No,No,
411,Yes,,,,No,No,
412,Yes,Employed Part Time,,,No,No,
413,Yes,Employed Part Time,42156,,No,No,2015-06-01 00:00:00
414,No,,,,,,
415,No,,,,No,No,
416,No,,,,No,No,
417,Yes,,,,No,No,
418,Yes,,,,No,No,
419,Yes,,,,No,No,
420,Yes,,,,No,No,
421,No,Employed Full Time,,,No,No,
422,Yes,Employed Part Time,,,No,No,
423,Yes,,,,No,No,
424,No,,,,Yes,No,
425,Yes,,,,No,No,
426,Yes,,,,No,No,
427,Yes,,,,No,No,
428,No,Employed Full Time,,,No,No,
429,Yes,,,,No,No,
430,Yes,,,,No,No,
431,No,Employed Full Time,,,No,No,
432,No,Employed Full Time,,,No,No,
433,No,,,,Yes,No,
434,Yes,,,,Yes,No,
435,Yes,,,,No,No,
436,No,Employed Full Time,,,No,No,
437,No,Employed Full Time,,,No,No,
438,Yes,,,,No,No,
439,Yes,,,,No,No,
440,No,,,,No,No,
441,Yes,,,,No,No,
442,No,,,,No,No,
443,No,,,,No,No,
444,Yes,,,,No,No,
445,No,,,,No,No,
446,Yes,Employed Full Time,,,No,No,
447,No,,,,No,No,
448,No,,,,No,No,
449,Yes,,,,No,No,
450,Yes,,,,No,No,
451,Yes,,,,No,No,
452,Yes,,,,No,No,
453,Yes,,,,No,No,
454,No,Employed Full Time,,,No,No,
455,Yes,,,,Yes,No,
456,Yes,,,,No,No,
457,Yes,,,,No,No,
458,Yes,,,,No,No,
459,Yes,,,,No,No,
460,No,Employed Full Time,,,No,No,
461,No,Employed Full Time,,,No,No,
462,No,,,,No,No,
463,Yes,,,,No,No,
464,Yes,,,,No,No,
465,Yes,,,,No,No,
466,No,,,,No,No,
467,No,Employed Full Time,,,No,No,
468,Yes,,,,No,No,
469,No,,,No,,No,
470,Yes,,,,No,No,
471,Yes,,,,No,No,
472,Yes,,,,No,No,
473,Yes,,,,No,No,
474,Yes,,,,No,No,
475,Yes,,,,No,No,
476,Yes,,,,No,No,
477,Yes,,,,No,No,
478,No,,,,No,No,
479,Yes,,,,No,No,
480,Yes,,,,No,No,
481,No,Employed Full Time,,,No,No,
482,No,Employed Part Time,,,No,No,
483,Yes,,,,No,No,
484,Yes,,,,No,No,
485,Yes,,,,No,No,
486,Yes,,,,No,No,
487,Yes,,,,No,No,
488,No,,,,No,No,
489,Yes,,,,No,No,
490,No,,,,No,No,
491,Yes,,,,No,No,
492,Yes,,,,No,No,
493,Yes,,,,No,No,
494,No,,,,No,No,
495,No,,,,No,No,
496,Yes,,,,No,No,
497,Yes,,,,No,No,
498,Yes,,,,No,No,
499,Yes,,,,No,No,
500,Yes,Employed Full Time,,,No,No,
501,Yes,,,,No,No,
502,Yes,Employed Full Time,42382,,No,No,2016-01-13 00:00:00
503,Yes,Employed Part Time,,,No,No,
504,Yes,,,,No,No,
505,Yes,,,,No,No,
506,No,Employed Full Time,,,No,No,
507,No,,,,No,No,
508,Yes,,,,No,No,
509,Yes,,,,No,No,
510,Yes,,,,No,No,
511,Yes,,,,No,No,
512,Yes,,,,No,No,
513,Yes,Employed Part Time,,,No,No,
514,Yes,,,,No,No,
515,Yes,,,,No,No,
516,Yes,,,,No,No,
517,Yes,,,,No,No,
518,Yes,,,,No,No,
519,No,Employed Full Time,,,No,No,
520,Yes,Employed Part Time,42520,,No,No,2016-05-30 00:00:00
521,Yes,,,,No,No,
522,Yes,,,,No,No,
523,Yes,,,,No,No,
524,Yes,,,,No,No,
525,Yes,Employed Full Time,42954,,No,No,2017-08-07 00:00:00
526,Yes,,,,No,No,
527,Yes,,,,No,No,
528,Yes,,,,No,No,
529,Yes,,,,No,No,
530,No,Employed Full Time,,,No,No,
531,Yes,,,,No,No,
532,Yes,,,,No,No,
533,Yes,Employed Part Time,42506,,Yes,No,2016-05-16 00:00:00
534,No,,,,No,No,
535,Yes,,,,No,No,
536,No,Not employed,,,,,
537,Yes,,,,No,No,
538,Yes,,,,No,No,
539,Yes,,,,No,No,
540,Yes,,,,No,No,
541,Yes,,,,No,No,
542,Yes,,,,No,No,
543,Yes,,,,No,No,
544,Yes,,,,No,No,
545,No,,,,Yes,Yes,
546,No,,,,Yes,Yes,
547,No,,,,Yes,Yes,
548,Yes,,,,No,No,
549,Yes,Employed Full Time,42689,Yes,Yes,No,2016-11-15 00:00:00
550,No,Employed Part Time,,,No,No,
551,No,,,,Yes,No,
552,Yes,,,,No,No,
553,No,,,,Yes,Yes,
554,No,,,,Yes,No,
555,Yes,,,,No,No,
556,No,,,,Yes,No,
557,Yes,,,,No,No,
558,Yes,,,,No,No,
559,Yes,,,,No,No,
560,Yes,,,,No,No,
561,Yes,,,,No,No,
562,Yes,,,,No,No,
563,Yes,,,,No,No,
564,Yes,,,,No,No,
565,Yes,Employed Full Time,42611,,No,No,2016-08-29 00:00:00
566,No,,,,Yes,Yes,
567,No,,,,Yes,No,
568,No,Employed Part Time,,,Yes,Yes,
569,Yes,,,,No,No,
570,No,Employed Full Time,,,No,No,
571,Yes,,,,No,No,
572,Yes,,,,No,No,
573,Yes,,,,No,No,
574,Yes,,,,No,No,
575,Yes,,,,No,No,
576,Yes,,,,No,No,
577,No,Employed Full Time,,,No,No,
578,Yes,,,,No,No,
579,Yes,,,,No,No,
580,Yes,,,,No,No,
581,Yes,,,,No,No,
582,Yes,,,,No,No,
583,No,,,,No,No,
584,Yes,,,,No,No,
585,Yes,,,,Yes,Yes,
586,Yes,,,,No,No,
587,No,Employed Full Time,,,No,No,
588,Yes,,,,No,No,
589,No,,,No,,No,
590,Yes,,,,No,No,
591,No,,,,Yes,Yes,
592,No,,,,Yes,Yes,
593,No,Employed Full Time,,,No,No,
594,No,Employed Full Time,,,No,No,
595,Yes,,,,No,No,
596,No,Employed Full Time,,,No,No,
597,Yes,Employed Full Time,,,No,No,
598,Yes,,,,Yes,Yes,
599,Yes,,,,No,No,
600,Yes,,,,Yes,Yes,
601,No,,,,Yes,Yes,
602,No,,,,No,No,
603,No,Employed Full Time,,,No,No,
604,No,Employed Full Time,,,No,No,
605,Yes,,,,Yes,Yes,
606,Yes,,,,,,
607,Yes,Employed Part Time,,,Yes,Yes,
608,Yes,,,,No,No,
609,Yes,,,,No,No,
610,No,,,,No,No,
611,No,Employed Full Time,,,No,No,
612,No,Employed Full Time,,,No,No,
613,No,,,,No,No,
614,No,Not employed,,,,,
615,No,,,,No,No,
616,Yes,,,,No,No,
617,No,Employed Full Time,,,No,No,
618,Yes,,,,No,No,
619,Yes,,,No,,No,
620,Yes,,,,No,No,
621,Yes,,,,No,No,
622,No,,,,Yes,Yes,
623,Yes,,,,No,No,
624,Yes,,,,No,No,
625,No,,,,Yes,Yes,
626,Yes,Employed Part Time,42628,,No,No,2016-09-15 00:00:00
627,Yes,,,,No,No,
628,Yes,Employed Full Time,,,No,No,
629,No,Employed Part Time,,,No,No,
630,No,,,,No,No,
631,Yes,,,,No,No,
632,Yes,,,,No,No,
633,No,Employed Part Time,,,No,No,
634,Yes,,,,No,No,
635,Yes,,,,No,No,
636,No,,,,No,No,
637,No,,,,No,No,
638,No,,,,No,No,
639,No,Employed Part Time,,,No,No,
640,No,,,,No,No,
641,No,Employed Part Time,,,No,No,
642,No,Employed Full Time,,,No,No,
643,No,Employed Part Time,,,No,No,
644,No,Employed Full Time,,,No,No,
645,No,Employed Full Time,,,No,No,
646,No,,,,No,No,
647,No,,,,No,No,
648,Yes,,,,No,No,
649,Yes,,,,No,No,
650,Yes,,,,No,No,
651,Yes,,,,No,No,
652,Yes,,,,No,No,
653,No,,,,No,No,
654,No,Employed Full Time,,,No,No,
655,Yes,,,,No,No,
656,No,,,,No,No,
657,No,Employed Part Time,,,No,No,
658,Yes,,,,No,No,
659,No,,,,No,No,
660,No,,,,No,No,
661,No,,,,No,No,
662,No,,,,No,No,
663,No,Employed Full Time,,,No,No,
664,No,,,,No,No,
665,No,,,,No,No,
666,No,,,,No,No,
667,No,,,,No,No,
668,No,,,,No,No,
669,No,,,,No,No,
670,No,,,,No,No,
671,No,,,,No,No,
672,No,,,,No,No,
673,No,Employed Full Time,,,No,No,
674,Yes,,,,No,No,
675,No,,,,No,No,
676,No,,,,No,No,
677,No,Employed Full Time,,,No,No,
678,No,,,,No,No,
679,No,,,,No,No,
680,Yes,,,,No,No,
681,No,,,,No,No,
682,Yes,,,,No,No,
683,No,,,,No,No,
684,No,,,,No,No,
685,No,,,,No,No,
686,No,,,,No,No,
687,No,Employed Part Time,,,No,No,
688,No,,,,No,No,
689,No,,,No,,No,
690,No,Employed Part Time,,,No,No,
691,No,,,,No,No,
692,Yes,Employed Part Time,,,No,No,
693,No,Employed Part Time,,,No,No,
694,No,Employed Full Time,,,No,No,
695,Yes,Employed Part Time,,,No,No,
696,No,,,,No,No,
697,No,Employed Full Time,,,No,No,
698,No,Employed Full Time,42711,,No,No,2016-12-07 00:00:00
699,Yes,,,,No,No,
700,No,Employed Full Time,,,No,No,
701,No,,,,No,No,
702,No,Employed Full Time,,,No,No,
703,No,Employed Part Time,,,No,No,
704,No,Employed Part Time,,,No,No,
705,No,,,,No,No,
706,No,,,,No,No,
707,Yes,,,,No,No,
708,Yes,Employed Part Time,,,No,No,
709,Yes,,,,No,No,
710,No,Employed Full Time,,,No,No,
711,No,,,,No,No,
712,Yes,,,,No,No,
713,No,Employed Full Time,,,No,No,
714,No,Employed Part Time,,,No,No,
715,No,,,,No,No,
716,No,Employed Full Time,,,No,No,
717,No,Employed Full Time,,,No,No,
718,Yes,Employed Full Time,,,No,No,
719,No,Employed Part Time,,,No,No,
720,No,Employed Full Time,,,No,No,
721,No,,,,No,No,
722,No,,,,No,No,
723,No,,,,No,No,
724,Yes,,,No,,No,
725,No,Employed Full Time,,No,,No,
726,No,,,No,,No,
727,Yes,Employed Full Time,,No,,No,
728,No,Not employed,,,,,
729,No,Employed Full Time,,,No,No,
730,Yes,,,No,,No,
731,No,,,,No,No,
732,No,,,No,,No,
733,No,Employed Full Time,,No,,No,
734,Yes,,,No,,No,
735,No,,,No,,No,
736,No,,,No,,No,
737,Yes,Employed Full Time,,No,,No,
738,Yes,,,No,,No,
739,No,,,No,,No,
740,Yes,,,No,,No,
741,No,,,No,,No,
742,Yes,,,No,,No,
743,No,,,No,,No,
744,Yes,,,No,,No,
745,No,Employed Full Time,,No,,No,
746,No,,,No,,No,
747,No,,,No,,No,
748,No,,,No,,No,
749,No,,,No,,No,
750,No,,,No,,No,
751,Yes,,,No,,No,
752,Yes,,,No,,No,
753,Yes,Employed Part Time,,No,,No,
754,Yes,,,No,,No,
755,Yes,,,No,,No,
756,No,,,No,,No,
757,Yes,Employed Full Time,42774,No,,No,2017-02-08 00:00:00
758,No,,,No,,No,
759,Yes,,41061,No,,No,2012-06-01 00:00:00
760,No,,,No,,No,
761,Yes,,,No,,No,
762,Yes,,,No,,No,
763,No,,,No,,No,
764,No,,,No,,No,
765,No,,,No,,No,
766,No,,,No,,No,
767,Yes,,,No,,No,
768,Yes,,,No,,No,
769,Yes,,,No,,No,
770,No,,,No,,No,
771,Yes,,,No,,No,
772,Yes,,,No,,No,
773,Yes,,,No,,No,
774,Yes,,,No,,No,
775,Yes,,,No,,No,
776,Yes,Employed Part Time,,,No,No,
777,Yes,,,No,,No,
778,Yes,,,No,,No,
779,No,Employed Part Time,,No,,No,
780,Yes,,,No,,No,
781,No,,,No,,No,
782,Yes,,,,,,
783,Yes,,,No,,No,
784,No,,,,,,
785,No,,,No,,No,
786,No,,,,,,
787,No,Employed Full Time,,No,,No,
788,Yes,,,,No,No,
789,Yes,,,,No,No,
790,No,Employed Full Time,,,No,No,
791,No,,,,Yes,No,
792,No,,,,Yes,No,
793,No,,,,Yes,No,
794,No,,,,Yes,No,
795,No,,,,Yes,No,
796,No,Employed Full Time,,,No,No,
797,Yes,Employed Full Time,,,,,
798,Yes,Not employed,,,No,No,
799,Yes,,,,No,No,
800,No,,,,No,No,
801,Yes,,,,No,No,
802,Yes,,,,No,No,
803,Yes,,,,No,No,
804,Yes,Employed Part Time,,,No,No,
805,No,Employed Full Time,,,No,No,
806,Yes,,,,No,No,
807,No,,,,No,No,
808,No,,,,No,No,
809,No,,,,No,No,
810,Yes,Employed Full Time,42860,,No,No,2017-05-05 00:00:00
811,No,,,,No,No,
812,Yes,,,,No,No,
813,No,,,,No,No,
814,Yes,,,,No,No,
815,Yes,,,,No,No,
816,Yes,,,,No,No,
817,No,,,,No,No,
818,No,Employed Full Time,,,No,No,
819,Yes,,,,No,No,
820,Yes,,,,No,No,
821,No,,,,No,No,
822,No,,,,No,No,
823,No,,,,No,No,
824,No,,,,No,No,
825,Yes,,,,No,No,
826,Yes,,,,No,No,
1952,,,,,,,
827,No,Employed Full Time,,,No,No,
828,No,,,,No,No,
829,No,,,,No,No,
830,No,Employed Part Time,42220,,No,No,2015-08-04 00:00:00
831,Yes,,,,No,No,
832,No,,,,No,No,
833,Yes,,,,No,No,
834,Yes,Employed Full Time,42292,,No,No,2015-10-15 00:00:00
835,Yes,,,,No,No,
836,Yes,,,,No,No,
837,Yes,Employed Part Time,,,No,No,
838,No,,,,No,No,
839,No,,,,No,No,
840,No,,,,No,No,
841,No,,,,No,No,
842,No,,,,No,No,
843,No,,,,No,No,
844,Yes,,,,No,No,
845,Yes,Employed Full Time,40709,,No,No,2011-06-15 00:00:00
846,Yes,,,,No,No,
847,Yes,Not employed,,,No,No,
848,Yes,Employed Full Time,42200,,No,No,2015-07-15 00:00:00
849,Yes,Not employed,,,No,No,
850,Yes,Not employed,,,No,No,
851,Yes,Not employed,,,No,No,
852,No,Employed Part Time,43017,,No,No,2017-10-09 00:00:00
853,Yes,,,,No,No,
854,Yes,Employed Part Time,42916,,No,No,2017-06-30 00:00:00
855,Yes,Not employed,,,No,No,
856,No,Not employed,,,,,
857,No,,,,,,
858,Yes,Not employed,,,No,No,
859,Yes,Not employed,,,No,No,
