clientid,emp,emp_date
1039718,Not employed,
1039721,Employed Full Time,8/31/2015
1039854,Not employed,4/19/2016
1040004,Not employed,10/30/2015
1040005,Not employed,11/12/2015
1040427,Not employed,9/2/2015
1040528,Employed Full Time,
1040534,Employed Full Time,8/12/2015
1040570,Not employed,4/27/2016
1040580,Not employed,
1040582,Employed Full Time,9/15/2015
1040605,Employed Full Time,9/8/2015
1040606,,
1040607,,
1041098,Not employed,9/12/2015
1041145,Not employed,9/11/2015
1041155,Not employed,9/27/2015
1041192,Not employed,9/7/2015
1041218,Employed Full Time,9/14/2015
1041253,Not employed,9/28/2015
1041258,Not employed,9/21/2015
1041310,Employed Full Time,10/6/2015
1041521,Employed Full Time,10/12/2015
1041621,Employed Part Time,6/21/2016
1041622,Not employed,
1042152,Not employed,12/20/2016
1042240,Not employed,12/17/2015
1042564,Employed Full Time,
1042611,Not employed,12/8/2015
1042772,Employed Full Time,2/9/2016
1043199,Not employed,
1043312,Not employed,12/18/2015
1043480,,
1043565,Employed Full Time,5/19/2017
1043767,Not employed,12/18/2015
1044349,Employed Full Time,
1044399,Employed Part Time,
1044425,Employed Full Time,5/19/2016
1044427,Not employed,2/22/2016
1044508,Employed Full Time,
1044511,Not employed,
1044522,Not employed,
1044527,Not employed,
1044548,Employed Full Time,
1044551,Employed Full Time,
1044562,Employed Part Time,
1044563,Employed Full Time,
1044620,Not employed,12/9/2015
1044637,Employed Full Time,
1044661,Employed Full Time,
1044671,Employed Full Time,12/1/2015
1044681,Employed Full Time,11/24/2015
1044706,Employed Full Time,
1044721,Employed Full Time,8/13/2018
1044722,Employed Part Time,2/22/2016
1044758,Not employed,
1044764,Employed Full Time,10/27/2016
1044765,Employed Part Time,
1044781,Not employed,
1044813,Employed Full Time,6/6/2016
1044827,Not employed,
1044828,Employed Part Time,1/25/2016
1044832,Not employed,
1044834,Not employed,
1044835,Employed Full Time,
1044837,Not employed,
1044845,Not employed,1/12/2016
1044862,Not employed,
1044887,Not employed,
1044894,Employed Full Time,
1044904,Not employed,
1044919,Employed Full Time,
1044924,Not employed,
1045007,Employed Part Time,1/19/2016
1045026,Not employed,
1045033,Not employed,
1045038,Not employed,
1045039,Employed Part Time,
1045040,Not employed,
1045041,Not employed,
1045042,Employed Part Time,
1045049,Not employed,
1045061,Employed Part Time,
1045062,Not employed,
1045063,Employed Part Time,
1045064,Employed Part Time,
1045065,Employed Part Time,
1045126,Not employed,
1045127,Not employed,
1045136,Employed Full Time,3/9/2016
1045149,Not employed,
1045157,Not employed,
1045184,Not employed,1/29/2015
1045207,Employed Full Time,
1045209,Employed Full Time,
1045212,Employed Full Time,
1045218,Employed Full Time,1/25/2016
1045219,Employed Full Time,
1045229,Not employed,
1045232,Employed Part Time,4/21/2016
1045305,Not employed,
1045319,Employed Full Time,
1045326,Not employed,1/31/2016
1045339,Not employed,4/20/2016
1045340,Employed Full Time,
1045341,Not employed,1/25/2016
1045351,Employed Full Time,
1045354,Employed Full Time,3/1/2016
1045355,Not employed,8/17/2015
1045357,Not employed,8/3/2015
1045358,Not employed,9/28/2015
1045360,Employed Full Time,1/29/2016
1045362,Not employed,8/12/2015
1045363,Not employed,8/7/2015
1045369,Not employed,8/3/2015
1045373,Not employed,8/7/2015
1045374,Not employed,8/7/2015
1045387,Not employed,1/11/2016
1045388,Not employed,
1045394,Not employed,1/18/2016
1045407,Not employed,7/13/2015
1045408,Not employed,7/27/2015
1045413,Not employed,8/17/2015
1045414,Employed Full Time,
1045415,Not employed,8/18/2015
1045417,Not employed,8/24/2015
1045426,Employed Full Time,7/27/2015
1045431,Not employed,11/4/2015
1045433,Not employed,7/5/2015
1045434,Not employed,7/29/2015
1045435,Not employed,1/6/2016
1045436,Not employed,8/31/2015
1045437,Not employed,8/18/2015
1045440,Not employed,9/14/2015
1045444,Not employed,8/24/2015
1045445,Not employed,8/31/2015
1045446,Not employed,8/20/2015
1045449,Not employed,7/20/2015
1045450,Employed Full Time,7/20/2015
1045451,Not employed,12/2/2015
1045452,Not employed,10/5/2015
1045453,Not employed,7/21/2015
1045454,Not employed,7/17/2015
1045459,Not employed,7/8/2015
1045460,Not employed,1/13/2016
1045462,Not employed,7/10/2015
1045463,Not employed,7/1/2015
1045464,Not employed,7/8/2015
1045466,Not employed,9/15/2015
1045469,Not employed,11/27/2015
1045484,Employed Full Time,7/1/2015
1045485,Not employed,7/23/2015
1045498,Not employed,10/8/2015
1045503,Not employed,1/12/2016
1045505,Employed Full Time,7/10/2015
1045509,Not employed,7/7/2015
1045518,Not employed,10/22/2015
1045519,Not employed,8/20/2015
1045520,Not employed,7/21/2015
1045521,Not employed,8/20/2015
1045523,Employed Full Time,2/9/2016
1045524,Not employed,2/8/2016
1045525,Not employed,2/19/2016
1045526,Not employed,3/3/2016
1045528,Employed Full Time,12/23/2015
1045537,Not employed,
1045539,Employed Full Time,3/12/2016
1045540,Not employed,
1045541,Not employed,12/11/2015
1045542,,
1045544,Not employed,7/14/2015
1045545,Not employed,7/1/2015
1045546,Employed Full Time,
1045547,Not employed,
1045551,Not employed,9/10/2015
1045553,Not employed,7/14/2015
1045568,Not employed,2/8/2016
1045569,Not employed,3/18/2016
1045574,Not employed,
1045587,Employed Full Time,2/18/2016
1045621,Not employed,2/9/2016
1045644,Not employed,8/7/2015
1045876,Employed Full Time,
1045882,Not employed,3/8/2016
1045898,Not employed,
1045900,Not employed,
1045942,Not employed,2/16/2016
1045964,Employed Part Time,4/13/2015
1045968,Not employed,2/15/2016
1045973,Employed Full Time,8/1/2016
1045979,Not employed,3/24/2016
1045992,Employed Part Time,12/15/2015
1046012,Not employed,2/18/2016
1046017,Not employed,4/27/2016
1046027,Not employed,
1046042,Not employed,
1046046,Employed Part Time,
1046050,Not employed,
1046051,Not employed,
1046052,Not employed,2/29/2016
1046053,Employed Full Time,3/16/2016
1046065,Employed Part Time,5/12/2016
1046067,Not employed,
1046086,Not employed,2/24/2016
1046090,Not employed,
1046093,Not employed,2/26/2016
1046096,Not employed,3/8/2016
1046097,Not employed,3/15/2016
1046112,Not employed,2/26/2016
1046119,Employed Full Time,
1046123,Not employed,8/3/2015
1046136,Employed Part Time,1/7/2013
1046158,Employed Part Time,5/9/2016
1046189,Employed Full Time,5/2/2016
1046193,Not employed,8/22/2016
1046202,Employed Full Time,2/5/2016
1046204,Employed Full Time,2/5/2016
1046210,Employed Full Time,6/3/2016
1046220,Not employed,
1046223,Not employed,3/15/2016
1046226,Not employed,
1046227,Employed Part Time,8/1/2016
1046253,Not employed,3/10/2016
1046254,Employed Full Time,1/28/2015
1046272,Not employed,4/7/2016
1046293,Not employed,4/7/2016
1046304,Employed Full Time,
1046350,Not employed,
1046357,,
1046368,Not employed,5/6/2016
1046376,Not employed,3/24/2016
1046377,Not employed,4/7/2016
1046457,Employed Full Time,
1046480,Not employed,
1046490,Not employed,4/5/2016
1046498,Not employed,
1046511,Not employed,
1046514,Not employed,
1046553,Employed Full Time,7/18/2016
1046577,Not employed,
1046627,Not employed,
1046641,Not employed,4/15/2016
1046642,Employed Full Time,
1046651,Employed Full Time,4/22/2016
1046656,Employed Part Time,
1046657,Employed Part Time,6/1/2015
1046669,Not employed,
1046676,Not employed,
1046690,Not employed,
1046696,Not employed,7/5/2016
1046704,Not employed,
1046724,Not employed,5/2/2016
1046743,Not employed,
1046744,Employed Full Time,
1046755,Employed Part Time,
1046768,Not employed,
1046800,Employed Part Time,
1046822,Not employed,
1046824,Not employed,
1046831,Not employed,5/10/2016
1046832,Employed Full Time,
1046834,Not employed,
1046835,Not employed,
1046837,Employed Full Time,
1046845,Employed Full Time,
1046849,,
1046853,Not employed,
1046858,Not employed,5/3/2016
1046859,Not employed,
1046868,Employed Full Time,
1046876,Not employed,
1046887,Not employed,5/10/2016
1046889,Not employed,
1046894,Not employed,
1046898,Not employed,
1046900,Not employed,
1046903,Not employed,
1046904,,
1046919,Employed Full Time,
1046926,,
1046932,,
1046935,Not employed,7/11/2016
1046946,Not employed,6/23/2016
1046947,Employed Full Time,6/10/2016
1046976,Not employed,11/9/2015
1046978,Not employed,6/23/2016
1046981,Employed Full Time,1/30/2017
1046982,Employed Part Time,6/10/2016
1046984,Employed Full Time,5/10/2016
1047005,Not employed,
1047006,Employed Full Time,5/9/2016
1047024,Employed Full Time,9/5/2016
1047029,Employed Full Time,
1047051,Employed Full Time,
1047078,,
1047084,Not employed,
1047086,Not employed,5/20/2016
1047097,Not employed,6/14/2016
1047101,Employed Full Time,7/2/2016
1047144,Employed Full Time,
1047151,Not employed,6/10/2016
1047166,Employed Full Time,
1047167,Not employed,
1047172,Not employed,6/1/2016
1047175,Employed Full Time,
1047182,Not employed,
1047188,Not employed,
1047211,Employed Full Time,6/14/2016
1047214,Not employed,
1047215,,
1047217,,
1047218,Not employed,6/6/2016
1047220,Not employed,
1047226,Employed Full Time,
1047228,Employed Part Time,
1047238,Not employed,
1047240,Not employed,7/6/2016
1047249,Not employed,6/21/2016
1047250,Employed Full Time,8/18/2016
1047259,Employed Full Time,6/15/2016
1047288,Not employed,
1047298,Employed Full Time,
1047314,Not employed,
1047315,Not employed,
1047333,Not employed,6/21/2016
1047406,Not employed,6/23/2016
1047412,,
1047419,,
1047420,Not employed,
1047458,Employed Full Time,
1047459,Not employed,
1047481,Employed Full Time,7/12/2016
1047484,Employed Full Time,7/25/2016
1047492,,
1047510,Employed Full Time,1/13/2016
1047528,Employed Part Time,
1047529,Not employed,
1047532,Not employed,
1047564,Employed Full Time,
1047578,,
1047582,Not employed,
1047584,Employed Full Time,12/19/2016
1047585,,
1047596,Employed Part Time,12/29/2016
1047598,Employed Full Time,7/25/2016
1047599,Employed Part Time,
1047603,Not employed,
1047606,,
1047626,Employed Full Time,9/6/2016
1047630,Employed Full Time,12/23/2016
1047632,Employed Full Time,9/1/2017
1047647,Employed Full Time,
1047651,Employed Part Time,10/22/2016
1047657,Not employed,
1047660,Employed Full Time,
1047730,Not employed,
1047807,Not employed,
1047811,Employed Full Time,8/7/2017
1047825,Not employed,
1047831,Not employed,
1047855,Not employed,
1047857,Employed Full Time,8/4/2016
1047900,Employed Full Time,
1047913,Employed Full Time,10/20/2016
1047926,Employed Part Time,10/20/2016
1047955,Employed Part Time,5/16/2016
1047975,,
1048011,Employed Full Time,
1048015,Not employed,
1048028,Employed Full Time,11/8/2016
1048034,,
1048044,Employed Full Time,10/9/2017
1048056,Not employed,
1048095,Employed Full Time,8/29/2016
1048117,Not employed,
1048124,Employed Full Time,11/30/2016
1048134,Not employed,
1048149,,
1048151,,
1048153,,
1048157,Not employed,
1048209,Employed Full Time,11/15/2016
1048226,Employed Part Time,
1048262,,
1048268,Employed Full Time,8/12/2016
1048269,,
1048270,,
1048271,Employed Part Time,2/13/2017
1048272,,
1048303,Not employed,
1048386,Employed Full Time,8/18/2016
1048412,Not employed,
1048417,Employed Part Time,10/26/2016
1048443,Employed Full Time,5/1/2017
1048468,Employed Full Time,12/1/2016
1048472,Employed Full Time,12/5/2016
1048476,Employed Full Time,9/30/2016
1048528,Employed Full Time,8/29/2016
1048564,,
1048565,,
1048600,Not employed,
1048627,Employed Full Time,8/15/2016
1048631,Employed Full Time,
1048636,Not employed,
1048643,,
1048645,,
1048646,Employed Full Time,12/27/2016
1048672,Not employed,
1048683,Employed Full Time,9/12/2016
1048684,Employed Full Time,
1048745,Employed Full Time,
1048821,Employed Part Time,12/5/2016
1048867,Employed Full Time,2/20/2017
1048936,Employed Full Time,1/11/2017
1048967,Employed Full Time,9/8/2016
1049055,Not employed,
1049123,Employed Full Time,1/11/2017
1049245,Employed Full Time,11/28/2016
1049271,Not employed,
1049304,Employed Full Time,11/8/2016
1049326,Not employed,
1050061,,
1050153,Employed Part Time,10/4/2016
1050219,,
1050245,,
1050433,Employed Full Time,
1050467,Employed Full Time,
1050474,Employed Full Time,1/4/2017
1050978,Employed Full Time,
1051379,Employed Full Time,
1051384,Employed Part Time,3/13/2017
1051404,Employed Full Time,6/21/2017
1051426,Not employed,
1051495,,
1052173,,
1052346,Employed Full Time,
1052591,Employed Full Time,
1052834,Employed Full Time,12/6/2016
1052910,Employed Full Time,10/31/2016
1052946,Employed Full Time,2/6/2002
1052962,Employed Full Time,12/31/2013
1053133,Employed Full Time,
1053428,Employed Full Time,
1053531,,
1053582,Employed Full Time,
1053607,Employed Full Time,
1053608,,
1053937,Not employed,
1053989,,
1054735,,
1054773,Employed Full Time,
1054926,Employed Full Time,9/15/2016
1055075,,
1055078,,
1055079,,
1055163,,
1055164,Employed Full Time,10/27/2016
1055165,Employed Full Time,10/27/2016
1055166,,
1055170,Employed Part Time,9/15/2016
1055184,Not employed,
1055189,Employed Full Time,
1055190,Employed Full Time,1/18/2017
1055191,Employed Full Time,11/8/2016
1055213,Not employed,
1055216,Not employed,
1055217,Employed Part Time,
1055247,Not employed,
1055250,Not employed,
1055279,Not employed,
1055321,Not employed,
1055322,,
1055323,Employed Part Time,
1055327,,
1055343,Employed Part Time,
1055346,Employed Full Time,1/10/2017
1055353,Employed Part Time,
1055354,Employed Full Time,
1055383,Employed Full Time,
1055384,Not employed,
1055386,Not employed,
1055408,Employed Full Time,12/13/2016
1055409,Not employed,
1055410,Not employed,
1055411,Employed Part Time,8/15/2017
1055412,Not employed,
1055427,Not employed,
1055428,Employed Full Time,
1055434,Employed Full Time,11/15/2016
1055435,Employed Full Time,
1055436,Not employed,
1055437,Employed Full Time,2/13/2017
1055438,Not employed,
1055476,,
1055481,,
1055490,,
1055491,Employed Full Time,
1055493,,
1055494,Employed Full Time,4/1/2014
1055496,,
1055497,,
1055504,,
1055515,Not employed,
1055517,Employed Part Time,12/26/2016
1055518,Not employed,
1055519,Not employed,
1055533,Employed Full Time,
1055535,Not employed,
1055536,Not employed,
1055548,Employed Full Time,2/4/2017
1055549,Employed Full Time,
1055553,Employed Full Time,11/28/2016
1055556,Not employed,
1055557,Employed Full Time,1/24/2017
1055562,Not employed,
1055576,Employed Full Time,5/17/2017
1055591,Not employed,
1055592,Not employed,
1055603,,
1055643,Not employed,
1055649,Employed Part Time,
1055658,,
1055659,Employed Full Time,
1055660,Employed Part Time,
1055662,Employed Full Time,
1055667,Employed Part Time,
1055668,Employed Part Time,12/8/2016
1055669,Employed Full Time,10/10/2016
1055670,Employed Full Time,12/20/2016
1055671,Not employed,
1055672,Employed Full Time,
1055673,Employed Full Time,12/7/2016
1055674,Employed Full Time,12/3/2016
1055696,Employed Full Time,
1055700,Not employed,
1055710,Employed Full Time,
1055752,Employed Part Time,
1055772,Employed Part Time,
1055778,Not employed,
1055781,Not employed,
1055813,Employed Full Time,1/26/2017
1055824,Employed Full Time,12/19/2016
1055826,Employed Full Time,1/20/2017
1055842,Employed Part Time,
1055845,Employed Full Time,1/27/2017
1055856,Employed Full Time,2/8/2017
1055858,Employed Full Time,
1055867,Employed Full Time,1/19/2017
1055876,Not employed,
1055882,Employed Full Time,
1055886,Employed Full Time,9/28/2009
1055887,Employed Full Time,7/1/2017
1055888,Employed Part Time,1/2/2017
1055952,Employed Full Time,
1055954,,
1055955,,
1055958,,
1055960,Employed Part Time,2/13/2017
1055970,Employed Full Time,
1055971,Not employed,
1055972,Employed Full Time,
1055975,Not employed,
1055983,Employed Full Time,
1056003,Not employed,
1056042,Not employed,
1056045,,
1056048,Employed Full Time,
1056103,,
1056119,Not employed,
1056148,,
1056224,Not employed,
1056248,Not employed,
1056267,,
1056286,,
1056303,Employed Full Time,9/18/2017
1056328,,
1056329,Not employed,
1056335,Employed Full Time,2/22/2017
1056367,Employed Full Time,
1056378,,
1056381,,
1056383,Not employed,
1056385,Not employed,
1056443,,
1056465,,
1056468,Not employed,
1056469,Employed Part Time,
1056470,,
1056501,,
1056561,,
1056564,Employed Full Time,2/8/2017
1056567,Not employed,
1056588,Employed Full Time,7/26/2017
1056600,,
1056623,,
1056676,Employed Full Time,2/20/2018
1056693,,
1056703,,
1056706,,
1056737,,
1056738,Employed Full Time,3/2/2017
1056739,Employed Full Time,3/2/2017
1056745,Employed Full Time,3/1/2017
1056766,,
1056767,Not employed,
1056781,Employed Full Time,4/10/2017
1056813,,
1056875,Employed Full Time,3/3/2017
1056876,Employed Full Time,3/3/2017
1056952,Employed Part Time,
1056959,Not employed,
1056964,Employed Full Time,3/19/2018
1056971,Employed Part Time,
1056991,,
1057006,,
1057007,Not employed,
1057027,,
1057039,Not employed,
1057135,,
1057142,,
1057188,Employed Full Time,
1057310,,
1057312,,
1057334,Employed Full Time,
1057339,Employed Part Time,10/11/2017
1057340,Employed Full Time,10/11/2017
1057342,Not employed,
1057343,Not employed,
1057345,Not employed,
1057376,Employed Full Time,
1057381,Employed Full Time,
1057391,Employed Part Time,11/6/2017
1057434,Employed Full Time,5/17/2017
1057458,Employed Full Time,5/25/2017
1057491,Employed Full Time,5/24/2017
1057499,Not employed,
1057502,Employed Full Time,5/30/2017
1057506,Employed Full Time,6/20/2017
1057507,Employed Full Time,6/23/2015
1057540,Employed Full Time,6/1/2017
1057581,,
1057586,Employed Full Time,9/1/2018
1057607,Employed Full Time,1/1/2017
1057608,Employed Full Time,5/5/2017
1057629,,
1057643,Not employed,
1057671,,
1057676,Not employed,
1057681,Not employed,
1057694,Employed Full Time,12/12/2017
1057712,Not employed,
1057730,Employed Full Time,
1057739,Not employed,
1057767,,
1057776,Not employed,
1057785,Not employed,
1057786,,
1057787,Not employed,
1057799,Employed Full Time,6/13/2017
1057801,Not employed,
1057824,Not employed,6/15/2012
1057892,Employed Full Time,10/9/2017
1057916,,
1057971,Employed Part Time,8/4/2015
1057974,Not employed,
1058003,Employed Full Time,5/5/2017
1058022,Employed Full Time,7/5/2017
1058036,Employed Full Time,10/15/2015
1058043,Not employed,
1058045,Not employed,2/6/2017
1058052,Employed Part Time,
1058065,Not employed,
1058081,Employed Full Time,6/2/2017
1058082,,
1058083,,
1058086,,
1058100,,
1058122,Not employed,
1058123,Employed Full Time,6/15/2011
1058139,Not employed,
1058150,Not employed,
1058160,Employed Full Time,7/15/2015
1058163,Not employed,
1058166,Not employed,
1058167,Employed Full Time,7/24/2017
1058172,Employed Full Time,5/21/2018
1058176,Employed Full Time,3/13/2018
1058193,Employed Full Time,5/30/2018
1058215,Not employed,
1058240,Not employed,
1058246,Employed Full Time,10/25/2018
1058251,Not employed,
1058266,Not employed,
1058267,Employed Full Time,10/11/2017
1058309,Employed Full Time,9/14/2017
1058332,Not employed,
1058345,Employed Full Time,10/2/2017
1058356,Employed Full Time,7/26/2017
1058366,Not employed,
1058402,Employed Part Time,3/7/2017
1058496,Employed Full Time,7/1/2017
1058565,Not employed,
1058589,Not employed,
1058610,Not employed,
1058676,Employed Part Time,2/15/2017
1058677,Not employed,
1058679,Employed Full Time,11/1/2016
1058684,Not employed,
1058689,Employed Part Time,9/18/2017
1058732,Not employed,
1058783,Not employed,
1058786,Employed Full Time,5/16/2017
1058793,,
1058822,Not employed,
1058832,,
1058850,Not employed,
1058851,Employed Full Time,8/11/2017
1058878,Not employed,
1058966,Employed Full Time,8/7/2017
1058967,Employed Full Time,7/19/2017
1058993,Employed Full Time,9/20/2017
1059015,Not employed,
1059027,Not employed,
1059101,Not employed,
1059110,Employed Full Time,9/13/2018
1059136,Not employed,
1059155,Employed Full Time,1/3/2018
1059183,,1/1/1900
1059263,Not employed,10/9/2017
1059278,Not employed,
1059336,Employed Full Time,3/16/2016
1059374,Not employed,
1059375,Not employed,8/16/2017
1059381,Employed Full Time,10/15/2017
1059384,Employed Full Time,8/1/2017
1059389,Not employed,
1059395,Not employed,
1059745,Not employed,
1059848,Not employed,
1059861,Employed Full Time,11/19/2017
1059886,Employed Full Time,10/16/2017
1059887,Employed Full Time,10/1/2017
1059903,Not employed,
1059997,Employed Full Time,9/6/2018
1060048,,
1060052,Employed Full Time,11/19/2012
1060058,Not employed,
1060098,Not employed,
1060105,Not employed,
1060164,Employed Full Time,6/15/2008
1060284,Employed Part Time,1/15/2018
1060484,Employed Full Time,1/12/2018
1060598,Not employed,
1060647,Not employed,
1060684,,
1060685,Not employed,
1060903,Not employed,
1061306,0,1/1/1900
1061321,Not employed,
1061361,,
1061424,Not employed,
1061477,Not employed,
1061489,Not employed,
1061522,Employed Part Time,8/3/1998
1061523,Employed Full Time,2/1/2018
1061524,Not employed,
1061525,Not employed,
1061553,Employed Full Time,10/1/2017
1061559,Not employed,
1061578,Not employed,
1061581,Employed Full Time,11/15/2017
1061605,,
1061656,Employed Full Time,11/29/2017
1061661,Not employed,
1061692,Employed Full Time,6/15/2015
1061707,Employed Full Time,11/20/2017
1061720,Employed Full Time,12/5/2016
1061732,,
1061779,Employed Full Time,5/1/2018
1061786,Not employed,
1061791,Employed Full Time,11/3/2017
1061808,Employed Part Time,4/3/2017
1061812,Employed Full Time,5/5/1999
1061829,Employed Part Time,11/10/2017
1061837,Not employed,
1061855,Employed Full Time,11/13/2017
1061856,Employed Full Time,11/7/2017
1061871,Employed Full Time,12/12/2016
1061872,Not employed,
1061873,Employed Part Time,10/11/2017
1061882,Employed Full Time,11/20/2017
1061929,Employed Full Time,3/10/2010
1061942,Not employed,
1061992,Employed Full Time,1/8/2018
1061997,0,1/3/1900
1062005,Not employed,
1062006,Employed Full Time,1/1/2018
1062020,Employed Full Time,10/3/2017
1062057,Employed Full Time,8/1/2018
1062077,Employed Full Time,4/2/2018
1062087,Employed Full Time,1/1/1977
1062099,Employed Full Time,1/4/2018
1062111,Not employed,
1062195,Employed Full Time,1/16/2018
1062213,Not employed,
1062247,Employed Full Time,10/17/2016
1062267,,
1062268,Employed Full Time,2/16/2018
1062270,Employed Full Time,4/13/2015
1062298,Employed Full Time,2/19/2018
1062300,Employed Full Time,1/22/2018
1062301,Employed Full Time,4/12/2003
1062305,Employed Full Time,12/20/2017
1062340,Employed Part Time,2/9/2018
1062341,Not employed,
1062342,Employed Part Time,4/16/2018
1062343,Employed Full Time,3/13/2017
1062344,Employed Full Time,12/13/2017
1062380,Not employed,
1062384,Employed Part Time,1/16/2017
1062439,Not employed,
1062460,Not employed,
1062463,Employed Full Time,7/16/2018
1062464,Employed Full Time,2/5/2018
1062495,Employed Full Time,2/1/2015
1062497,Employed Full Time,4/23/2018
1062498,Employed Full Time,1/2/2018
1062501,Employed Full Time,4/2/2018
1062505,Employed Part Time,3/1/2011
1062509,Employed Full Time,9/6/2017
1062512,Employed Full Time,1/5/2018
1062514,Not employed,
1062524,Not employed,
1062535,Employed Full Time,12/1/2015
1062536,Not employed,
1062537,Not employed,
1062539,Employed Full Time,3/7/2018
1062545,Employed Part Time,11/1/2016
1062547,Not employed,
1062548,,
1062551,Employed Full Time,8/1/1993
1062552,Not employed,
1062563,Employed Full Time,10/4/2016
1062565,Not employed,
1062566,Employed Full Time,4/28/2015
1062573,Employed Full Time,8/1/2016
1062581,Employed Part Time,10/16/2017
1062582,Not employed,
1062587,,
1062591,Not employed,
1062594,Not employed,
1062596,Not employed,
1062598,Employed Full Time,2/5/2018
1062603,Employed Full Time,3/19/2018
1062604,Not employed,
1062605,Employed Part Time,11/30/2018
1062606,Not employed,
1062607,Not employed,
1062621,Not employed,
1062622,Employed Full Time,
1062623,Employed Full Time,3/15/2018
1062625,Employed Full Time,2/8/2017
1062626,Employed Full Time,6/19/2017
1062628,Not employed,
1062633,Not employed,
1062635,Employed Full Time,8/1/2008
1062637,Employed Part Time,1/1/2006
1062671,Not employed,
1062676,Not employed,
1062685,Employed Part Time,1/29/2018
1062764,Not employed,
1062765,Not employed,
1062989,,
1062991,,
1062995,Not employed,
1063013,Not employed,
1063015,Not employed,
1063018,Not employed,
1063020,Not employed,
1063021,,
1063022,Not employed,
1063039,Employed Part Time,8/9/2016
1063056,Not employed,
1063087,Not employed,
1063137,Not employed,
1063141,Employed Part Time,4/23/2018
1063149,Not employed,
1063151,Not employed,
1063152,Not employed,
1063172,Not employed,
1063182,Employed Full Time,12/31/2017
1063183,Not employed,
1063185,Not employed,
1063186,Not employed,
1063187,Not employed,
1063188,Not employed,
1063189,Not employed,
1063190,Not employed,
1063194,Not employed,
1063195,Not employed,
1063196,Not employed,
1063197,Not employed,
1063198,Not employed,
1063199,,
1063200,Not employed,
1063201,,
1063204,Employed Full Time,12/1/2016
1063213,Employed Full Time,4/14/2017
1063247,Employed Full Time,8/1/2017
1063277,Employed Full Time,4/15/2015
1063288,Not employed,
1063289,Not employed,
1063297,Employed Full Time,7/15/2015
1063298,Employed Full Time,4/15/2014
1063301,Not employed,
1063313,Employed Full Time,12/18/2017
1063315,Not employed,
1063327,Not employed,
1063333,Not employed,
1063334,Employed Part Time,5/15/2015
1063335,Employed Part Time,4/27/2018
1063364,Not employed,
1063420,Employed Full Time,4/11/2018
1063471,Employed Full Time,9/15/2017
1063472,Employed Full Time,6/1/2018
