employmentid,accessemployment,employmentstatus,employmentstartdate,employmentretention,jobtrainingenrolled,jobtrainingcompleted
484,No,,,,No,No
485,Yes,,,,No,No
486,No,,,,No,No
487,Yes,,,,No,No
488,Yes,,,,No,No
489,Yes,,,,No,No
490,No,,,,No,No
491,No,,,,No,No
492,Yes,,,,No,No
493,Yes,,,,No,No
494,Yes,,,,No,No
495,Yes,,,,No,No
496,Yes,Employed Full Time,,,No,No
497,Yes,,,,No,No
498,Yes,Employed Full Time,2016-01-13 00:00:00,,No,No
499,Yes,Employed Part Time,,,No,No
500,Yes,,,,No,No
501,Yes,,,,No,No
502,No,Employed Full Time,,,No,No
503,No,,,,No,No
504,Yes,,,,No,No
505,Yes,,,,No,No
506,Yes,,,,No,No
507,Yes,,,,No,No
508,Yes,,,,No,No
509,Yes,Employed Part Time,,,No,No
510,Yes,,,,No,No
511,Yes,,,,No,No
512,Yes,,,,No,No
513,Yes,,,,No,No
514,Yes,,,,No,No
515,No,Employed Full Time,,,No,No
516,Yes,Employed Part Time,2016-05-30 00:00:00,,No,No
517,Yes,,,,No,No
518,Yes,,,,No,No
519,Yes,,,,No,No
520,Yes,,,,No,No
521,Yes,Employed Full Time,2017-08-07 00:00:00,,No,No
522,Yes,,,,No,No
523,Yes,,,,No,No
524,Yes,,,,No,No
525,Yes,,,,No,No
526,No,Employed Full Time,,,No,No
527,Yes,,,,No,No
528,Yes,,,,No,No
529,Yes,Employed Part Time,2016-05-16 00:00:00,,Yes,No
530,No,,,,No,No
531,Yes,,,,No,No
532,No,Not employed,,,,
533,Yes,,,,No,No
534,Yes,,,,No,No
535,Yes,,,,No,No
536,Yes,,,,No,No
537,Yes,,,,No,No
538,Yes,,,,No,No
539,Yes,,,,No,No
540,Yes,,,,No,No
541,No,,,,Yes,Yes
542,No,,,,Yes,Yes
543,No,,,,Yes,Yes
544,Yes,,,,No,No
545,Yes,Employed Full Time,2016-11-15 00:00:00,Yes,Yes,No
546,No,Employed Part Time,,,No,No
547,No,,,,Yes,No
548,Yes,,,,No,No
549,No,,,,Yes,Yes
550,No,,,,Yes,No
551,Yes,,,,No,No
552,No,,,,Yes,No
553,Yes,,,,No,No
554,Yes,,,,No,No
555,Yes,,,,No,No
556,Yes,,,,No,No
557,Yes,,,,No,No
558,Yes,,,,No,No
559,Yes,,,,No,No
560,Yes,,,,No,No
561,Yes,Employed Full Time,2016-08-29 00:00:00,,No,No
562,No,,,,Yes,Yes
563,No,,,,Yes,No
564,No,Employed Part Time,,,Yes,Yes
565,Yes,,,,No,No
566,No,Employed Full Time,,,No,No
567,Yes,,,,No,No
568,Yes,,,,No,No
569,Yes,,,,No,No
570,Yes,,,,No,No
571,Yes,,,,No,No
572,Yes,,,,No,No
573,No,Employed Full Time,,,No,No
574,Yes,,,,No,No
575,Yes,,,,No,No
576,Yes,,,,No,No
577,Yes,,,,No,No
578,Yes,,,,No,No
579,No,,,,No,No
580,Yes,,,,No,No
581,Yes,,,,Yes,Yes
582,Yes,,,,No,No
583,No,Employed Full Time,,,No,No
584,Yes,,,,No,No
585,No,,,No,,No
586,Yes,,,,No,No
587,No,,,,Yes,Yes
588,No,,,,Yes,Yes
589,No,Employed Full Time,,,No,No
590,No,Employed Full Time,,,No,No
591,Yes,,,,No,No
592,No,Employed Full Time,,,No,No
593,Yes,Employed Full Time,,,No,No
594,Yes,,,,Yes,Yes
595,Yes,,,,No,No
596,Yes,,,,Yes,Yes
597,No,,,,Yes,Yes
598,No,,,,No,No
599,No,Employed Full Time,,,No,No
600,No,Employed Full Time,,,No,No
601,Yes,,,,Yes,Yes
602,Yes,Employed Part Time,,,Yes,Yes
603,Yes,,,,No,No
604,Yes,,,,No,No
605,No,,,,No,No
606,No,Employed Full Time,,,No,No
607,No,Employed Full Time,,,No,No
608,No,,,,No,No
609,No,Not employed,,,,
610,No,,,,No,No
611,Yes,,,,No,No
612,No,Employed Full Time,,,No,No
613,Yes,,,,No,No
614,Yes,,,No,,No
615,Yes,,,,No,No
616,Yes,,,,No,No
617,No,,,,Yes,Yes
618,Yes,,,,No,No
619,Yes,,,,No,No
620,No,,,,Yes,Yes
621,Yes,Employed Part Time,2016-09-15 00:00:00,,No,No
622,Yes,,,,No,No
623,Yes,Employed Full Time,,,No,No
624,No,Employed Part Time,,,No,No
625,No,,,,No,No
626,Yes,,,,No,No
627,Yes,,,,No,No
628,No,Employed Part Time,,,No,No
629,Yes,,,,No,No
630,Yes,,,,No,No
631,No,,,,No,No
632,No,,,,No,No
633,No,,,,No,No
634,No,Employed Part Time,,,No,No
635,No,,,,No,No
636,No,Employed Part Time,,,No,No
637,No,Employed Full Time,,,No,No
638,No,Employed Part Time,,,No,No
639,No,Employed Full Time,,,No,No
640,No,Employed Full Time,,,No,No
641,No,,,,No,No
642,No,,,,No,No
643,Yes,,,,No,No
644,Yes,,,,No,No
645,Yes,,,,No,No
646,Yes,,,,No,No
647,Yes,,,,No,No
648,No,,,,No,No
649,No,Employed Full Time,,,No,No
650,Yes,,,,No,No
651,No,,,,No,No
652,No,Employed Part Time,,,No,No
653,Yes,,,,No,No
654,No,,,,No,No
655,No,,,,No,No
656,No,,,,No,No
657,No,,,,No,No
658,No,Employed Full Time,,,No,No
659,No,,,,No,No
660,No,,,,No,No
661,No,,,,No,No
662,No,,,,No,No
663,No,,,,No,No
664,No,,,,No,No
665,No,,,,No,No
666,No,,,,No,No
667,No,,,,No,No
668,No,Employed Full Time,,,No,No
669,Yes,,,,No,No
670,No,,,,No,No
671,No,,,,No,No
672,No,Employed Full Time,,,No,No
673,No,,,,No,No
674,No,,,,No,No
675,Yes,,,,No,No
676,No,,,,No,No
677,Yes,,,,No,No
678,No,,,,No,No
679,No,,,,No,No
680,No,,,,No,No
681,No,,,,No,No
682,No,Employed Part Time,,,No,No
683,No,,,,No,No
684,No,,,No,,No
685,No,Employed Part Time,,,No,No
686,No,,,,No,No
687,Yes,Employed Part Time,,,No,No
688,No,Employed Part Time,,,No,No
689,No,Employed Full Time,,,No,No
690,Yes,Employed Part Time,,,No,No
691,No,,,,No,No
692,No,Employed Full Time,,,No,No
693,No,Employed Full Time,2016-12-07 00:00:00,,No,No
694,Yes,,,,No,No
695,No,Employed Full Time,,,No,No
696,No,,,,No,No
697,No,Employed Full Time,,,No,No
698,No,Employed Part Time,,,No,No
699,No,Employed Part Time,,,No,No
700,No,,,,No,No
701,No,,,,No,No
702,Yes,,,,No,No
703,Yes,Employed Part Time,,,No,No
704,Yes,,,,No,No
705,No,Employed Full Time,,,No,No
706,No,,,,No,No
707,Yes,,,,No,No
708,No,Employed Full Time,,,No,No
709,No,Employed Part Time,,,No,No
710,No,,,,No,No
711,No,Employed Full Time,,,No,No
712,No,Employed Full Time,,,No,No
713,Yes,Employed Full Time,,,No,No
714,No,Employed Part Time,,,No,No
715,No,Employed Full Time,,,No,No
716,No,,,,No,No
717,No,,,,No,No
718,No,,,,No,No
719,Yes,,,No,,No
720,No,Employed Full Time,,No,,No
721,No,,,No,,No
722,Yes,Employed Full Time,,No,,No
723,No,Not employed,,,,
724,No,Employed Full Time,,,No,No
725,Yes,,,No,,No
726,No,,,,No,No
727,No,,,No,,No
728,No,Employed Full Time,,No,,No
729,Yes,,,No,,No
730,No,,,No,,No
731,No,,,No,,No
732,Yes,Employed Full Time,,No,,No
733,Yes,,,No,,No
734,No,,,No,,No
735,Yes,,,No,,No
736,No,,,No,,No
737,Yes,,,No,,No
738,No,,,No,,No
739,Yes,,,No,,No
740,No,Employed Full Time,,No,,No
741,No,,,No,,No
742,No,,,No,,No
743,No,,,No,,No
744,No,,,No,,No
745,No,,,No,,No
746,Yes,,,No,,No
747,Yes,,,No,,No
748,Yes,Employed Part Time,,No,,No
749,Yes,,,No,,No
750,Yes,,,No,,No
751,No,,,No,,No
752,Yes,Employed Full Time,2017-02-08 00:00:00,No,,No
753,No,,,No,,No
754,Yes,,2012-06-01 00:00:00,No,,No
755,No,,,No,,No
756,Yes,,,No,,No
757,Yes,,,No,,No
758,No,,,No,,No
759,No,,,No,,No
760,No,,,No,,No
761,No,,,No,,No
762,Yes,,,No,,No
763,Yes,,,No,,No
764,Yes,,,No,,No
765,No,,,No,,No
766,Yes,,,No,,No
767,Yes,,,No,,No
768,Yes,,,No,,No
769,Yes,,,No,,No
770,Yes,,,No,,No
771,Yes,Employed Part Time,,,No,No
772,Yes,,,No,,No
773,Yes,,,No,,No
774,No,Employed Part Time,,No,,No
775,Yes,,,No,,No
776,No,,,No,,No
777,Yes,,,,,
778,Yes,,,No,,No
779,No,,,,,
780,No,,,No,,No
781,No,,,,,
782,No,Employed Full Time,,No,,No
783,Yes,,,,No,No
784,Yes,,,,No,No
785,No,Employed Full Time,,,No,No
786,No,,,,Yes,No
787,No,,,,Yes,No
788,No,,,,Yes,No
789,No,,,,Yes,No
790,No,,,,Yes,No
791,No,Employed Full Time,,,No,No
792,Yes,Employed Full Time,,,,
793,Yes,Not employed,,,No,No
794,Yes,,,,No,No
795,No,,,,No,No
796,Yes,,,,No,No
797,Yes,,,,No,No
798,Yes,,,,No,No
799,Yes,Employed Part Time,,,No,No
800,No,Employed Full Time,,,No,No
801,Yes,,,,No,No
802,No,,,,No,No
803,No,,,,No,No
804,No,,,,No,No
805,Yes,Employed Full Time,2017-05-05 00:00:00,,No,No
806,No,,,,No,No
807,Yes,,,,No,No
808,No,,,,No,No
809,Yes,,,,No,No
810,Yes,,,,No,No
811,Yes,,,,No,No
812,No,,,,No,No
813,No,Employed Full Time,,,No,No
814,Yes,,,,No,No
815,Yes,,,,No,No
816,No,,,,No,No
817,No,,,,No,No
818,No,,,,No,No
819,No,,,,No,No
820,Yes,,,,No,No
821,Yes,,,,No,No
822,No,Employed Full Time,,,No,No
823,No,,,,No,No
824,No,,,,No,No
825,No,Employed Part Time,2015-08-04 00:00:00,,No,No
826,Yes,,,,No,No
827,No,,,,No,No
828,Yes,,,,No,No
829,Yes,Employed Full Time,2015-10-15 00:00:00,,No,No
830,Yes,,,,No,No
831,Yes,,,,No,No
832,Yes,Employed Part Time,,,No,No
833,No,,,,No,No
834,No,,,,No,No
835,No,,,,No,No
836,No,,,,No,No
837,No,,,,No,No
838,No,,,,No,No
839,Yes,,,,No,No
840,Yes,Employed Full Time,2011-06-15 00:00:00,,No,No
841,Yes,,,,No,No
842,Yes,Not employed,,,No,No
843,Yes,Employed Full Time,2015-07-15 00:00:00,,No,No
844,Yes,Not employed,,,No,No
845,Yes,Not employed,,,No,No
846,Yes,Not employed,,,No,No
847,No,Employed Part Time,2017-10-09 00:00:00,,No,No
848,Yes,,,,No,No
849,Yes,Employed Part Time,2017-06-30 00:00:00,,No,No
850,Yes,Not employed,,,No,No
851,No,Not employed,,,,
852,No,,,,,
853,Yes,Not employed,,,No,No
854,Yes,Not employed,,,No,No
855,No,Not employed,,,No,No
856,Yes,Employed Full Time,2017-09-14 00:00:00,,No,No
857,Yes,Not employed,,,No,No
858,No,Not employed,,,Yes,Yes
859,Yes,Not employed,,,No,No
860,Yes,Not employed,,,Yes,No
861,Yes,Employed Part Time,2017-09-05 00:00:00,,No,No
862,No,Employed Full Time,2017-07-01 00:00:00,,,
863,Yes,Not employed,,,No,No
864,No,Not employed,,,No,No
865,Yes,Not employed,,,No,No
866,No,Employed Part Time,2017-02-15 00:00:00,,Yes,No
867,No,Not employed,,,Yes,No
868,No,Employed Full Time,2017-01-18 00:00:00,,Yes,No
869,No,Not employed,,,Yes,No
870,Yes,Not employed,,,Yes,Yes
871,Yes,Not employed,,,No,No
872,Yes,Not employed,,,No,No
873,Yes,Employed Full Time,2016-11-08 00:00:00,,Yes,Yes
874,Yes,,,,No,No
875,Yes,Not employed,,,No,No
876,No,,,,,
877,No,Not employed,,,No,No
878,Yes,Not employed,,,No,No
879,No,Not employed,,,,
880,Yes,Not employed,,,No,No
881,Yes,Employed Full Time,2017-07-19 00:00:00,,,
882,Yes,Not employed,,,Yes,No
883,No,Not employed,,,,
884,Yes,Not employed,,,Yes,No
885,No,Not employed,,,No,No
886,No,Employed Full Time,2016-03-16 00:00:00,,No,No
887,Yes,Not employed,,,Yes,Yes
888,Yes,Not employed,,,No,No
889,Yes,,1900-01-01 00:00:00,,,
890,Yes,Not employed,,,Yes,No
891,Yes,Not employed,,,Yes,No
892,No,Employed Full Time,2016-03-16 00:00:00,,No,No
893,Yes,Not employed,,,No,No
894,Yes,Employed Part Time,2017-10-01 00:00:00,,Yes,No
895,No,Not employed,,,No,No
896,Yes,Not employed,,,Yes,No
897,Yes,Not employed,,,Yes,No
898,Yes,Not employed,,,Yes,No
899,Yes,Not employed,,,No,No
900,No,Not employed,,,No,No
901,No,Employed Full Time,2017-10-16 00:00:00,,No,No
902,No,Employed Full Time,2017-10-01 00:00:00,,Yes,No
903,Yes,,,,No,No
904,Yes,Not employed,,,No,No
905,Yes,,,,No,No
