empid_varchar,emp_varchar,empid_varchar,emp_emp,empid_varchar,emp_excel,recordid,clientid
47,Employed Full Time,47,Employed Full Time,47,Employed Full Time,47,189643
48,Employed Full Time,48,Employed Full Time,48,Employed Full Time,48,189907
49,,49,,49,,49,189917
50,Employed Part Time,50,Employed Part Time,50,Employed Part Time,50,189919
51,Employed Part Time,51,Employed Part Time,51,Employed Part Time,51,189954
52,,52,,52,,52,189958
53,,53,,53,,53,1034665
54,Employed Part Time,54,Employed Part Time,54,Employed Part Time,54,1035689
55,Employed Part Time,55,Employed Part Time,55,Employed Part Time,55,1035903
56,Employed Full Time,56,Employed Full Time,56,Employed Full Time,56,1035936
57,Employed Full Time,57,Employed Full Time,57,Employed Full Time,57,1036002
58,Employed Full Time,58,Employed Full Time,58,Employed Full Time,58,1036147
59,Employed Full Time,59,Employed Full Time,59,Employed Full Time,59,1036346
60,Employed Full Time,60,Employed Full Time,60,Employed Full Time,60,1036544
61,Employed Full Time,61,Employed Full Time,61,Employed Full Time,61,1036578
62,,62,,62,,62,1036591
63,,63,,63,,63,1036595
64,Employed Full Time,64,Employed Full Time,64,Employed Full Time,64,1036596
65,,65,,65,,65,1036632
66,,66,,66,,66,1036695
67,,67,,67,,67,1036884
68,,68,,68,,68,1036893
69,Employed Full Time,69,Employed Full Time,69,Employed Full Time,69,1037080
70,,70,,70,,70,1037082
71,Employed Full Time,71,Employed Full Time,71,Employed Full Time,71,1037195
72,Employed Full Time,72,Employed Full Time,72,Employed Full Time,72,1037253
73,,73,,73,,73,1037321
74,,74,,74,,74,1037360
75,Employed Full Time,75,Employed Full Time,75,Employed Full Time,75,1037507
76,,76,,76,,76,1037538
77,,77,,77,,77,1037540
78,Employed Full Time,78,Employed Full Time,78,Employed Full Time,78,1037836
79,,79,,79,,79,1037846
80,,80,,80,,80,1037849
81,,81,,81,,81,1037855
82,Employed Full Time,82,Employed Full Time,82,Employed Full Time,82,1037877
83,,83,,83,,83,1037909
84,,84,,84,,84,1037916
85,,85,,85,,85,1037942
86,Employed Full Time,86,Employed Full Time,86,Employed Full Time,86,1037967
87,Employed Full Time,87,Employed Full Time,87,Employed Full Time,87,1037982
88,,88,,88,,88,1038057
89,Employed Full Time,89,Employed Full Time,89,Employed Full Time,89,1038065
90,,90,,90,,90,1038079
91,,91,,91,,91,1038080
92,,92,,92,,92,1038081
93,,93,,93,,93,1038097
94,,94,,94,,94,1038099
95,,95,,95,,95,1038195
96,,96,,96,,96,1038198
97,,97,,97,,97,1038217
98,,98,,98,,98,1038226
99,Employed Full Time,99,Employed Full Time,99,Employed Full Time,99,1038273
100,,100,,100,,100,1038278
101,,101,,101,,101,1038296
102,Employed Part Time,102,Employed Part Time,102,Employed Part Time,102,1038305
103,Employed Full Time,103,Employed Full Time,103,Employed Full Time,103,1038352
104,Employed Full Time,104,Employed Full Time,104,Employed Full Time,104,1038366
105,,105,,105,,105,1038367
106,,106,,106,,106,1038413
107,,107,,107,,107,1038468
108,,108,,108,,108,1038473
109,,109,,109,,109,1038479
110,,110,,110,,110,1038521
111,,111,,111,,111,1038550
112,,112,,112,,112,1038574
113,Employed Full Time,113,Employed Full Time,113,Employed Full Time,113,1038575
114,,114,,114,,114,1038576
115,,115,,115,,115,1038583
116,,116,,116,,116,1038636
117,Employed Full Time,117,Employed Full Time,117,Employed Full Time,117,1038665
118,,118,,118,,118,1038680
119,,119,,119,,119,1038731
120,,120,,120,,120,1038733
121,,121,,121,,121,1038750
122,,122,,122,,122,1038787
123,,123,,123,,123,1038808
124,,124,,124,,124,1038826
125,,125,,125,,125,1038869
126,,126,,126,,126,1038889
127,Employed Full Time,127,Employed Full Time,127,Employed Full Time,127,1038909
128,,128,,128,,128,1038936
129,,129,,129,,129,1038944
130,,130,,130,,130,1038950
131,,131,,131,,131,1038951
132,,132,,132,,132,1038995
133,Employed Full Time,133,Employed Full Time,133,Employed Full Time,133,1038997
134,Employed Part Time,134,Employed Part Time,134,Employed Part Time,134,1039041
135,,135,,135,,135,1039057
136,Employed Part Time,136,Employed Part Time,136,Employed Part Time,136,1039096
137,Employed Full Time,137,Employed Full Time,137,Employed Full Time,137,1039114
138,Employed Full Time,138,Employed Full Time,138,Employed Full Time,138,1039115
139,,139,,139,,139,1039177
140,,140,,140,,140,1039217
141,,141,,141,,141,1039318
142,Employed Full Time,142,Employed Full Time,142,Employed Full Time,142,1039331
143,,143,,143,,143,1039338
144,,144,,144,,144,1039371
145,,145,,145,,145,1039406
146,,146,,146,,146,1039423
147,,147,,147,,147,1039454
148,,148,,148,,148,1039468
149,,149,,149,,149,1039485
150,,150,,150,,150,1039490
151,Employed Full Time,151,Employed Full Time,151,Employed Full Time,151,1039493
152,,152,,152,,152,1039500
153,Employed Full Time,153,Employed Full Time,153,Employed Full Time,153,1039519
154,Employed Full Time,154,Employed Full Time,154,Employed Full Time,154,1039538
155,,155,,155,,155,1039545
156,,156,,156,,156,1039584
157,,157,,157,,157,1039591
158,,158,,158,,158,1039598
159,,159,,159,,159,1039605
160,,160,,160,,160,1039607
161,,161,,161,,161,1039634
162,Employed Full Time,162,Employed Full Time,162,Employed Full Time,162,1039643
163,,163,,163,,163,1039658
164,,164,,164,,164,1039718
165,Employed Full Time,165,Employed Full Time,165,Employed Full Time,165,1039721
166,,166,,166,,166,1039854
167,,167,,167,,167,1040004
168,,168,,168,,168,1040005
169,,169,,169,,169,1040427
170,,170,,170,,170,1040528
171,Employed Full Time,171,Employed Full Time,171,Employed Full Time,171,1040534
172,,172,,172,,172,1040570
173,,173,,173,,173,1040580
174,Employed Full Time,174,Employed Full Time,174,Employed Full Time,174,1040582
175,Employed Full Time,175,Employed Full Time,175,Employed Full Time,175,1040605
176,,176,,176,,176,1040606
177,,177,,177,,177,1040607
178,,178,,178,,178,1041098
179,,179,,179,,179,1041145
180,,180,,180,,180,1041155
181,,181,,181,,181,1041192
182,Employed Full Time,182,Employed Full Time,182,Employed Full Time,182,1041218
183,,183,,183,,183,1041253
184,,184,,184,,184,1041258
185,Employed Full Time,185,Employed Full Time,185,Employed Full Time,185,1041310
186,Employed Full Time,186,Employed Full Time,186,Employed Full Time,186,1041521
187,,187,,187,,187,1041621
188,,188,,188,,188,1041622
189,Employed Part Time,189,Employed Part Time,189,Employed Part Time,189,1042152
190,,190,,190,,190,1042240
191,Employed Full Time,191,Employed Full Time,191,Employed Full Time,191,1042564
192,,192,,192,,192,1042611
193,,193,,193,,193,1042772
194,,194,,194,,194,1043199
195,,195,,195,,195,1043312
196,,196,,196,,196,1043480
197,,197,,197,,197,1043565
198,,198,,198,,198,1043767
199,Employed Full Time,199,Employed Full Time,199,Employed Full Time,199,1044349
200,Employed Part Time,200,Employed Part Time,200,Employed Part Time,200,1044399
201,Employed Full Time,201,Employed Full Time,201,Employed Full Time,201,1044425
202,,202,,202,,202,1044427
203,Employed Full Time,203,Employed Full Time,203,Employed Full Time,203,1044508
204,,204,,204,,204,1044511
205,,205,,205,,205,1044522
206,,206,,206,,206,1044527
207,Employed Full Time,207,Employed Full Time,207,Employed Full Time,207,1044548
208,Employed Full Time,208,Employed Full Time,208,Employed Full Time,208,1044551
209,Employed Part Time,209,Employed Part Time,209,Employed Part Time,209,1044562
210,Employed Full Time,210,Employed Full Time,210,Employed Full Time,210,1044563
211,,211,,211,,211,1044620
212,Employed Full Time,212,Employed Full Time,212,Employed Full Time,212,1044637
213,Employed Full Time,213,Employed Full Time,213,Employed Full Time,213,1044661
214,Employed Full Time,214,Employed Full Time,214,Employed Full Time,214,1044671
215,Employed Full Time,215,Employed Full Time,215,Employed Full Time,215,1044681
216,Employed Full Time,216,Employed Full Time,216,Employed Full Time,216,1044706
217,,217,,217,,217,1044721
218,Employed Part Time,218,Employed Part Time,218,Employed Part Time,218,1044722
219,,219,,219,,219,1044758
220,,220,,220,,220,1044764
221,Employed Part Time,221,Employed Part Time,221,Employed Part Time,221,1044765
222,,222,,222,,222,1044781
223,,223,,223,,223,1044813
224,,224,,224,,224,1044827
225,Employed Part Time,225,Employed Part Time,225,Employed Part Time,225,1044828
226,,226,,226,,226,1044832
227,,227,,227,,227,1044834
228,Employed Full Time,228,Employed Full Time,228,Employed Full Time,228,1044835
229,,229,,229,,229,1044837
230,,230,,230,,230,1044845
231,,231,,231,,231,1044862
232,,232,,232,,232,1044887
233,Employed Full Time,233,Employed Full Time,233,Employed Full Time,233,1044894
234,,234,,234,,234,1044904
235,Employed Full Time,235,Employed Full Time,235,Employed Full Time,235,1044919
236,,236,,236,,236,1044924
237,Employed Part Time,237,Employed Part Time,237,Employed Part Time,237,1045007
238,,238,,238,,238,1045026
239,,239,,239,,239,1045033
240,,240,,240,,240,1045038
241,Employed Part Time,241,Employed Part Time,241,Employed Part Time,241,1045039
242,,242,,242,,242,1045040
243,,243,,243,,243,1045041
244,Employed Part Time,244,Employed Part Time,244,Employed Part Time,244,1045042
245,,245,,245,,245,1045049
246,Employed Part Time,246,Employed Part Time,246,Employed Part Time,246,1045061
247,,247,,247,,247,1045062
248,Employed Part Time,248,Employed Part Time,248,Employed Part Time,248,1045063
249,Employed Part Time,249,Employed Part Time,249,Employed Part Time,249,1045064
250,Employed Part Time,250,Employed Part Time,250,Employed Part Time,250,1045065
251,,251,,251,,251,1045126
252,,252,,252,,252,1045127
253,,253,,253,,253,1045136
254,,254,,254,,254,1045149
255,,255,,255,,255,1045157
256,,256,,256,,256,1045184
257,Employed Full Time,257,Employed Full Time,257,Employed Full Time,257,1045207
258,Employed Full Time,258,Employed Full Time,258,Employed Full Time,258,1045209
259,Employed Full Time,259,Employed Full Time,259,Employed Full Time,259,1045212
260,Employed Full Time,260,Employed Full Time,260,Employed Full Time,260,1045218
261,Employed Full Time,261,Employed Full Time,261,Employed Full Time,261,1045219
262,,262,,262,,262,1045229
263,,263,,263,,263,1045232
264,,264,,264,,264,1045305
265,Employed Full Time,265,Employed Full Time,265,Employed Full Time,265,1045319
266,,266,,266,,266,1045326
267,,267,,267,,267,1045339
268,,268,,268,,268,1045340
269,,269,,269,,269,1045341
270,Employed Full Time,270,Employed Full Time,270,Employed Full Time,270,1045351
271,,271,,271,,271,1045354
272,,272,,272,,272,1045355
273,,273,,273,,273,1045357
274,,274,,274,,274,1045358
275,,275,,275,,275,1045360
276,,276,,276,,276,1045362
277,,277,,277,,277,1045363
278,,278,,278,,278,1045369
279,,279,,279,,279,1045373
280,,280,,280,,280,1045374
281,,281,,281,,281,1045387
282,,282,,282,,282,1045388
283,,283,,283,,283,1045394
284,,284,,284,,284,1045407
285,,285,,285,,285,1045408
286,,286,,286,,286,1045413
287,Employed Full Time,287,Employed Full Time,287,Employed Full Time,287,1045414
288,,288,,288,,288,1045415
289,,289,,289,,289,1045417
290,,290,,290,,290,1045426
291,,291,,291,,291,1045431
292,,292,,292,,292,1045433
293,,293,,293,,293,1045434
294,,294,,294,,294,1045435
295,,295,,295,,295,1045436
296,,296,,296,,296,1045437
297,,297,,297,,297,1045440
298,,298,,298,,298,1045444
299,,299,,299,,299,1045445
300,,300,,300,,300,1045446
301,,301,,301,,301,1045449
302,,302,,302,,302,1045450
303,,303,,303,,303,1045451
304,,304,,304,,304,1045452
305,,305,,305,,305,1045453
306,,306,,306,,306,1045454
307,,307,,307,,307,1045459
308,,308,,308,,308,1045460
309,,309,,309,,309,1045462
310,,310,,310,,310,1045463
311,,311,,311,,311,1045464
312,,312,,312,,312,1045466
313,,313,,313,,313,1045469
314,Employed Full Time,314,Employed Full Time,314,Employed Full Time,314,1045484
315,,315,,315,,315,1045485
316,,316,,316,,316,1045498
317,,317,,317,,317,1045503
318,Employed Full Time,318,Employed Full Time,318,Employed Full Time,318,1045505
319,,319,,319,,319,1045509
320,,320,,320,,320,1045518
321,,321,,321,,321,1045519
322,,322,,322,,322,1045520
323,,323,,323,,323,1045521
324,,324,,324,,324,1045523
325,,325,,325,,325,1045524
326,,326,,326,,326,1045525
327,,327,,327,,327,1045526
328,Employed Full Time,328,Employed Full Time,328,Employed Full Time,328,1045528
329,,329,,329,,329,1045537
330,,330,,330,,330,1045539
331,,331,,331,,331,1045540
332,,332,,332,,332,1045541
333,,333,,333,,333,1045542
334,,334,,334,,334,1045544
335,,335,,335,,335,1045545
336,Employed Full Time,336,Employed Full Time,336,Employed Full Time,336,1045546
337,,337,,337,,337,1045547
338,,338,,338,,338,1045551
339,,339,,339,,339,1045553
340,,340,,340,,340,1045568
341,,341,,341,,341,1045569
342,,342,,342,,342,1045574
343,,343,,343,,343,1045587
344,,344,,344,,344,1045621
345,,345,,345,,345,1045644
346,Employed Full Time,346,Employed Full Time,346,Employed Full Time,346,1045876
347,,347,,347,,347,1045882
348,,348,,348,,348,1045898
349,,349,,349,,349,1045900
350,,350,,350,,350,1045942
351,Employed Part Time,351,Employed Part Time,351,Employed Part Time,351,1045964
352,,352,,352,,352,1045968
353,Employed Full Time,353,Employed Full Time,353,Employed Full Time,353,1045973
354,,354,,354,,354,1045979
355,Employed Part Time,355,Employed Part Time,355,Employed Part Time,355,1045992
356,,356,,356,,356,1046012
357,,357,,357,,357,1046017
358,,358,,358,,358,1046027
359,,359,,359,,359,1046042
360,Employed Part Time,360,Employed Part Time,360,Employed Part Time,360,1046046
361,,361,,361,,361,1046050
362,,362,,362,,362,1046051
363,,363,,363,,363,1046052
364,Employed Full Time,364,Employed Full Time,364,Employed Full Time,364,1046053
365,,365,,365,,365,1046065
366,,366,,366,,366,1046067
367,,367,,367,,367,1046086
368,,368,,368,,368,1046090
369,,369,,369,,369,1046093
370,,370,,370,,370,1046096
371,,371,,371,,371,1046097
372,,372,,372,,372,1046112
373,Employed Full Time,373,Employed Full Time,373,Employed Full Time,373,1046119
374,,374,,374,,374,1046123
375,Employed Part Time,375,Employed Part Time,375,Employed Part Time,375,1046136
376,,376,,376,,376,1046158
377,,377,,377,,377,1046189
378,,378,,378,,378,1046193
379,Employed Full Time,379,Employed Full Time,379,Employed Full Time,379,1046202
380,Employed Full Time,380,Employed Full Time,380,Employed Full Time,380,1046204
381,Employed Full Time,381,Employed Full Time,381,Employed Full Time,381,1046210
382,,382,,382,,382,1046220
383,,383,,383,,383,1046223
384,,384,,384,,384,1046226
385,,385,,385,,385,1046227
386,,386,,386,,386,1046253
387,Employed Full Time,387,Employed Full Time,387,Employed Full Time,387,1046254
388,,388,,388,,388,1046272
389,,389,,389,,389,1046293
390,Employed Full Time,390,Employed Full Time,390,Employed Full Time,390,1046304
391,,391,,391,,391,1046350
392,,392,,392,,392,1046357
393,,393,,393,,393,1046368
394,,394,,394,,394,1046376
395,,395,,395,,395,1046377
396,Employed Full Time,396,Employed Full Time,396,Employed Full Time,396,1046457
397,,397,,397,,397,1046480
398,,398,,398,,398,1046490
399,,399,,399,,399,1046498
400,,400,,400,,400,1046511
401,,401,,401,,401,1046514
402,,402,,402,,402,1046553
403,,403,,403,,403,1046577
404,,404,,404,,404,1046627
405,,405,,405,,405,1046641
406,Employed Full Time,406,Employed Full Time,406,Employed Full Time,406,1046642
407,,407,,407,,407,1046651
408,Employed Part Time,408,Employed Part Time,408,Employed Part Time,408,1046656
409,Employed Part Time,409,Employed Part Time,409,Employed Part Time,409,1046657
410,,410,,410,,410,1046669
411,,411,,411,,411,1046676
412,,412,,412,,412,1046690
413,,413,,413,,413,1046696
414,,414,,414,,414,1046704
415,,415,,415,,415,1046724
416,,416,,416,,416,1046743
417,Employed Full Time,417,Employed Full Time,417,Employed Full Time,417,1046744
418,Employed Part Time,418,Employed Part Time,418,Employed Part Time,418,1046755
419,,419,,419,,419,1046768
420,,420,,420,,420,1046800
421,,421,,421,,421,1046822
422,,422,,422,,422,1046824
423,,423,,423,,423,1046831
424,Employed Full Time,424,Employed Full Time,424,Employed Full Time,424,1046832
425,,425,,425,,425,1046834
426,,426,,426,,426,1046835
427,Employed Full Time,427,Employed Full Time,427,Employed Full Time,427,1046837
428,Employed Full Time,428,Employed Full Time,428,Employed Full Time,428,1046845
429,,429,,429,,429,1046849
430,,430,,430,,430,1046853
431,,431,,431,,431,1046858
432,Employed Full Time,432,Employed Full Time,432,Employed Full Time,432,1046859
433,Employed Full Time,433,Employed Full Time,433,Employed Full Time,433,1046868
434,,434,,434,,434,1046876
435,,435,,435,,435,1046887
436,,436,,436,,436,1046889
437,,437,,437,,437,1046894
438,,438,,438,,438,1046898
439,,439,,439,,439,1046900
440,,440,,440,,440,1046903
441,,441,,441,,441,1046904
442,Employed Full Time,442,Employed Full Time,442,Employed Full Time,442,1046919
443,,443,,443,,443,1046926
444,,444,,444,,444,1046932
445,,445,,445,,445,1046935
446,,446,,446,,446,1046946
447,,447,,447,,447,1046947
448,,448,,448,,448,1046976
449,,449,,449,,449,1046978
450,Employed Full Time,450,Employed Full Time,450,Employed Full Time,450,1046981
451,,451,,451,,451,1046982
452,,452,,452,,452,1046984
453,,453,,453,,453,1047005
454,,454,,454,,454,1047006
455,,455,,455,,455,1047024
456,Employed Full Time,456,Employed Full Time,456,Employed Full Time,456,1047029
457,Employed Full Time,457,Employed Full Time,457,Employed Full Time,457,1047051
458,,458,,458,,458,1047078
459,,459,,459,,459,1047084
460,,460,,460,,460,1047086
461,,461,,461,,461,1047097
462,,462,,462,,462,1047101
463,Employed Full Time,463,Employed Full Time,463,Employed Full Time,463,1047144
464,,464,,464,,464,1047151
465,,465,,465,,465,1047166
466,,466,,466,,466,1047167
467,,467,,467,,467,1047172
468,,468,,468,,468,1047175
469,,469,,469,,469,1047182
470,,470,,470,,470,1047188
471,,471,,471,,471,1047211
472,,472,,472,,472,1047214
473,,473,,473,,473,1047215
474,,474,,474,,474,1047217
475,,475,,475,,475,1047218
476,,476,,476,,476,1047220
477,Employed Full Time,477,Employed Full Time,477,Employed Full Time,477,1047226
478,Employed Part Time,478,Employed Part Time,478,Employed Part Time,478,1047228
479,,479,,479,,479,1047238
480,,480,,480,,480,1047240
481,,481,,481,,481,1047249
482,,482,,482,,482,1047250
483,,483,,483,,483,1047259
484,,484,,484,,484,1047288
485,,485,,485,,485,1047298
486,,486,,486,,486,1047314
487,,487,,487,,487,1047315
488,,488,,488,,488,1047333
489,,489,,489,,489,1047406
490,,490,,490,,490,1047412
491,,491,,491,,491,1047419
492,,492,,492,,492,1047420
493,,493,,493,,493,1047458
494,,494,,494,,494,1047459
495,,495,,495,,495,1047481
496,Employed Full Time,496,Employed Full Time,496,Employed Full Time,496,1047484
497,,497,,497,,497,1047492
498,Employed Full Time,498,Employed Full Time,498,Employed Full Time,498,1047510
499,Employed Part Time,499,Employed Part Time,499,Employed Part Time,499,1047528
500,,500,,500,,500,1047529
501,,501,,501,,501,1047532
502,Employed Full Time,502,Employed Full Time,502,Employed Full Time,502,1047564
503,,503,,503,,503,1047578
504,,504,,504,,504,1047582
505,,505,,505,,505,1047584
506,,506,,506,,506,1047585
507,,507,,507,,507,1047596
508,,508,,508,,508,1047598
509,Employed Part Time,509,Employed Part Time,509,Employed Part Time,509,1047599
510,,510,,510,,510,1047603
511,,511,,511,,511,1047606
512,,512,,512,,512,1047626
513,,513,,513,,513,1047630
514,,514,,514,,514,1047632
515,Employed Full Time,515,Employed Full Time,515,Employed Full Time,515,1047647
516,Employed Part Time,516,Employed Part Time,516,Employed Part Time,516,1047651
517,,517,,517,,517,1047657
518,,518,,518,,518,1047660
519,,519,,519,,519,1047730
520,,520,,520,,520,1047807
521,Employed Full Time,521,Employed Full Time,521,Employed Full Time,521,1047811
522,,522,,522,,522,1047825
523,,523,,523,,523,1047831
524,,524,,524,,524,1047855
525,,525,,525,,525,1047857
526,Employed Full Time,526,Employed Full Time,526,Employed Full Time,526,1047900
527,,527,,527,,527,1047913
528,,528,,528,,528,1047926
529,Employed Part Time,529,Employed Part Time,529,Employed Part Time,529,1047955
530,,530,,530,,530,1047975
531,,531,,531,,531,1048011
532,Not employed,532,Not employed,532,Not employed,532,1048015
533,,533,,533,,533,1048028
534,,534,,534,,534,1048034
535,,535,,535,,535,1048044
536,,536,,536,,536,1048056
537,,537,,537,,537,1048095
538,,538,,538,,538,1048117
539,,539,,539,,539,1048124
540,,540,,540,,540,1048134
541,,541,,541,,541,1048149
542,,542,,542,,542,1048151
543,,543,,543,,543,1048153
544,,544,,544,,544,1048157
545,Employed Full Time,545,Employed Full Time,545,Employed Full Time,545,1048209
546,Employed Part Time,546,Employed Part Time,546,Employed Part Time,546,1048226
547,,547,,547,,547,1048262
548,,548,,548,,548,1048268
549,,549,,549,,549,1048269
550,,550,,550,,550,1048270
551,,551,,551,,551,1048271
552,,552,,552,,552,1048272
553,,553,,553,,553,1048303
554,,554,,554,,554,1048386
555,,555,,555,,555,1048412
556,,556,,556,,556,1048417
557,,557,,557,,557,1048443
558,,558,,558,,558,1048468
559,,559,,559,,559,1048472
560,,560,,560,,560,1048476
561,Employed Full Time,561,Employed Full Time,561,Employed Full Time,561,1048528
562,,562,,562,,562,1048564
563,,563,,563,,563,1048565
564,Employed Part Time,564,Employed Part Time,564,Employed Part Time,564,1048600
565,,565,,565,,565,1048627
566,Employed Full Time,566,Employed Full Time,566,Employed Full Time,566,1048631
567,,567,,567,,567,1048636
568,,568,,568,,568,1048643
569,,569,,569,,569,1048645
570,,570,,570,,570,1048646
571,,571,,571,,571,1048672
572,,572,,572,,572,1048683
573,Employed Full Time,573,Employed Full Time,573,Employed Full Time,573,1048684
574,,574,,574,,574,1048745
575,,575,,575,,575,1048821
576,,576,,576,,576,1048867
577,,577,,577,,577,1048936
578,,578,,578,,578,1048967
579,,579,,579,,579,1049055
580,,580,,580,,580,1049123
581,,581,,581,,581,1049245
582,,582,,582,,582,1049271
583,Employed Full Time,583,Employed Full Time,583,Employed Full Time,583,1049304
584,,584,,584,,584,1049326
585,,585,,585,,585,1050061
586,,586,,586,,586,1050153
587,,587,,587,,587,1050219
588,,588,,588,,588,1050245
589,Employed Full Time,589,Employed Full Time,589,Employed Full Time,589,1050433
590,Employed Full Time,590,Employed Full Time,590,Employed Full Time,590,1050467
591,,591,,591,,591,1050474
592,Employed Full Time,592,Employed Full Time,592,Employed Full Time,592,1050978
593,Employed Full Time,593,Employed Full Time,593,Employed Full Time,593,1051379
594,,594,,594,,594,1051384
595,,595,,595,,595,1051404
596,,596,,596,,596,1051426
597,,597,,597,,597,1051495
598,,598,,598,,598,1052173
599,Employed Full Time,599,Employed Full Time,599,Employed Full Time,599,1052346
600,Employed Full Time,600,Employed Full Time,600,Employed Full Time,600,1052591
601,,601,,601,,601,1052834
602,Employed Part Time,602,Employed Part Time,602,Employed Part Time,602,1052910
603,,603,,603,,603,1053133
604,,604,,604,,604,1053428
605,,605,,605,,605,1053531
606,Employed Full Time,606,Employed Full Time,606,Employed Full Time,606,1053582
607,Employed Full Time,607,Employed Full Time,607,Employed Full Time,607,1053607
608,,608,,608,,608,1053608
609,Not employed,609,Not employed,609,Not employed,609,1053937
610,,610,,610,,610,1053989
611,,611,,611,,611,1054735
612,Employed Full Time,612,Employed Full Time,612,Employed Full Time,612,1054773
613,,613,,613,,613,1054926
614,,614,,614,,614,1055075
615,,615,,615,,615,1055078
616,,616,,616,,616,1055079
617,,617,,617,,617,1055163
618,,618,,618,,618,1055164
619,,619,,619,,619,1055165
620,,620,,620,,620,1055166
621,Employed Part Time,621,Employed Part Time,621,Employed Part Time,621,1055170
622,,622,,622,,622,1055184
623,Employed Full Time,623,Employed Full Time,623,Employed Full Time,623,1055189
624,Employed Part Time,624,Employed Part Time,624,Employed Part Time,624,1055190
625,,625,,625,,625,1055191
626,,626,,626,,626,1055213
627,,627,,627,,627,1055216
628,Employed Part Time,628,Employed Part Time,628,Employed Part Time,628,1055217
629,,629,,629,,629,1055247
630,,630,,630,,630,1055250
631,,631,,631,,631,1055279
632,,632,,632,,632,1055321
633,,633,,633,,633,1055322
634,Employed Part Time,634,Employed Part Time,634,Employed Part Time,634,1055323
635,,635,,635,,635,1055327
636,Employed Part Time,636,Employed Part Time,636,Employed Part Time,636,1055343
637,Employed Full Time,637,Employed Full Time,637,Employed Full Time,637,1055346
638,Employed Part Time,638,Employed Part Time,638,Employed Part Time,638,1055353
639,Employed Full Time,639,Employed Full Time,639,Employed Full Time,639,1055354
640,Employed Full Time,640,Employed Full Time,640,Employed Full Time,640,1055383
641,,641,,641,,641,1055384
642,,642,,642,,642,1055386
643,,643,,643,,643,1055408
644,,644,,644,,644,1055409
645,,645,,645,,645,1055410
646,,646,,646,,646,1055411
647,,647,,647,,647,1055412
648,,648,,648,,648,1055427
649,Employed Full Time,649,Employed Full Time,649,Employed Full Time,649,1055428
650,,650,,650,,650,1055434
651,,651,,651,,651,1055435
652,Employed Part Time,652,Employed Part Time,652,Employed Part Time,652,1055436
653,,653,,653,,653,1055437
654,,654,,654,,654,1055438
655,,655,,655,,655,1055476
656,,656,,656,,656,1055481
657,,657,,657,,657,1055490
658,Employed Full Time,658,Employed Full Time,658,Employed Full Time,658,1055491
659,,659,,659,,659,1055493
660,,660,,660,,660,1055494
661,,661,,661,,661,1055496
662,,662,,662,,662,1055497
663,,663,,663,,663,1055504
664,,664,,664,,664,1055515
665,,665,,665,,665,1055517
666,,666,,666,,666,1055518
667,,667,,667,,667,1055519
668,Employed Full Time,668,Employed Full Time,668,Employed Full Time,668,1055533
669,,669,,669,,669,1055535
670,,670,,670,,670,1055536
671,,671,,671,,671,1055548
672,Employed Full Time,672,Employed Full Time,672,Employed Full Time,672,1055549
673,,673,,673,,673,1055553
674,,674,,674,,674,1055556
675,,675,,675,,675,1055557
676,,676,,676,,676,1055562
677,,677,,677,,677,1055576
678,,678,,678,,678,1055591
679,,679,,679,,679,1055592
680,,680,,680,,680,1055603
681,,681,,681,,681,1055643
