,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
86,Yes,Very confident,No,Yes,Yes,Yes
87,,,,,,
88,No,Very confident,No,Yes,No,Yes
89,,,,,,
90,,,,,,
91,No,Not at all confident,No,Yes,No,Yes
92,No,Somewhat confident,Yes,Yes,Yes,Yes
93,Yes,Somewhat confident,,No,No,Yes
94,,,,,,
95,,,,,,
96,,,,,,
97,No,Somewhat confident,No,No,Yes,Yes
98,Yes,Somewhat confident,No,No,Yes,No
99,,,,,,
100,No,Somewhat confident,No,No,No,Yes
101,No,Not at all confident,Yes,No,,Yes
102,Yes,Very confident,No,Yes,No,Yes
103,,Not at all confident,No,Yes,No,Yes
104,No,Not at all confident,No,Yes,No,Yes
105,,,,,,
106,No,Somewhat confident,No,No,No,Yes
107,,,,,,
108,,,,,,
109,,,,,,
110,Yes,Somewhat confident,No,No,Yes,Yes
111,,,,,,
112,No,Somewhat confident,No,No,Yes,Yes
113,,,,,,
114,Yes,Somewhat confident,No,No,Yes,Yes
115,Yes,Somewhat confident,No,Yes,No,No
116,,,,,,
117,Yes,Very confident,No,No,No,Yes
118,,,,,,
119,,,,,,
120,Yes,Very confident,No,No,Yes,No
121,No,Not at all confident,No,No,No,No
122,Yes,Not at all confident,No,No,No,No
123,No,Somewhat confident,No,No,Yes,No
124,,Not at all confident,,,,
125,,,,,,
126,,Very confident,No,No,,Yes
127,No,Very confident,No,No,No,Yes
128,No,Somewhat confident,No,No,No,No
129,No,Very confident,No,No,No,Yes
130,No,Somewhat confident,No,No,Yes,No
131,No,Very confident,No,No,,Yes
132,Yes,Very confident,No,No,No,Yes
133,No,Somewhat confident,No,No,No,No
134,,,,,,
135,Yes,Very confident,Yes,Yes,Yes,Yes
136,No,Very confident,No,No,Yes,Yes
137,No,Very confident,No,No,No,Yes
138,No,Very confident,Yes,Yes,No,Yes
139,No,Somewhat confident,No,No,No,Yes
140,No,Not at all confident,No,No,No,Yes
141,No,Very confident,No,No,Yes,Yes
142,No,Very confident,No,No,No,Yes
143,No,Very confident,No,No,No,Yes
144,No,Not at all confident,No,No,No,Yes
145,Yes,Somewhat confident,No,Yes,No,Yes
146,No,Very confident,No,No,Yes,No
147,Yes,Very confident,No,No,No,Yes
148,No,Very confident,No,No,No,Yes
149,No,Somewhat confident,No,No,No,Yes
150,Yes,Very confident,No,No,Yes,No
151,Yes,Very confident,No,No,No,Yes
152,Yes,Somewhat confident,No,No,No,Yes
153,,,,,,
154,,,,,,
155,Yes,Very confident,Yes,Yes,Yes,Yes
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,No,Somewhat confident,No,No,No,No
161,No,Very confident,No,Yes,Yes,No
162,No,Somewhat confident,No,No,No,Yes
163,,,,,,
164,Yes,Somewhat confident,No,No,Yes,No
165,No,Somewhat confident,No,No,No,Yes
166,No,Somewhat confident,No,No,No,Yes
167,No,Not at all confident,No,No,No,Yes
168,,,,,,
169,Yes,Very confident,Yes,Yes,Yes,Yes
170,No,Somewhat confident,No,No,No,Yes
171,No,Very confident,No,No,No,Yes
172,No,Somewhat confident,No,No,No,No
173,No,Somewhat confident,No,No,No,Yes
174,No,Very confident,No,No,No,Yes
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,No,Somewhat confident,No,No,Yes,No
182,,,,,,
183,,,,,,
184,No,Somewhat confident,No,No,No,Yes
185,No,Not at all confident,No,No,No,Yes
186,No,Very confident,No,Yes,Yes,Yes
187,No,Not at all confident,No,No,No,No
188,No,Not at all confident,No,No,No,No
189,No,Somewhat confident,No,No,No,Yes
190,No,Very confident,Yes,Yes,Yes,Yes
191,No,Very confident,Yes,No,No,Yes
192,Yes,Very confident,Yes,Yes,No,Yes
193,,,,,,
194,No,Somewhat confident,No,No,No,Yes
195,Yes,Very confident,Yes,No,Yes,Yes
196,No,Somewhat confident,No,No,No,No
197,No,Somewhat confident,No,No,No,Yes
198,,,,,,
199,No,Very confident,Yes,No,Yes,No
200,No,Somewhat confident,No,No,No,No
201,,,,,,
202,Yes,Very confident,Yes,Yes,Yes,Yes
203,,,,,,
204,No,Not at all confident,No,Yes,No,Yes
205,Yes,Very confident,No,No,No,Yes
206,Yes,Very confident,No,Yes,Yes,Yes
207,No,Very confident,No,No,No,No
208,No,Very confident,No,No,No,Yes
209,Yes,Very confident,No,Yes,Yes,No
210,No,Very confident,No,No,Yes,Yes
211,No,Somewhat confident,No,Yes,Yes,Yes
212,Yes,Very confident,No,No,Yes,Yes
213,No,Not at all confident,No,No,No,Yes
214,No,Very confident,No,No,Yes,Yes
215,No,Somewhat confident,No,Yes,Yes,No
216,No,Somewhat confident,No,No,Yes,Yes
217,Yes,Somewhat confident,No,No,No,No
218,Yes,Somewhat confident,Yes,Yes,Yes,No
219,No,Very confident,No,No,Yes,Yes
220,No,Very confident,No,No,No,Yes
221,No,Not at all confident,No,No,No,Yes
222,No,Somewhat confident,No,No,Yes,Yes
223,No,Somewhat confident,No,No,No,Yes
224,No,Somewhat confident,No,Yes,Yes,No
225,No,Very confident,No,No,Yes,Yes
226,No,Somewhat confident,No,No,No,No
227,No,Not at all confident,No,No,No,
228,No,Very confident,No,No,No,No
229,No,Somewhat confident,No,No,No,Yes
230,No,Very confident,No,No,Yes,Yes
231,Yes,Somewhat confident,No,No,Yes,
232,Yes,Very confident,Yes,Yes,Yes,Yes
233,No,Somewhat confident,No,No,No,No
234,Yes,Very confident,Yes,Yes,Yes,Yes
235,No,Very confident,No,No,Yes,Yes
236,No,Not at all confident,No,No,No,Yes
237,No,Not at all confident,No,No,No,Yes
238,No,Very confident,No,No,No,Yes
239,No,Somewhat confident,No,No,No,Yes
240,No,Very confident,Yes,No,Yes,Yes
241,No,Very confident,No,Yes,No,Yes
242,Yes,Very confident,Yes,No,Yes,Yes
243,No,Somewhat confident,No,Yes,No,Yes
244,No,,No,No,Yes,No
245,Yes,Very confident,Yes,No,Yes,Yes
246,No,Very confident,Yes,Yes,No,Yes
247,No,Very confident,No,No,Yes,Yes
248,No,Very confident,No,No,Yes,Yes
249,No,Very confident,No,Yes,No,No
250,No,Not at all confident,No,No,No,No
251,Yes,Somewhat confident,Yes,No,No,Yes
252,No,Very confident,No,No,No,Yes
253,No,Very confident,Yes,No,Yes,Yes
254,No,Very confident,No,Yes,Yes,Yes
255,No,Very confident,No,No,Yes,Yes
256,No,Very confident,No,No,No,Yes
257,No,Very confident,No,No,Yes,Yes
258,No,Very confident,Yes,No,Yes,Yes
259,No,Very confident,No,No,No,No
260,No,Very confident,No,No,No,Yes
261,No,Somewhat confident,No,Yes,Yes,Yes
262,Yes,Very confident,No,No,No,Yes
263,No,Very confident,No,No,Yes,Yes
264,No,Very confident,No,No,Yes,Yes
265,No,Not at all confident,No,No,Yes,No
266,No,Somewhat confident,No,No,Yes,Yes
267,No,Somewhat confident,No,No,No,No
268,No,Somewhat confident,No,Yes,No,Yes
269,No,Very confident,No,No,No,Yes
270,No,Somewhat confident,Yes,No,Yes,Yes
271,,,,,,
272,,,,,,
273,No,Not at all confident,No,No,No,Yes
274,No,Somewhat confident,No,No,Yes,Yes
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,No,Not at all confident,No,Yes,No,Yes
281,No,Somewhat confident,Yes,No,Yes,Yes
282,No,Not at all confident,No,Yes,Yes,Yes
283,,,,,,
284,,,,,,
285,,,,,,
286,Yes,Very confident,Yes,Yes,Yes,Yes
287,,,,,,
288,,,,,,
289,,,,,,
290,Yes,Very confident,No,No,No,Yes
291,No,Somewhat confident,No,No,Yes,Yes
292,No,Not at all confident,No,No,No,Yes
293,,,,,,
294,,,,,,
295,No,Somewhat confident,No,No,No,Yes
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,No,Very confident,No,No,No,Yes
303,No,Somewhat confident,No,No,No,Yes
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,No,Somewhat confident,No,No,No,Yes
312,No,Somewhat confident,No,No,No,Yes
313,No,Somewhat confident,No,No,No,Yes
314,,,,,,
315,No,Somewhat confident,No,No,No,Yes
316,No,Somewhat confident,No,No,No,Yes
317,,,,,,
318,,,,,,
319,No,Somewhat confident,No,No,No,Yes
320,No,Somewhat confident,No,No,No,Yes
321,,,,,,
322,No,Very confident,No,No,No,Yes
323,No,Somewhat confident,No,No,No,Yes
324,No,Somewhat confident,No,No,No,Yes
325,No,Somewhat confident,No,No,No,Yes
326,No,Somewhat confident,No,No,No,Yes
327,No,Very confident,No,No,No,Yes
328,,,,,,
329,No,Somewhat confident,No,No,No,Yes
330,No,,No,No,No,No
331,,,,,,
332,,,,,,
333,No,Somewhat confident,No,No,No,Yes
334,No,Not at all confident,No,No,No,Yes
335,No,Very confident,No,No,No,Yes
336,,,,,,
337,No,Not at all confident,No,No,No,Yes
338,,,,,,
339,Yes,Very confident,Yes,No,Yes,Yes
340,No,Somewhat confident,No,Yes,No,No
341,No,Somewhat confident,No,No,Yes,Yes
342,No,Very confident,No,No,No,Yes
343,No,Somewhat confident,No,No,No,Yes
344,,,,,,
345,Yes,Very confident,Yes,Yes,Yes,Yes
346,No,Somewhat confident,No,No,No,Yes
347,Yes,Somewhat confident,No,Yes,Yes,No
348,,,,,,
349,No,Very confident,No,No,No,Yes
350,No,Very confident,No,No,No,Yes
351,,,,,,
352,Yes,Somewhat confident,No,No,Yes,Yes
353,,,,,,
354,No,Somewhat confident,No,No,No,Yes
355,No,Somewhat confident,No,Yes,No,Yes
356,No,Very confident,No,No,No,Yes
357,No,Very confident,No,No,No,
358,,,,,,
359,No,Somewhat confident,No,Yes,Yes,Yes
360,No,Not at all confident,No,Yes,No,Yes
361,No,Somewhat confident,No,No,Yes,Yes
362,No,Somewhat confident,No,No,No,Yes
363,Yes,Very confident,Yes,No,Yes,Yes
364,No,Very confident,No,No,No,Yes
365,No,Not at all confident,,Yes,No,Yes
366,No,Somewhat confident,No,No,No,Yes
367,No,Not at all confident,No,No,Yes,Yes
368,No,Somewhat confident,No,No,No,Yes
369,No,Very confident,No,No,No,Yes
370,No,Very confident,No,No,No,Yes
371,No,Somewhat confident,No,No,No,Yes
372,No,Somewhat confident,No,No,No,Yes
373,No,Very confident,No,No,Yes,Yes
374,No,Very confident,No,No,No,Yes
375,No,Very confident,No,No,No,Yes
376,No,Not at all confident,No,No,No,Yes
377,No,Not at all confident,No,Yes,Yes,Yes
378,No,Somewhat confident,,No,No,Yes
379,No,Somewhat confident,No,No,No,Yes
380,No,Very confident,No,Yes,No,Yes
381,No,Somewhat confident,No,No,Yes,No
382,Yes,Somewhat confident,No,No,No,Yes
383,No,Very confident,No,No,Yes,Yes
384,Yes,Very confident,No,Yes,No,No
385,No,Somewhat confident,No,No,No,No
386,No,Very confident,No,No,No,Yes
387,No,Somewhat confident,No,No,No,Yes
388,Yes,Somewhat confident,No,No,Yes,Yes
389,No,Somewhat confident,No,Yes,Yes,Yes
390,Yes,Very confident,Yes,Yes,No,Yes
391,No,Somewhat confident,No,No,Yes,Yes
392,No,Somewhat confident,No,No,No,Yes
393,Yes,Somewhat confident,Yes,No,No,No
394,No,Somewhat confident,No,No,No,Yes
395,,,,,,
396,No,Somewhat confident,No,No,No,Yes
397,No,Very confident,No,No,No,Yes
398,Yes,Somewhat confident,No,No,No,Yes
399,No,Somewhat confident,No,No,No,Yes
400,No,Very confident,No,No,No,Yes
401,No,Somewhat confident,No,No,No,No
402,,,,,,
403,,,,,,
404,No,Somewhat confident,No,No,No,Yes
405,No,Somewhat confident,No,No,No,No
406,No,Somewhat confident,No,Yes,No,Yes
407,No,Very confident,No,Yes,No,Yes
408,No,Not at all confident,No,No,No,Yes
409,No,Not at all confident,No,No,,Yes
410,Yes,Very confident,No,No,Yes,Yes
411,Yes,Very confident,Yes,No,Yes,Yes
412,No,Very confident,No,No,No,Yes
413,No,Very confident,No,No,No,Yes
414,No,Not at all confident,No,No,No,Yes
415,No,Somewhat confident,No,No,No,Yes
416,No,Somewhat confident,Yes,,Yes,No
417,No,Somewhat confident,No,No,No,No
418,No,Not at all confident,No,Yes,Yes,Yes
419,,,,,,
420,No,Somewhat confident,No,No,No,Yes
421,No,Somewhat confident,No,No,No,No
422,No,Somewhat confident,No,No,No,Yes
423,No,Very confident,Yes,Yes,Yes,Yes
424,,,,,,
425,No,Somewhat confident,No,No,Yes,No
426,Yes,Very confident,Yes,Yes,Yes,Yes
427,Yes,Somewhat confident,Yes,Yes,No,Yes
428,,,,,,
429,Yes,Very confident,Yes,No,No,Yes
430,No,Not at all confident,No,No,No,Yes
431,Yes,Very confident,No,Yes,Yes,Yes
432,Yes,Very confident,No,Yes,Yes,Yes
433,Yes,Very confident,Yes,Yes,No,Yes
434,No,Somewhat confident,No,No,No,Yes
435,No,Somewhat confident,No,No,Yes,Yes
436,No,Not at all confident,No,No,Yes,No
437,No,Not at all confident,No,No,No,No
438,Yes,Very confident,Yes,No,Yes,Yes
439,No,Somewhat confident,No,No,Yes,Yes
440,Yes,Somewhat confident,No,No,Yes,Yes
441,Yes,Somewhat confident,No,No,No,Yes
442,Yes,Very confident,No,No,Yes,Yes
443,No,Somewhat confident,No,No,No,No
444,No,Very confident,No,No,No,Yes
445,No,Very confident,No,No,No,Yes
446,No,Very confident,No,No,No,Yes
447,No,Not at all confident,No,No,No,Yes
448,No,Very confident,No,No,No,Yes
449,Yes,Very confident,No,Yes,Yes,Yes
450,No,Very confident,No,No,No,Yes
451,No,Very confident,No,No,No,Yes
452,No,Not at all confident,No,No,No,No
453,No,Very confident,No,No,No,Yes
454,Yes,Not at all confident,No,Yes,No,No
455,Yes,Very confident,No,Yes,Yes,No
456,,,,,,
457,Yes,Somewhat confident,No,No,Yes,No
458,No,Not at all confident,No,No,No,Yes
459,Yes,Somewhat confident,No,No,No,Yes
460,No,Very confident,No,No,No,Yes
461,No,Somewhat confident,No,No,No,No
462,Yes,Very confident,No,Yes,No,Yes
463,No,Very confident,No,No,No,Yes
464,,,,,,
465,No,Not at all confident,No,No,No,Yes
466,No,Somewhat confident,No,No,No,Yes
467,Yes,Not at all confident,No,Yes,No,No
468,No,Very confident,No,No,No,Yes
469,,,,,,
470,No,Very confident,No,No,No,Yes
471,No,Very confident,No,No,No,Yes
472,No,Somewhat confident,No,No,No,Yes
473,Yes,Very confident,No,No,Yes,Yes
474,No,Very confident,No,No,No,Yes
475,Yes,Very confident,No,No,Yes,Yes
476,Yes,Very confident,Yes,Yes,Yes,Yes
477,Yes,Somewhat confident,Yes,Yes,Yes,Yes
478,Yes,Not at all confident,No,Yes,Yes,No
479,Yes,Very confident,Yes,Yes,Yes,Yes
480,No,Very confident,No,No,No,Yes
481,No,Very confident,No,No,No,Yes
482,No,Very confident,No,No,No,Yes
483,Yes,Somewhat confident,No,Yes,No,No
484,No,Somewhat confident,No,No,No,Yes
485,No,Somewhat confident,No,Yes,No,No
486,No,Not at all confident,No,No,No,Yes
487,No,Very confident,No,No,No,Yes
488,No,Very confident,No,No,No,Yes
489,Yes,Very confident,No,No,No,No
490,No,Very confident,Yes,No,Yes,Yes
491,No,Very confident,No,Yes,No,No
492,Yes,Very confident,No,Yes,Yes,No
493,Yes,Not at all confident,No,Yes,,Yes
494,Yes,Very confident,No,No,Yes,No
495,Yes,Very confident,No,Yes,No,No
496,,,,,,
497,No,Very confident,No,No,No,Yes
498,No,Very confident,No,Yes,No,Yes
499,No,Very confident,No,No,Yes,No
500,No,Very confident,No,No,Yes,No
501,,,,,,
502,No,Very confident,Yes,Yes,Yes,Yes
503,,,,,,
504,,,,,,
505,No,Very confident,No,No,No,Yes
506,No,Somewhat confident,No,No,Yes,No
507,No,Somewhat confident,No,No,No,Yes
508,No,Very confident,No,Yes,Yes,No
509,No,Very confident,No,No,No,Yes
510,No,Very confident,No,No,No,
511,No,Somewhat confident,No,No,No,Yes
512,No,Very confident,Yes,No,No,No
513,No,Very confident,No,No,No,Yes
514,No,Somewhat confident,Yes,Yes,No,Yes
515,No,Somewhat confident,No,No,Yes,No
516,,,,,,
517,No,Very confident,No,No,No,Yes
518,No,Not at all confident,No,No,No,Yes
519,No,Very confident,No,No,No,Yes
520,No,Very confident,No,No,No,Yes
521,,,,,,
522,No,Somewhat confident,No,No,No,No
523,No,Somewhat confident,No,No,Yes,No
524,No,Somewhat confident,No,No,No,No
525,No,Somewhat confident,No,Yes,No,No
526,No,Not at all confident,No,No,No,Yes
527,No,Not at all confident,No,No,Yes,Yes
528,No,Very confident,No,No,No,Yes
529,Yes,Very confident,No,Yes,Yes,Yes
530,Yes,Somewhat confident,No,Yes,Yes,Yes
531,No,Somewhat confident,Yes,No,Yes,Yes
532,No,Not at all confident,No,No,Yes,Yes
533,Yes,Very confident,No,No,No,Yes
534,No,Somewhat confident,No,No,No,No
535,No,Not at all confident,No,No,Yes,Yes
536,Yes,Somewhat confident,No,Yes,Yes,Yes
537,No,Not at all confident,No,No,No,No
538,No,Somewhat confident,No,No,Yes,No
539,No,Not at all confident,No,No,No,No
540,,,,,,
541,,,,,,
542,,,,,,
543,No,Not at all confident,No,No,Yes,No
544,Yes,Very confident,No,No,Yes,Yes
545,,,,,,
546,,,,,,
547,No,Very confident,No,No,No,Yes
548,,,,,,
549,,,,,,
550,No,Not at all confident,No,No,No,No
551,,,,,,
552,No,Not at all confident,No,No,Yes,Yes
553,No,Very confident,No,No,No,Yes
554,Yes,Very confident,No,No,Yes,Yes
555,Yes,Somewhat confident,No,No,Yes,Yes
556,No,Not at all confident,No,No,Yes,No
557,No,Not at all confident,No,No,No,No
558,No,Not at all confident,No,No,No,No
559,No,Not at all confident,No,No,Yes,No
560,,,,,,
561,,,,,,
562,,,,,,
563,No,Somewhat confident,No,No,Yes,Yes
564,No,Very confident,No,No,No,Yes
565,Yes,Very confident,Yes,Yes,Yes,Yes
566,,,,,,
567,,,,,,
568,,,,,,
569,No,Somewhat confident,No,Yes,No,Yes
570,,,,,,
571,Yes,Very confident,No,No,No,Yes
572,Yes,Very confident,Yes,Yes,Yes,Yes
573,No,Somewhat confident,No,No,Yes,Yes
574,Yes,Very confident,No,No,Yes,Yes
575,No,Not at all confident,No,No,Yes,Yes
576,No,Not at all confident,No,No,Yes,No
577,No,Somewhat confident,No,No,No,Yes
578,,,,,,
579,No,Not at all confident,No,No,Yes,Yes
580,No,Somewhat confident,No,No,No,No
581,No,Not at all confident,No,No,No,Yes
582,Yes,Somewhat confident,No,No,No,No
583,Yes,Somewhat confident,No,No,Yes,Yes
584,Yes,Very confident,No,No,Yes,Yes
585,Yes,Very confident,Yes,No,Yes,Yes
586,,,,,,
587,,,,,,
588,No,Somewhat confident,No,No,Yes,No
589,Yes,Very confident,Yes,Yes,Yes,Yes
590,No,Not at all confident,No,No,Yes,No
591,Yes,Very confident,Yes,Yes,Yes,Yes
592,Yes,Somewhat confident,No,No,Yes,Yes
593,Yes,Somewhat confident,No,No,No,No
594,No,Not at all confident,No,No,No,No
595,No,Not at all confident,No,No,No,No
596,,,,,,
597,,,,,,
598,No,Very confident,No,No,No,No
599,Yes,Very confident,Yes,Yes,Yes,Yes
600,No,Not at all confident,No,No,No,No
601,No,Not at all confident,No,No,Yes,Yes
602,,,,,,
603,,,,,,
604,,,,,,
605,No,Not at all confident,Yes,Yes,No,No
606,Yes,Very confident,Yes,No,No,Yes
607,Yes,Very confident,No,Yes,Yes,Yes
608,No,Somewhat confident,No,Yes,No,Yes
609,Yes,Very confident,No,Yes,Yes,Yes
610,No,Very confident,No,No,No,Yes
611,Yes,Very confident,Yes,Yes,Yes,Yes
612,No,Very confident,No,No,No,Yes
613,,,,,,
614,No,Very confident,No,No,No,Yes
615,No,Very confident,No,No,No,Yes
616,,,,,,
617,No,Not at all confident,No,No,No,No
618,No,Not at all confident,No,No,No,No
619,,,,,,
620,No,Somewhat confident,No,No,No,Yes
621,No,Somewhat confident,No,No,Yes,No
622,Yes,Somewhat confident,No,No,Yes,No
623,No,Somewhat confident,No,No,Yes,Yes
624,Yes,Very confident,No,No,No,No
625,No,Not at all confident,No,No,No,No
626,No,Not at all confident,No,No,No,Yes
627,Yes,Somewhat confident,No,No,No,No
628,No,Not at all confident,No,No,No,No
629,No,Not at all confident,No,Yes,No,No
630,No,Not at all confident,No,Yes,No,Yes
631,No,Somewhat confident,No,No,No,No
632,No,Very confident,No,No,No,No
633,Yes,Somewhat confident,No,No,No,No
634,No,Very confident,Yes,Yes,Yes,Yes
635,No,Somewhat confident,No,No,No,No
636,Yes,Somewhat confident,No,No,No,No
637,No,Not at all confident,No,No,No,Yes
638,No,Not at all confident,No,No,No,No
639,No,Somewhat confident,No,Yes,No,No
640,No,Somewhat confident,No,No,No,No
641,No,Somewhat confident,No,No,No,No
642,No,Not at all confident,No,No,Yes,Yes
643,No,Not at all confident,No,No,No,No
644,No,Not at all confident,No,No,No,No
645,No,Not at all confident,No,No,No,No
646,No,Not at all confident,No,No,Yes,Yes
647,No,Very confident,No,No,No,No
648,Yes,Very confident,Yes,Yes,Yes,Yes
649,Yes,Somewhat confident,No,No,No,No
650,Yes,Not at all confident,No,No,No,No
651,Yes,Somewhat confident,No,No,No,No
652,Yes,Very confident,No,No,No,No
653,Yes,Somewhat confident,No,No,No,No
654,No,Somewhat confident,No,No,No,No
655,No,Somewhat confident,No,No,No,No
656,Yes,Somewhat confident,No,Yes,Yes,No
657,Yes,Somewhat confident,No,Yes,No,No
658,No,Very confident,No,No,No,No
659,No,Somewhat confident,No,No,Yes,No
660,No,Somewhat confident,No,No,No,No
661,No,Very confident,No,No,No,No
662,No,Very confident,No,No,No,No
663,No,Somewhat confident,No,No,No,No
664,No,Somewhat confident,No,No,No,No
665,No,Somewhat confident,No,No,No,No
666,No,Somewhat confident,No,No,No,No
667,Yes,Very confident,Yes,Yes,Yes,Yes
668,No,Not at all confident,No,No,No,Yes
669,No,Somewhat confident,No,No,No,No
670,No,Somewhat confident,No,No,No,No
671,Yes,Very confident,No,Yes,No,No
672,Yes,Somewhat confident,No,No,No,No
673,No,Very confident,No,No,No,No
674,Yes,Somewhat confident,No,No,No,No
675,Yes,Very confident,No,No,No,No
676,No,Not at all confident,No,No,No,No
677,No,Somewhat confident,No,No,No,No
678,No,Somewhat confident,No,No,No,No
679,Yes,Somewhat confident,No,Yes,No,No
680,Yes,Somewhat confident,No,No,No,No
681,No,Very confident,No,No,No,No
682,No,Somewhat confident,No,No,No,No
683,No,Very confident,No,No,No,No
684,No,Very confident,No,No,No,No
685,No,Somewhat confident,No,No,No,No
686,No,Somewhat confident,No,No,No,No
687,No,Somewhat confident,No,No,No,Yes
688,No,Somewhat confident,No,No,No,No
689,No,Not at all confident,No,No,No,Yes
690,No,Somewhat confident,No,No,No,No
691,Yes,Somewhat confident,No,No,No,No
692,Yes,Somewhat confident,No,No,No,Yes
693,No,Somewhat confident,No,No,No,No
694,No,Somewhat confident,No,Yes,No,No
695,No,Very confident,No,No,No,No
696,No,Very confident,No,No,No,Yes
697,No,Very confident,No,No,No,No
698,No,Somewhat confident,No,No,No,No
699,No,Very confident,No,No,No,No
700,No,Somewhat confident,No,No,No,No
701,No,Not at all confident,No,No,,Yes
702,No,Somewhat confident,No,No,No,Yes
703,No,Not at all confident,No,No,No,Yes
704,No,Somewhat confident,No,Yes,No,No
705,No,Very confident,No,No,No,
706,,,,,,
707,No,Very confident,No,Yes,No,No
708,No,Not at all confident,No,No,No,No
709,No,Very confident,No,No,No,No
710,,,,,,
711,No,Not at all confident,No,Yes,No,No
712,No,Somewhat confident,No,No,No,No
713,No,Somewhat confident,No,No,No,No
714,No,Very confident,No,No,No,No
715,No,Very confident,No,No,No,No
716,No,Somewhat confident,No,Yes,No,No
717,Yes,Very confident,No,Yes,No,No
718,,,,,,
719,Yes,Very confident,No,No,Yes,Yes
720,No,Not at all confident,No,No,Yes,
721,Yes,Very confident,No,No,Yes,
722,No,Somewhat confident,No,No,Yes,Yes
723,No,Somewhat confident,No,Yes,Yes,No
724,,,,,,
725,Yes,Not at all confident,No,Yes,Yes,No
726,No,Somewhat confident,No,No,Yes,No
727,No,Very confident,Yes,Yes,Yes,Yes
728,,,,,,
729,No,Very confident,No,No,No,Yes
730,No,Very confident,No,No,Yes,No
731,,,,,,
732,,,,,,
733,No,Very confident,Yes,Yes,Yes,Yes
734,,,,,,
735,Yes,Somewhat confident,No,No,Yes,No
736,,,,,,
737,Yes,Somewhat confident,No,No,No,Yes
738,No,Very confident,Yes,Yes,No,Yes
