,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
350,No,Employed Part Time,4/13/2015,,Yes,Yes
351,Yes,,,,No,No
352,No,Employed Full Time,,,No,No
353,Yes,,,,Yes,Yes
354,No,Employed Part Time,12/15/2015,,Yes,Yes
355,Yes,,,,No,No
356,Yes,,,,No,No
357,No,,,,No,No
358,Yes,,,,No,No
359,Yes,Employed Part Time,,,No,No
360,Yes,,,,No,No
361,Yes,,,,No,No
362,Yes,,,,No,No
363,Yes,Employed Full Time,3/16/2016,,No,No
364,No,,,,No,No
365,Yes,,,,No,No
366,Yes,,,,No,No
367,Yes,,,,No,No
368,Yes,,,,No,No
369,Yes,,,,No,No
370,Yes,,,,No,No
371,Yes,,,,No,No
372,No,Employed Full Time,,,Yes,Yes
373,Yes,,,,No,No
374,No,Employed Part Time,1/7/2013,,Yes,Yes
375,No,,,,Yes,Yes
376,Yes,,,,No,No
377,Yes,,,,No,No
378,No,Employed Full Time,2/5/2016,,Yes,Yes
379,No,Employed Full Time,2/5/2016,,Yes,Yes
380,No,Employed Full Time,,,No,No
381,Yes,,,,No,No
382,Yes,,,,No,No
383,Yes,,,,No,No
384,Yes,,,,No,No
385,No,,,,No,No
386,No,Employed Full Time,1/28/2015,,No,No
387,Yes,,,,No,No
388,Yes,,,,No,No
389,No,Employed Full Time,,,No,No
390,Yes,,,,No,No
391,Yes,,,,No,No
392,Yes,,,,No,No
393,Yes,,,,No,No
394,Yes,,,,No,No
395,No,Employed Full Time,,,No,No
396,Yes,,,,No,No
397,Yes,,,,No,No
398,Yes,,,,No,No
399,No,,,,No,No
400,Yes,,,,No,No
401,Yes,,,,No,No
402,Yes,,,,No,No
403,Yes,,,,Yes,No
404,Yes,,,,No,No
405,No,Employed Full Time,,,No,No
406,Yes,,,,No,No
407,Yes,Employed Part Time,,,No,No
408,Yes,Employed Part Time,6/1/2015,,No,No
409,No,,,,,
410,No,,,,No,No
411,No,,,,No,No
412,Yes,,,,No,No
413,Yes,,,,No,No
414,Yes,,,,No,No
415,Yes,,,,No,No
416,No,Employed Full Time,,,No,No
417,Yes,Employed Part Time,,,No,No
418,Yes,,,,No,No
419,No,,,,Yes,No
420,Yes,,,,No,No
421,Yes,,,,No,No
422,Yes,,,,No,No
423,No,Employed Full Time,,,No,No
424,Yes,,,,No,No
425,Yes,,,,No,No
426,No,Employed Full Time,,,No,No
427,No,Employed Full Time,,,No,No
428,No,,,,Yes,No
429,Yes,,,,Yes,No
430,Yes,,,,No,No
431,No,Employed Full Time,,,No,No
432,No,Employed Full Time,,,No,No
433,Yes,,,,No,No
434,Yes,,,,No,No
435,No,,,,No,No
436,Yes,,,,No,No
437,No,,,,No,No
438,No,,,,No,No
439,Yes,,,,No,No
440,No,,,,No,No
441,Yes,Employed Full Time,,,No,No
442,No,,,,No,No
443,No,,,,No,No
444,Yes,,,,No,No
445,Yes,,,,No,No
446,Yes,,,,No,No
447,Yes,,,,No,No
448,Yes,,,,No,No
449,No,Employed Full Time,,,No,No
450,Yes,,,,Yes,No
451,Yes,,,,No,No
452,Yes,,,,No,No
453,Yes,,,,No,No
454,Yes,,,,No,No
455,No,Employed Full Time,,,No,No
456,No,Employed Full Time,,,No,No
457,No,,,,No,No
458,Yes,,,,No,No
459,Yes,,,,No,No
460,Yes,,,,No,No
461,No,,,,No,No
462,No,Employed Full Time,,,No,No
463,Yes,,,,No,No
464,No,,,No,,No
465,Yes,,,,No,No
466,Yes,,,,No,No
467,Yes,,,,No,No
468,Yes,,,,No,No
469,Yes,,,,No,No
470,Yes,,,,No,No
471,Yes,,,,No,No
472,Yes,,,,No,No
473,No,,,,No,No
474,Yes,,,,No,No
475,Yes,,,,No,No
476,No,Employed Full Time,,,No,No
477,No,Employed Part Time,,,No,No
478,Yes,,,,No,No
479,Yes,,,,No,No
480,Yes,,,,No,No
481,Yes,,,,No,No
482,Yes,,,,No,No
483,No,,,,No,No
484,Yes,,,,No,No
485,No,,,,No,No
486,Yes,,,,No,No
487,Yes,,,,No,No
488,Yes,,,,No,No
489,No,,,,No,No
490,No,,,,No,No
491,Yes,,,,No,No
492,Yes,,,,No,No
493,Yes,,,,No,No
494,Yes,,,,No,No
495,Yes,Employed Full Time,,,No,No
496,Yes,,,,No,No
497,Yes,Employed Full Time,1/13/2016,,No,No
498,Yes,Employed Part Time,,,No,No
499,Yes,,,,No,No
500,Yes,,,,No,No
501,No,Employed Full Time,,,No,No
502,No,,,,No,No
503,Yes,,,,No,No
504,Yes,,,,No,No
505,Yes,,,,No,No
506,Yes,,,,No,No
507,Yes,,,,No,No
508,Yes,Employed Part Time,,,No,No
509,Yes,,,,No,No
510,Yes,,,,No,No
511,Yes,,,,No,No
512,Yes,,,,No,No
513,Yes,,,,No,No
514,No,Employed Full Time,,,No,No
515,Yes,Employed Part Time,5/30/2016,,No,No
516,Yes,,,,No,No
517,Yes,,,,No,No
518,Yes,,,,No,No
519,Yes,,,,No,No
520,Yes,Employed Full Time,8/7/2017,,No,No
521,Yes,,,,No,No
522,Yes,,,,No,No
523,Yes,,,,No,No
524,Yes,,,,No,No
525,No,Employed Full Time,,,No,No
526,Yes,,,,No,No
527,Yes,,,,No,No
528,Yes,Employed Part Time,5/16/2016,,Yes,No
529,No,,,,No,No
530,Yes,,,,No,No
531,No,Not employed,,,,
532,Yes,,,,No,No
533,Yes,,,,No,No
534,Yes,,,,No,No
535,Yes,,,,No,No
536,Yes,,,,No,No
537,Yes,,,,No,No
538,Yes,,,,No,No
539,Yes,,,,No,No
540,No,,,,Yes,Yes
541,No,,,,Yes,Yes
542,No,,,,Yes,Yes
543,Yes,,,,No,No
544,Yes,Employed Full Time,11/15/2016,Yes,Yes,No
545,No,Employed Part Time,,,No,No
546,No,,,,Yes,No
547,Yes,,,,No,No
548,No,,,,Yes,Yes
549,No,,,,Yes,No
550,Yes,,,,No,No
551,No,,,,Yes,No
552,Yes,,,,No,No
553,Yes,,,,No,No
554,Yes,,,,No,No
555,Yes,,,,No,No
556,Yes,,,,No,No
557,Yes,,,,No,No
558,Yes,,,,No,No
559,Yes,,,,No,No
560,Yes,Employed Full Time,8/29/2016,,No,No
561,No,,,,Yes,Yes
562,No,,,,Yes,No
563,No,Employed Part Time,,,Yes,Yes
564,Yes,,,,No,No
565,No,Employed Full Time,,,No,No
566,Yes,,,,No,No
567,Yes,,,,No,No
568,Yes,,,,No,No
569,Yes,,,,No,No
570,Yes,,,,No,No
571,Yes,,,,No,No
572,No,Employed Full Time,,,No,No
573,Yes,,,,No,No
574,Yes,,,,No,No
575,Yes,,,,No,No
576,Yes,,,,No,No
577,Yes,,,,No,No
578,No,,,,No,No
579,Yes,,,,No,No
580,Yes,,,,Yes,Yes
581,Yes,,,,No,No
582,No,Employed Full Time,,,No,No
583,Yes,,,,No,No
584,No,,,No,,No
585,Yes,,,,No,No
586,No,,,,Yes,Yes
587,No,,,,Yes,Yes
588,No,Employed Full Time,,,No,No
589,No,Employed Full Time,,,No,No
590,Yes,,,,No,No
591,No,Employed Full Time,,,No,No
592,Yes,Employed Full Time,,,No,No
593,Yes,,,,Yes,Yes
594,Yes,,,,No,No
595,Yes,,,,Yes,Yes
596,No,,,,Yes,Yes
597,No,,,,No,No
598,No,Employed Full Time,,,No,No
599,No,Employed Full Time,,,No,No
600,Yes,,,,Yes,Yes
601,Yes,Employed Part Time,,,Yes,Yes
602,Yes,,,,No,No
603,Yes,,,,No,No
604,No,,,,No,No
605,No,Employed Full Time,,,No,No
606,No,Employed Full Time,,,No,No
607,No,,,,No,No
608,No,Not employed,,,,
609,No,,,,No,No
610,Yes,,,,No,No
611,No,Employed Full Time,,,No,No
612,Yes,,,,No,No
613,Yes,,,No,,No
614,Yes,,,,No,No
615,Yes,,,,No,No
616,No,,,,Yes,Yes
617,Yes,,,,No,No
618,Yes,,,,No,No
619,No,,,,Yes,Yes
620,Yes,Employed Part Time,9/15/2016,,No,No
621,Yes,,,,No,No
622,Yes,Employed Full Time,,,No,No
623,No,Employed Part Time,,,No,No
624,No,,,,No,No
625,Yes,,,,No,No
626,Yes,,,,No,No
627,No,Employed Part Time,,,No,No
628,Yes,,,,No,No
629,Yes,,,,No,No
630,No,,,,No,No
631,No,,,,No,No
632,No,,,,No,No
633,No,Employed Part Time,,,No,No
634,No,,,,No,No
635,No,Employed Part Time,,,No,No
636,No,Employed Full Time,,,No,No
637,No,Employed Part Time,,,No,No
638,No,Employed Full Time,,,No,No
639,No,Employed Full Time,,,No,No
640,No,,,,No,No
641,No,,,,No,No
642,Yes,,,,No,No
643,Yes,,,,No,No
644,Yes,,,,No,No
645,Yes,,,,No,No
646,Yes,,,,No,No
647,No,,,,No,No
648,No,Employed Full Time,,,No,No
649,Yes,,,,No,No
650,No,,,,No,No
651,No,Employed Part Time,,,No,No
652,Yes,,,,No,No
653,No,,,,No,No
654,No,,,,No,No
655,No,,,,No,No
656,No,,,,No,No
657,No,Employed Full Time,,,No,No
658,No,,,,No,No
659,No,,,,No,No
660,No,,,,No,No
661,No,,,,No,No
662,No,,,,No,No
663,No,,,,No,No
664,No,,,,No,No
665,No,,,,No,No
666,No,,,,No,No
667,No,Employed Full Time,,,No,No
668,Yes,,,,No,No
669,No,,,,No,No
670,No,,,,No,No
671,No,Employed Full Time,,,No,No
672,No,,,,No,No
673,No,,,,No,No
674,Yes,,,,No,No
675,No,,,,No,No
676,Yes,,,,No,No
677,No,,,,No,No
678,No,,,,No,No
679,No,,,,No,No
680,No,,,,No,No
681,No,Employed Part Time,,,No,No
682,No,,,,No,No
683,No,,,No,,No
684,No,Employed Part Time,,,No,No
685,No,,,,No,No
686,Yes,Employed Part Time,,,No,No
687,No,Employed Part Time,,,No,No
688,No,Employed Full Time,,,No,No
689,Yes,Employed Part Time,,,No,No
690,No,,,,No,No
691,No,Employed Full Time,,,No,No
692,No,Employed Full Time,12/7/2016,,No,No
693,Yes,,,,No,No
694,No,Employed Full Time,,,No,No
695,No,,,,No,No
696,No,Employed Full Time,,,No,No
697,No,Employed Part Time,,,No,No
698,No,Employed Part Time,,,No,No
699,No,,,,No,No
700,No,,,,No,No
701,Yes,,,,No,No
702,Yes,Employed Part Time,,,No,No
703,Yes,,,,No,No
704,No,Employed Full Time,,,No,No
705,No,,,,No,No
706,Yes,,,,No,No
707,No,Employed Full Time,,,No,No
708,No,Employed Part Time,,,No,No
709,No,,,,No,No
710,No,Employed Full Time,,,No,No
711,No,Employed Full Time,,,No,No
712,Yes,Employed Full Time,,,No,No
713,No,Employed Part Time,,,No,No
714,No,Employed Full Time,,,No,No
715,No,,,,No,No
716,No,,,,No,No
717,No,,,,No,No
718,Yes,,,No,,No
719,No,Employed Full Time,,No,,No
720,No,,,No,,No
721,Yes,Employed Full Time,,No,,No
722,No,Not employed,,,,
723,No,Employed Full Time,,,No,No
724,Yes,,,No,,No
725,No,,,,No,No
726,No,,,No,,No
727,No,Employed Full Time,,No,,No
728,Yes,,,No,,No
729,No,,,No,,No
730,No,,,No,,No
731,Yes,Employed Full Time,,No,,No
732,Yes,,,No,,No
733,No,,,No,,No
734,Yes,,,No,,No
735,No,,,No,,No
736,Yes,,,No,,No
737,No,,,No,,No
738,Yes,,,No,,No
739,No,Employed Full Time,,No,,No
740,No,,,No,,No
741,No,,,No,,No
742,No,,,No,,No
743,No,,,No,,No
744,No,,,No,,No
745,Yes,,,No,,No
746,Yes,,,No,,No
747,Yes,Employed Part Time,,No,,No
748,Yes,,,No,,No
749,Yes,,,No,,No
750,No,,,No,,No
751,Yes,Employed Full Time,2/8/2017,No,,No
752,No,,,No,,No
753,Yes,,6/1/2012,No,,No
754,No,,,No,,No
755,Yes,,,No,,No
756,Yes,,,No,,No
757,No,,,No,,No
758,No,,,No,,No
759,No,,,No,,No
760,No,,,No,,No
761,Yes,,,No,,No
762,Yes,,,No,,No
763,Yes,,,No,,No
764,No,,,No,,No
765,Yes,,,No,,No
766,Yes,,,No,,No
767,Yes,,,No,,No
768,Yes,,,No,,No
769,Yes,,,No,,No
770,Yes,Employed Part Time,,,No,No
771,Yes,,,No,,No
772,Yes,,,No,,No
773,No,Employed Part Time,,No,,No
774,Yes,,,No,,No
775,No,,,No,,No
776,Yes,,,,,
777,Yes,,,No,,No
778,No,,,,,
779,No,,,No,,No
780,No,,,,,
781,No,Employed Full Time,,No,,No
782,Yes,,,,No,No
783,Yes,,,,No,No
784,No,Employed Full Time,,,No,No
785,No,,,,Yes,No
786,No,,,,Yes,No
787,No,,,,Yes,No
788,No,,,,Yes,No
789,No,,,,Yes,No
790,No,Employed Full Time,,,No,No
791,Yes,Employed Full Time,,,,
792,Yes,Not employed,,,No,No
793,Yes,,,,No,No
794,No,,,,No,No
795,Yes,,,,No,No
796,Yes,,,,No,No
797,Yes,,,,No,No
798,Yes,Employed Part Time,,,No,No
799,No,Employed Full Time,,,No,No
800,Yes,,,,No,No
801,No,,,,No,No
802,No,,,,No,No
803,No,,,,No,No
804,Yes,Employed Full Time,5/5/2017,,No,No
805,No,,,,No,No
806,Yes,,,,No,No
807,No,,,,No,No
808,Yes,,,,No,No
809,Yes,,,,No,No
810,Yes,,,,No,No
811,No,,,,No,No
812,No,Employed Full Time,,,No,No
813,Yes,,,,No,No
814,Yes,,,,No,No
815,No,,,,No,No
816,No,,,,No,No
817,No,,,,No,No
818,No,,,,No,No
819,Yes,,,,No,No
820,Yes,,,,No,No
821,No,Employed Full Time,,,No,No
822,No,,,,No,No
823,No,,,,No,No
824,No,Employed Part Time,8/4/2015,,No,No
825,Yes,,,,No,No
826,No,,,,No,No
827,Yes,,,,No,No
828,Yes,Employed Full Time,10/15/2015,,No,No
829,Yes,,,,No,No
830,Yes,,,,No,No
831,Yes,Employed Part Time,,,No,No
832,No,,,,No,No
833,No,,,,No,No
834,No,,,,No,No
835,No,,,,No,No
836,No,,,,No,No
837,No,,,,No,No
838,Yes,,,,No,No
839,Yes,Employed Full Time,6/15/2011,,No,No
840,Yes,,,,No,No
841,Yes,Not employed,,,No,No
842,Yes,Employed Full Time,7/15/2015,,No,No
843,Yes,Not employed,,,No,No
844,Yes,Not employed,,,No,No
845,Yes,Not employed,,,No,No
846,No,Employed Part Time,10/9/2017,,No,No
847,Yes,,,,No,No
848,Yes,Employed Part Time,6/30/2017,,No,No
849,Yes,Not employed,,,No,No
850,No,Not employed,,,,
851,No,,,,,
852,Yes,Not employed,,,No,No
853,Yes,Not employed,,,No,No
854,No,Not employed,,,No,No
855,Yes,Employed Full Time,9/14/2017,,No,No
856,Yes,Not employed,,,No,No
857,No,Not employed,,,Yes,Yes
858,Yes,Not employed,,,No,No
859,Yes,Not employed,,,Yes,No
860,Yes,Employed Part Time,9/5/2017,,No,No
861,No,Employed Full Time,7/1/2017,,,
862,Yes,Not employed,,,No,No
863,No,Not employed,,,No,No
864,Yes,Not employed,,,No,No
865,No,Employed Part Time,2/15/2017,,Yes,No
866,No,Not employed,,,Yes,No
867,No,Employed Full Time,1/18/2017,,Yes,No
868,No,Not employed,,,Yes,No
869,Yes,Not employed,,,Yes,Yes
870,Yes,Not employed,,,No,No
871,Yes,Not employed,,,No,No
872,Yes,Employed Full Time,11/8/2016,,Yes,Yes
873,Yes,,,,No,No
874,Yes,Not employed,,,No,No
875,No,,,,,
876,No,Not employed,,,No,No
877,Yes,Not employed,,,No,No
878,No,Not employed,,,,
879,Yes,Not employed,,,No,No
880,Yes,Employed Full Time,7/19/2017,,,
881,Yes,Not employed,,,Yes,No
882,No,Not employed,,,,
883,Yes,Not employed,,,Yes,No
884,No,Not employed,,,No,No
885,No,Employed Full Time,3/16/2016,,No,No
886,Yes,Not employed,,,Yes,Yes
887,Yes,Not employed,,,No,No
888,Yes,,1/1/1900,,,
889,Yes,Not employed,,,Yes,No
890,Yes,Not employed,,,Yes,No
891,No,Employed Full Time,3/16/2016,,No,No
892,Yes,Not employed,,,No,No
893,Yes,Employed Part Time,10/1/2017,,Yes,No
894,No,Not employed,,,No,No
895,Yes,Not employed,,,Yes,No
896,Yes,Not employed,,,Yes,No
897,Yes,Not employed,,,Yes,No
898,Yes,Not employed,,,No,No
899,No,Not employed,,,No,No
900,No,Employed Full Time,10/16/2017,,No,No
901,No,Employed Full Time,10/1/2017,,Yes,No
902,Yes,,,,No,No
903,Yes,Not employed,,,No,No
904,Yes,,,,No,No
905,No,Employed Full Time,11/19/2012,,No,No
906,Yes,Not employed,,,No,No
907,No,Not employed,,,No,No
908,No,,,,No,No
909,No,Employed Full Time,2/25/2007,,No,No
910,Yes,,,,No,No
911,No,Employed Full Time,1/12/2018,,,
912,No,,,,,
913,No,,,,No,No
914,Yes,,,,No,No
915,Yes,,,,No,No
916,No,,,,No,No
917,No,0,1/1/1900,,,
918,No,,,,,
919,Yes,,,,No,No
920,No,,,,No,No
921,No,,,,No,No
922,No,Employed Part Time,8/3/1998,,No,No
923,Yes,,,,No,No
924,Yes,,,,No,No
925,No,,,,No,No
926,Yes,,,,Yes,No
927,Yes,,,,Yes,No
928,Yes,,,,No,No
929,No,Employed Full Time,11/15/2017,,Yes,Yes
930,No,,,,No,No
931,No,,,,No,No
932,No,,,,No,No
