,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
99,Yes,Employed Part Time,2019-09-20,,Yes,Yes
100,Yes,Not employed,,,Yes,Yes
101,Yes,Employed Part Time,2019-09-03,,Yes,Yes
102,Yes,Not employed,,,Yes,Yes
103,Yes,Not employed,,,Yes,Yes
104,Yes,Not employed,,,Yes,Yes
105,Yes,Not employed,,,Yes,Yes
106,Yes,Not employed,,,Yes,Yes
107,Yes,Not employed,,,Yes,Yes
108,Yes,Employed Part Time,2019-01-05,Yes,No,No
109,Yes,Employed Part Time,2016-12-30,Yes,No,No
110,Yes,Not employed,,,No,No
111,Yes,Employed Full Time,2019-01-30,Yes,No,No
112,Yes,Not employed,,,No,No
113,Yes,Employed Part Time,2019-09-01,Yes,No,No
114,Yes,Employed Full Time,2019-09-01,Yes,No,No
115,Yes,Not employed,,,No,No
116,Yes,Employed Full Time,2019-09-01,Yes,No,No
117,Yes,Employed Part Time,2018-01-28,Yes,No,No
118,Yes,Employed Part Time,2019-09-01,Yes,No,No
119,Yes,Employed Full Time,2018-11-30,Yes,No,No
120,Yes,Employed Full Time,2019-09-01,,No,No
121,Yes,Employed Part Time,2019-09-01,Yes,No,No
122,Yes,Employed Full Time,2019-09-01,,No,No
123,Yes,Employed Part Time,2019-09-01,,No,No
124,Yes,Not employed,,,No,No
125,Yes,Employed Part Time,2019-08-30,Yes,No,No
126,Yes,Not employed,,,No,No
127,Yes,Employed Full Time,2018-06-30,Yes,Yes,No
128,Yes,Not employed,,No,Yes,No
129,Yes,Employed Full Time,2013-11-20,Yes,Yes,No
130,Yes,Employed Part Time,2016-09-30,Yes,No,No
131,Yes,Not employed,,,Yes,No
132,Yes,Not employed,,No,Yes,No
133,Yes,Employed Full Time,2019-06-07,Yes,Yes,No
134,Yes,Employed Part Time,2019-04-30,Yes,No,No
135,Yes,Employed Part Time,2013-11-16,Yes,No,No
136,No,Employed Part Time,2019-07-01,Yes,No,No
137,No,Employed Full Time,2018-11-30,Yes,No,No
138,Yes,Not employed,,No,No,No
139,Yes,Employed Full Time,2019-04-30,Yes,Yes,No
140,Yes,Not employed,,No,No,No
141,Yes,Employed Full Time,2019-06-12,Yes,Yes,No
142,Yes,Not employed,,No,Yes,Yes
143,Yes,Not employed,,No,Yes,No
144,Yes,Not employed,,No,Yes,Yes
145,Yes,Not employed,,No,Yes,No
146,Yes,Not employed,,No,Yes,Yes
147,Yes,Not employed,,No,Yes,Yes
148,Yes,Not employed,,No,Yes,No
149,Yes,Not employed,,No,Yes,No
150,Yes,Employed Full Time,2019-05-15,Yes,Yes,No
151,Yes,Not employed,,No,Yes,No
152,Yes,Not employed,,No,Yes,No
153,Yes,Not employed,,No,Yes,No
154,Yes,Not employed,,No,Yes,No
155,Yes,Not employed,,No,Yes,No
156,Yes,Not employed,,No,Yes,No
157,Yes,Not employed,,No,Yes,Yes
158,Yes,Not employed,,No,Yes,Yes
159,Yes,Not employed,,No,Yes,No
160,Yes,Not employed,,No,Yes,No
161,Yes,Not employed,,No,Yes,No
162,Yes,Not employed,,No,Yes,No
163,Yes,Employed Full Time,2019-04-22,Yes,Yes,No
164,Yes,Not employed,,No,Yes,No
165,Yes,Not employed,,No,Yes,No
166,Yes,Not employed,,No,Yes,No
167,Yes,Employed Part Time,2019-05-07,Yes,Yes,No
168,Yes,Not employed,,No,Yes,No
169,Yes,Not employed,,No,Yes,No
170,Yes,Not employed,,No,Yes,Yes
171,Yes,Not employed,,No,Yes,Yes
172,Yes,Not employed,,No,Yes,No
173,Yes,Not employed,,No,Yes,No
174,Yes,Employed Full Time,2019-05-10,Yes,Yes,No
175,Yes,Not employed,,No,Yes,No
176,Yes,Employed Part Time,2019-09-05,Yes,Yes,No
177,Yes,Not employed,,No,Yes,No
178,Yes,Not employed,,No,Yes,No
179,Yes,Not employed,,No,Yes,No
180,Yes,Employed Part Time,2019-08-01,Yes,No,No
181,No,Employed Full Time,2019-05-05,Yes,No,No
182,No,Employed Full Time,2019-09-15,Yes,No,No
183,Yes,Employed Full Time,2019-05-20,Yes,No,No
184,No,Not employed,,No,Yes,No
185,No,Not employed,,No,No,No
186,No,Not employed,,No,No,No
187,No,Employed Full Time,2019-03-15,Yes,No,No
188,Yes,Not employed,,No,No,No
