,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
111,No,Employed Full Time,2018-10-18,Yes,No,No
112,No,Employed Full Time,2018-06-15,Yes,No,No
113,No,Not employed,,,No,No
114,No,Not employed,,,No,No
115,No,Not employed,,,No,No
116,No,Employed Full Time,2017-03-01,Yes,No,No
117,No,Employed Full Time,2016-10-03,Yes,No,No
118,No,Employed Full Time,2017-07-24,Yes,No,No
119,No,Employed Full Time,2016-08-24,Yes,No,No
120,No,Employed Full Time,2016-08-08,Yes,No,No
121,No,Employed Full Time,2016-09-07,Yes,No,No
122,No,Employed Full Time,2018-12-17,Yes,No,No
123,No,Not employed,,,No,No
124,No,Employed Full Time,2016-12-01,Yes,No,No
125,No,Employed Full Time,2016-08-01,Yes,Yes,No
126,No,Employed Full Time,2017-03-01,Yes,No,No
127,No,Not employed,,,No,No
128,No,Employed Full Time,2017-05-08,Yes,No,No
129,No,Not employed,,,No,No
130,No,Employed Full Time,2015-09-01,Yes,No,No
131,No,Employed Full Time,2016-09-06,Yes,No,No
132,No,Not employed,,,No,No
133,No,Not employed,,,No,No
134,No,Not employed,,,No,No
135,No,Not employed,,,No,No
136,No,Not employed,,,No,No
137,No,Employed Full Time,2017-03-21,Yes,No,No
138,No,Employed Full Time,2017-09-14,Yes,No,No
139,No,Not employed,,,No,No
140,No,Employed Full Time,2016-12-02,Yes,No,No
141,No,Employed Full Time,2018-01-08,Yes,No,No
142,No,Not employed,,,No,No
143,No,Employed Full Time,2017-04-03,Yes,No,No
144,No,Employed Full Time,2017-04-04,Yes,No,No
145,No,Employed Full Time,2018-02-28,Yes,No,No
146,No,Not employed,,,No,No
147,No,Employed Full Time,2018-08-01,Yes,No,No
148,No,Not employed,,,No,No
149,No,Not employed,,,No,No
150,No,Employed Full Time,2017-01-09,Yes,No,No
151,No,Employed Full Time,2017-11-08,Yes,No,No
152,No,Employed Full Time,2018-06-05,Yes,No,No
153,No,Employed Full Time,2016-10-10,Yes,No,No
154,No,Employed Full Time,2017-12-01,Yes,No,No
155,No,Not employed,,,No,No
156,No,Employed Full Time,2017-05-26,Yes,No,No
157,No,Employed Full Time,2017-04-10,Yes,No,No
158,No,Not employed,,,No,No
159,No,Employed Full Time,2018-06-06,Yes,No,No
160,No,Employed Full Time,2016-12-23,Yes,No,No
161,No,Employed Part Time,2017-07-07,Yes,No,No
162,No,Employed Full Time,2016-11-17,Yes,No,No
163,No,Not employed,,,No,No
164,No,Not employed,,,No,No
165,No,Employed Full Time,2018-10-22,Yes,No,No
166,Yes,Employed Part Time,2019-03-22,No,Yes,Yes
167,Yes,Employed Part Time,2019-03-22,No,Yes,Yes
168,No,Employed Full Time,2017-09-15,Yes,Yes,No
169,No,Employed Full Time,2016-08-01,Yes,Yes,No
170,No,Employed Full Time,2017-09-14,Yes,Yes,No
171,No,Employed Full Time,2017-06-22,Yes,No,No
172,No,Employed Full Time,2017-09-01,Yes,No,No
173,No,Employed Full Time,2017-03-13,Yes,No,No
174,Yes,Not employed,,,Yes,Yes
175,Yes,Not employed,,,Yes,Yes
176,Yes,Not employed,,,Yes,Yes
177,No,Employed Full Time,2019-03-04,No,No,No
178,No,Employed Full Time,2017-03-13,Yes,No,No
179,No,Employed Full Time,2017-03-14,Yes,No,No
180,No,Employed Full Time,2018-02-16,Yes,No,No
181,No,Employed Full Time,2017-04-05,Yes,No,No
182,No,Employed Full Time,2018-03-20,Yes,No,No
183,No,Not employed,,,No,No
184,No,Employed Full Time,2017-08-23,Yes,No,No
185,No,Employed Full Time,2017-03-09,Yes,No,No
186,No,Not employed,,,No,No
187,No,Employed Full Time,2018-04-10,Yes,No,No
188,No,Employed Full Time,2018-12-14,Yes,No,No
189,No,Employed Part Time,2019-03-04,No,No,No
190,No,Not employed,,,Yes,No
191,No,Not employed,,,No,No
192,No,Not employed,,,Yes,No
193,No,Not employed,,,No,No
194,No,Employed Full Time,2016-07-05,Yes,No,No
195,No,Not employed,,,No,No
196,No,Not employed,,,No,No
197,No,Employed Full Time,2017-04-19,Yes,No,No
198,No,Employed Full Time,2017-10-02,Yes,No,No
199,No,Not employed,,,No,No
200,No,Not employed,,,No,No
201,No,Not employed,,,Yes,No
202,No,Employed Full Time,2018-11-01,Yes,No,No
203,No,Employed Full Time,2017-11-02,Yes,No,No
204,No,Not employed,,,No,No
205,No,Employed Full Time,2017-08-15,Yes,No,No
206,No,Not employed,,,No,No
207,No,Employed Full Time,2017-03-27,Yes,No,No
208,No,Employed Full Time,2017-05-24,Yes,No,No
209,No,Employed Full Time,2017-06-02,Yes,No,No
210,No,Employed Full Time,2018-11-08,Yes,Yes,No
211,No,Not employed,,,No,No
212,No,Employed Full Time,2017-06-19,Yes,No,No
213,No,Not employed,,,No,No
214,No,Not employed,,,No,No
215,No,Not employed,,,No,No
216,No,Employed Full Time,2017-03-31,Yes,No,No
217,No,Not employed,,,No,No
218,No,Employed Full Time,2017-04-10,Yes,No,No
219,No,Not employed,,,Yes,No
220,No,Not employed,,,No,No
221,No,Not employed,,,Yes,No
222,No,Employed Part Time,2017-07-10,Yes,No,No
223,Yes,Not employed,,,Yes,Yes
224,Yes,Not employed,,,Yes,Yes
225,No,Not employed,,,No,No
226,No,Employed Full Time,2017-09-01,Yes,No,No
227,No,Employed Full Time,2017-09-01,Yes,No,No
228,No,Employed Full Time,2017-11-06,Yes,No,No
229,No,Not employed,,,No,No
230,No,Employed Full Time,2018-02-27,Yes,No,No
231,No,Employed Full Time,2017-06-02,Yes,Yes,No
232,No,Employed Full Time,2018-10-22,Yes,No,No
233,No,Not employed,,,No,No
234,No,Employed Full Time,2018-09-05,Yes,No,No
235,No,Not employed,,,No,No
236,No,Not employed,,,No,No
237,No,Employed Full Time,2017-09-19,Yes,No,No
238,No,Employed Full Time,2018-06-25,Yes,No,No
239,No,Employed Part Time,2017-09-25,Yes,No,No
240,No,Employed Part Time,2019-02-08,No,No,No
241,No,Employed Full Time,2019-02-07,No,No,No
242,No,Not employed,,,No,No
243,No,Employed Full Time,2017-09-22,Yes,No,No
244,No,Not employed,,,No,No
245,No,Not employed,,,No,No
246,No,Employed Full Time,2018-10-08,Yes,No,No
247,No,Employed Full Time,2017-09-29,Yes,No,No
248,No,Not employed,,,No,No
249,No,Employed Full Time,2017-10-01,Yes,No,No
250,No,Not employed,,,Yes,No
251,No,Not employed,,,No,No
252,No,Employed Full Time,2017-10-16,Yes,No,No
253,No,Employed Full Time,2018-12-10,Yes,Yes,No
254,No,Employed Part Time,2017-09-15,Yes,No,No
255,No,Not employed,,,No,No
256,No,Not employed,,,Yes,No
257,No,Not employed,,,No,No
258,No,Employed Full Time,2017-10-23,Yes,No,No
259,No,Employed Full Time,2019-01-02,No,No,No
260,No,Employed Full Time,2017-12-01,Yes,No,No
261,No,Employed Full Time,2018-12-18,Yes,No,No
262,Yes,Employed Full Time,2018-05-14,Yes,No,No
263,No,Employed Part Time,2017-10-23,Yes,No,No
264,No,Not employed,,,No,No
265,No,Employed Full Time,2017-11-06,Yes,No,No
266,No,Employed Full Time,2017-09-12,Yes,No,No
267,No,Not employed,,,No,No
268,No,Not employed,,,No,No
269,No,Employed Full Time,2018-01-15,Yes,No,No
270,No,Employed Full Time,2018-08-21,Yes,No,No
271,No,Employed Full Time,2018-03-01,Yes,No,No
272,No,Employed Full Time,2018-09-14,Yes,No,No
273,No,Not employed,,,No,No
274,No,Not employed,,,No,No
275,No,Not employed,,,No,No
276,No,Employed Full Time,2018-06-04,Yes,No,No
277,No,Employed Full Time,2018-08-02,Yes,No,No
278,No,Employed Full Time,2018-07-12,Yes,No,No
279,No,Employed Full Time,2018-09-07,Yes,No,No
280,No,Not employed,,,No,No
281,No,Employed Full Time,2018-10-08,Yes,No,No
282,No,Employed Full Time,2018-09-24,Yes,No,No
283,No,Not employed,,,No,No
284,No,Employed Full Time,2016-01-01,Yes,No,No
285,No,Employed Full Time,2018-06-26,Yes,No,No
286,No,Not employed,,,No,No
287,No,Not employed,,,No,No
288,No,Employed Full Time,2017-12-01,Yes,No,No
289,No,Employed Part Time,2018-09-24,Yes,No,No
290,No,Not employed,,,No,No
291,No,Not employed,,,No,No
292,No,Employed Full Time,2018-04-24,Yes,No,No
293,Yes,Not employed,,,No,No
294,No,Not employed,,,No,No
295,No,Not employed,,,No,No
296,No,Employed Full Time,2018-08-06,Yes,No,No
297,Yes,Employed Part Time,2019-03-22,No,Yes,Yes
298,Yes,Employed Part Time,2019-03-22,No,Yes,Yes
299,No,Not employed,,,No,No
300,No,Not employed,,,No,No
301,No,Not employed,,,No,No
302,No,Not employed,,,No,No
303,No,Employed Full Time,2018-07-23,Yes,No,No
304,No,Not employed,,,No,No
305,No,Not employed,,,No,No
306,No,Employed Part Time,2018-05-31,Yes,No,No
307,No,Employed Full Time,2018-12-06,Yes,No,No
308,No,Employed Full Time,2018-08-01,Yes,No,No
309,No,Not employed,,,No,No
310,No,Employed Full Time,2018-05-28,Yes,No,No
311,No,Not employed,,,No,No
312,No,Not employed,,,No,No
313,No,Not employed,,,No,No
314,No,Not employed,,,No,No
315,No,Not employed,,,No,No
316,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
317,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
318,No,Not employed,,,No,No
319,No,Not employed,,,No,No
320,No,Not employed,,,No,No
321,No,Employed Full Time,2018-11-21,Yes,No,No
322,No,Employed Full Time,2018-08-07,Yes,No,No
323,No,Employed Full Time,2018-10-01,Yes,No,No
324,No,Employed Full Time,2018-08-12,Yes,No,No
325,No,Not employed,,,No,No
326,No,Not employed,,,No,No
327,No,Employed Full Time,2019-01-14,No,No,No
328,No,Employed Full Time,2018-05-10,Yes,No,No
329,No,Not employed,,,No,No
330,No,Employed Full Time,2018-06-30,Yes,No,No
331,No,Not employed,,,No,No
332,No,Employed Full Time,2018-09-17,Yes,No,No
333,No,Employed Full Time,2018-02-01,Yes,No,No
334,No,Not employed,,,No,No
335,No,Employed Full Time,2018-09-19,Yes,No,No
336,No,Not employed,,,No,No
337,No,Employed Full Time,2018-07-30,Yes,No,No
338,No,Employed Full Time,2018-06-14,Yes,No,No
339,No,Not employed,,,No,No
340,No,Employed Full Time,2018-08-15,Yes,No,No
341,No,Employed Full Time,2018-08-27,Yes,No,No
342,No,Not employed,,,No,No
343,No,Not employed,,,No,No
344,Yes,Employed Part Time,2018-08-27,Yes,No,No
345,No,Employed Full Time,2016-06-01,Yes,No,No
346,No,Employed Full Time,2018-12-23,Yes,No,No
347,No,Employed Full Time,2018-08-02,Yes,No,No
348,No,Not employed,,,No,No
349,No,Employed Full Time,2018-12-04,Yes,No,No
350,No,Employed Part Time,2019-01-30,No,No,No
351,No,Employed Full Time,2018-09-17,Yes,No,No
352,No,Employed Full Time,2018-08-06,Yes,No,No
353,No,Not employed,,,No,No
354,No,Not employed,,,No,No
355,No,Not employed,,,No,No
356,No,Employed Full Time,2018-08-06,Yes,No,No
357,No,Employed Full Time,2018-08-13,Yes,No,No
358,No,Employed Full Time,2018-08-02,Yes,No,No
359,No,Not employed,,,No,No
360,No,Not employed,,,No,No
361,No,Employed Full Time,2018-07-30,Yes,No,No
362,No,Not employed,,,No,No
363,No,Employed Full Time,2018-09-25,Yes,No,No
364,No,Employed Full Time,2018-07-30,Yes,No,No
365,No,Not employed,,,No,No
366,No,Not employed,,,No,No
367,No,Not employed,,,No,No
368,No,Employed Full Time,2018-10-12,Yes,No,No
369,No,Employed Full Time,2017-10-01,Yes,No,No
370,Yes,Employed Full Time,2019-01-28,No,Yes,Yes
371,Yes,Employed Full Time,2019-01-28,No,Yes,Yes
372,No,Not employed,,,No,No
373,No,Not employed,,,No,No
374,No,Not employed,,,No,No
375,No,Not employed,,,No,No
376,No,Employed Full Time,2018-09-03,Yes,No,No
377,No,Not employed,,,No,No
378,No,Not employed,,,No,No
379,No,Not employed,,,No,No
380,No,Not employed,,,No,No
381,No,Not employed,,,No,No
382,No,Employed Full Time,2019-01-09,No,No,No
383,No,Employed Part Time,2018-09-04,Yes,No,No
384,No,Employed Full Time,2018-09-27,Yes,No,No
385,No,Employed Full Time,2019-01-17,No,No,No
386,No,Employed Full Time,2019-01-01,No,No,No
387,No,Not employed,,,No,No
388,No,Employed Full Time,2018-09-16,Yes,No,No
389,No,Not employed,,,No,No
390,No,Employed Full Time,2018-07-16,Yes,No,No
391,No,Not employed,,,No,No
392,No,Not employed,,,No,No
393,No,Not employed,,,No,No
394,No,Employed Full Time,2018-06-04,Yes,No,No
395,No,Not employed,,,No,No
396,No,Employed Full Time,2018-11-01,Yes,No,No
397,No,Not employed,,,No,No
398,No,Not employed,,,No,No
399,No,Employed Full Time,2018-10-08,Yes,No,No
400,No,Not employed,,,No,No
401,No,Not employed,,,No,No
402,No,Not employed,,,No,No
403,No,Not employed,,,No,No
404,No,Not employed,,,No,No
405,No,Not employed,,,No,No
406,No,Employed Full Time,2018-10-11,Yes,No,No
407,No,Not employed,,,No,No
408,No,Employed Full Time,2018-11-28,Yes,No,No
409,No,Not employed,,,No,No
410,No,Employed Full Time,2018-12-24,Yes,No,No
411,No,Employed Full Time,2018-10-22,Yes,No,No
412,No,Not employed,,,No,No
413,No,Not employed,,,No,No
414,No,Not employed,,,No,No
415,No,Employed Full Time,2018-12-03,Yes,No,No
416,No,Not employed,,,No,No
417,No,Employed Full Time,2018-12-06,Yes,No,No
418,No,Employed Full Time,2019-01-07,No,No,No
419,No,Not employed,,,No,No
420,No,Not employed,,,No,No
421,No,Employed Full Time,2019-01-10,No,No,No
422,No,Employed Full Time,2018-12-05,Yes,No,No
423,No,Employed Full Time,2018-12-07,Yes,No,No
424,No,Not employed,,,No,No
425,No,Employed Full Time,2018-12-06,Yes,No,No
426,No,Not employed,,,No,No
427,No,Employed Full Time,2018-12-11,Yes,No,No
428,No,Not employed,,,No,No
429,No,Employed Full Time,2018-05-01,Yes,No,No
430,No,Not employed,,,No,No
431,No,Employed Full Time,2019-03-25,No,No,No
432,Yes,Not employed,,,Yes,Yes
433,Yes,Not employed,,,Yes,Yes
434,No,Not employed,,,No,No
435,No,Not employed,,,No,No
436,No,Not employed,,,No,No
437,No,Not employed,,,No,No
438,Yes,Not employed,,,Yes,Yes
439,Yes,Not employed,,,Yes,Yes
440,Yes,Employed Full Time,2019-03-12,No,Yes,Yes
441,Yes,Employed Full Time,2019-03-12,No,Yes,Yes
442,No,Not employed,,,Yes,No
443,Yes,Not employed,,,Yes,Yes
444,Yes,Not employed,,,Yes,Yes
445,Yes,Not employed,,,Yes,Yes
446,Yes,Not employed,,,Yes,Yes
447,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
448,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
449,Yes,Not employed,,,Yes,Yes
450,Yes,Not employed,,,Yes,Yes
451,Yes,Employed Full Time,2019-03-26,No,Yes,Yes
452,Yes,Employed Full Time,2019-03-26,No,Yes,Yes
453,Yes,Not employed,,,Yes,Yes
454,Yes,Not employed,,,Yes,Yes
455,Yes,Not employed,,,Yes,Yes
456,Yes,Not employed,,,Yes,Yes
457,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
458,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
459,Yes,Not employed,,,Yes,Yes
460,Yes,Not employed,,,Yes,Yes
461,Yes,Not employed,,,Yes,Yes
462,Yes,Not employed,,,Yes,Yes
463,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
464,Yes,Employed Full Time,2019-03-25,No,Yes,Yes
465,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
466,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
467,Yes,Not employed,,,Yes,Yes
468,Yes,Not employed,,,Yes,Yes
469,Yes,Employed Full Time,2019-03-11,No,Yes,Yes
470,Yes,Employed Full Time,2019-03-11,No,Yes,Yes
471,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
472,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
473,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
474,Yes,Employed Full Time,2019-03-22,No,Yes,Yes
475,Yes,Employed Full Time,2019-03-29,No,Yes,Yes
476,Yes,Employed Full Time,2019-03-29,No,Yes,Yes
477,No,Not employed,,,No,No
478,No,Not employed,,,No,No
479,Yes,Not employed,,,Yes,Yes
480,Yes,Not employed,,,Yes,Yes
481,Yes,Not employed,,,Yes,Yes
482,Yes,Not employed,,,Yes,Yes
483,Yes,Not employed,,,Yes,Yes
484,Yes,Not employed,,,Yes,Yes
485,Yes,Employed Full Time,2019-01-01,No,Yes,Yes
486,Yes,Employed Full Time,2019-01-01,No,Yes,Yes
487,Yes,Not employed,,,Yes,Yes
488,Yes,Not employed,,,Yes,Yes
489,Yes,Not employed,,,Yes,Yes
490,Yes,Not employed,,,Yes,Yes
491,Yes,Not employed,,,Yes,Yes
492,Yes,Not employed,,,Yes,Yes
493,No,Not employed,,,No,No
494,No,Not employed,,,No,No
495,No,Not employed,,No,No,No
496,No,Employed Full Time,2018-03-01,No,No,No
497,No,Employed Part Time,2016-11-01,No,No,No
498,No,Employed Full Time,2015-10-15,No,No,No
499,No,Not employed,,No,No,No
500,No,Employed Full Time,2018-10-22,No,No,No
501,No,Employed Full Time,2014-07-10,No,No,No
502,No,Employed Part Time,2015-03-01,No,No,No
503,No,Employed Full Time,2016-11-10,No,No,No
504,No,Employed Full Time,2018-07-19,No,No,No
505,No,Not employed,,No,No,No
506,No,Employed Part Time,2018-07-17,No,No,No
507,No,Employed Full Time,2018-04-26,No,No,No
508,No,Not employed,,No,No,No
509,No,Employed Full Time,2018-01-22,No,No,No
510,Yes,Employed Full Time,2019-01-07,No,No,No
511,Yes,Employed Full Time,2019-03-21,No,No,No
512,No,Employed Full Time,2015-08-04,No,No,No
513,No,Employed Full Time,2017-10-09,No,No,No
514,No,Employed Full Time,2018-03-19,No,No,No
515,No,Employed Full Time,2009-09-28,No,No,No
516,Yes,Employed Part Time,2019-02-21,No,No,No
517,No,Employed Full Time,2018-08-13,No,No,No
518,Yes,Not employed,,No,Yes,No
519,No,Employed Part Time,2019-03-25,No,No,Yes
520,Yes,Not employed,,No,Yes,No
521,No,Employed Full Time,2019-03-29,No,No,No
522,No,Employed Part Time,2012-09-01,No,No,No
523,No,Not employed,,No,No,No
524,No,Not employed,,No,No,No
525,No,Not employed,,No,No,No
526,No,Not employed,,No,No,No
527,No,Employed Part Time,2019-02-01,No,No,No
528,Yes,Not employed,,No,No,No
529,No,Not employed,,No,No,No
530,No,Not employed,,No,No,No
531,No,Not employed,,No,No,No
532,No,Not employed,,No,No,No
533,Yes,Employed Full Time,2019-03-14,No,No,No
534,No,Not employed,,No,No,No
535,No,Not employed,,No,No,No
536,No,Not employed,,No,No,No
537,No,Not employed,,No,No,No
538,No,Not employed,,No,No,No
539,Yes,Employed Full Time,2019-03-28,No,No,No
540,Yes,Not employed,,No,No,No
541,No,Not employed,,No,No,No
542,No,Not employed,,No,No,No
543,No,Not employed,,No,No,No
544,No,Not employed,,No,No,No
545,No,Not employed,,No,No,No
546,No,Not employed,,No,No,No
547,No,Not employed,,No,No,No
548,No,Not employed,,No,No,No
549,No,Not employed,,No,No,No
550,No,Not employed,,No,No,No
551,No,Not employed,,No,No,No
552,No,Not employed,,No,No,No
553,No,Not employed,,No,No,No
554,No,Not employed,,No,No,No
555,No,Not employed,,No,No,No
556,No,Not employed,,No,No,No
557,No,Not employed,,No,No,No
558,No,Not employed,,No,No,No
559,No,Not employed,,No,No,No
560,No,Not employed,,No,No,No
561,No,Not employed,,No,No,No
562,No,Not employed,,No,No,No
563,No,Not employed,,No,No,No
564,Yes,Not employed,,No,No,No
565,Yes,Not employed,,No,No,No
566,Yes,Not employed,,No,No,No
567,Yes,Employed Full Time,2019-03-01,No,No,No
568,No,Not employed,,No,No,No
569,Yes,Employed Full Time,2019-03-21,No,No,No
570,Yes,Not employed,,No,Yes,No
571,No,Employed Full Time,2019-01-23,No,No,No
572,No,Employed Full Time,2018-04-16,No,No,No
573,Yes,Employed Full Time,2019-01-25,No,No,No
574,No,Employed Part Time,2018-02-19,No,No,No
575,No,Not employed,,No,No,No
576,No,Not employed,,No,No,No
577,No,Not employed,,No,No,No
578,No,Not employed,,No,No,No
579,No,Not employed,,No,No,No
580,No,Not employed,,No,No,No
581,No,Employed Full Time,2018-06-01,No,No,No
582,Yes,Not employed,,No,No,No
583,No,Employed Full Time,2018-08-15,No,No,No
584,No,Not employed,,No,No,No
585,No,Not employed,,No,No,No
586,No,Employed Full Time,2019-01-03,No,No,No
587,Yes,Employed Full Time,2015-10-01,No,No,No
588,No,Not employed,,No,No,No
589,Yes,Employed Full Time,2018-08-18,No,No,No
590,No,Not employed,,No,No,No
591,Yes,Employed Full Time,2007-01-10,No,No,No
592,No,Not employed,,No,No,No
593,Yes,Not employed,,No,No,No
594,No,Not employed,,No,No,No
595,No,Not employed,,No,No,No
596,No,Not employed,,No,No,No
597,No,Not employed,,No,No,No
598,No,Not employed,,No,No,No
599,No,Not employed,,No,No,No
600,No,Employed Part Time,2018-10-01,No,No,No
601,No,Employed Full Time,2015-08-10,No,No,No
602,No,Not employed,,No,No,No
603,No,Employed Full Time,2015-08-10,No,No,No
604,Yes,Employed Full Time,2015-10-01,No,No,No
605,No,Not employed,,No,No,No
606,No,Not employed,,No,No,No
607,No,Not employed,,No,No,No
608,No,Employed Part Time,2018-10-01,No,No,No
609,Yes,Employed Full Time,2016-12-01,Yes,No,No
610,Yes,Employed Full Time,2016-10-01,Yes,No,No
611,Yes,Employed Full Time,2017-08-26,Yes,No,No
612,Yes,Not employed,,No,No,No
613,Yes,Not employed,,No,No,No
614,Yes,Employed Full Time,2018-07-07,Yes,No,No
615,Yes,Employed Part Time,2017-07-20,Yes,No,No
616,Yes,Employed Full Time,2017-08-04,Yes,No,No
617,Yes,Employed Full Time,2016-09-18,Yes,No,No
618,Yes,Employed Full Time,2018-05-12,Yes,No,No
619,Yes,Not employed,,No,Yes,Yes
620,Yes,Not employed,,No,No,No
621,Yes,Employed Full Time,2017-08-15,Yes,No,No
622,Yes,Employed Full Time,2018-07-01,Yes,No,No
623,Yes,Employed Full Time,2017-06-23,Yes,No,No
624,Yes,Not employed,,No,No,No
625,Yes,Employed Part Time,2018-07-02,Yes,No,No
626,Yes,Employed Part Time,2018-05-20,Yes,No,No
627,Yes,Employed Part Time,2017-06-14,Yes,No,No
628,Yes,Employed Part Time,2018-03-01,Yes,No,No
629,Yes,Employed Full Time,2017-09-01,Yes,No,No
630,Yes,Not employed,,No,No,No
631,Yes,Not employed,,No,No,No
632,Yes,Not employed,,No,No,No
