,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
194,No,Not employed,,,Yes,No
195,Yes,Not employed,,,Yes,Yes
196,Yes,Not employed,,,Yes,Yes
197,No,Employed Full Time,2019-03-08,Yes,No,No
198,No,Not employed,,,No,No
199,No,Employed Full Time,2016-08-16,Yes,No,No
200,Yes,Employed Full Time,2019-04-19,No,No,No
201,No,Not employed,,,Yes,No
202,No,Not employed,,,Yes,No
203,No,Employed Full Time,2018-09-16,Yes,No,No
204,No,Not employed,,,No,No
205,No,Not employed,,,No,No
206,Yes,Not employed,,,Yes,Yes
207,Yes,Not employed,,,Yes,Yes
208,No,Not employed,,,No,No
209,Yes,Employed Full Time,2019-05-17,No,No,No
210,No,Employed Full Time,2018-12-14,Yes,No,No
211,No,Employed Full Time,2018-12-23,Yes,No,No
212,No,Not employed,,,No,No
213,No,Not employed,,,No,No
214,No,Employed Full Time,2015-12-01,Yes,No,No
215,No,Employed Full Time,2018-11-20,Yes,No,No
216,No,Not employed,,,No,No
217,No,Employed Full Time,2019-06-22,No,No,No
218,Yes,Employed Part Time,2019-03-11,Yes,No,No
219,No,Not employed,,,No,No
220,No,Not employed,,,No,No
221,Yes,Not employed,,,Yes,No
222,No,Not employed,,,No,No
223,No,Not employed,,,No,No
224,No,Not employed,,,Yes,No
225,No,Employed Part Time,2017-09-25,Yes,No,No
226,No,Employed Full Time,2018-09-17,Yes,No,No
227,No,Employed Full Time,2017-03-13,Yes,No,No
228,No,Employed Full Time,2018-11-28,Yes,No,No
229,No,Employed Full Time,2016-10-03,Yes,No,No
230,Yes,Not employed,,,No,No
231,No,Not employed,,,No,No
232,No,Employed Full Time,2017-12-01,Yes,No,No
233,No,Not employed,,,No,No
234,No,Employed Full Time,2016-05-16,Yes,No,No
235,No,Not employed,,,No,No
236,No,Employed Full Time,2019-03-25,Yes,No,No
237,No,Not employed,,,No,No
238,No,Not employed,,,No,No
239,No,Not employed,,,No,No
240,No,Not employed,,,No,No
241,No,Employed Full Time,2019-03-25,Yes,No,No
242,No,Employed Part Time,2015-08-01,Yes,No,No
243,No,Employed Full Time,2019-01-03,Yes,No,No
244,No,Not employed,,,No,No
245,Yes,Employed Full Time,2019-06-06,No,Yes,Yes
246,Yes,Employed Full Time,2019-06-06,No,Yes,Yes
247,No,Employed Full Time,2018-01-15,Yes,No,No
248,No,Employed Full Time,2017-09-14,Yes,No,No
249,Yes,Not employed,,,Yes,Yes
250,No,Not employed,,,No,No
251,Yes,Employed Full Time,2019-05-21,No,Yes,Yes
252,Yes,Employed Full Time,2019-05-21,No,Yes,Yes
253,No,Employed Full Time,2019-01-02,Yes,No,No
254,Yes,Not employed,,,No,No
255,No,Employed Full Time,2018-11-01,Yes,No,No
256,No,Not employed,,,No,No
257,No,Employed Full Time,2018-10-12,Yes,No,No
258,No,Not employed,,,No,No
259,No,Not employed,,,No,No
260,No,Not employed,,,No,No
261,No,Employed Full Time,2018-02-01,Yes,No,No
262,No,Not employed,,,No,No
263,No,Employed Full Time,2019-06-28,No,No,No
264,No,Employed Full Time,2016-12-15,Yes,No,No
265,No,Not employed,,,Yes,No
266,No,Employed Full Time,2018-07-30,Yes,No,No
267,No,Employed Full Time,2017-02-27,Yes,Yes,No
268,No,Not employed,,,No,No
269,No,Employed Part Time,2018-08-27,Yes,No,No
270,No,Not employed,,,No,No
271,Yes,Employed Part Time,2019-04-18,No,Yes,Yes
272,No,Employed Full Time,2019-03-25,Yes,No,No
273,No,Employed Full Time,2017-10-01,Yes,No,No
274,Yes,Employed Full Time,2018-03-01,Yes,No,No
275,No,Employed Part Time,2016-05-13,Yes,No,No
276,No,Not employed,,,No,No
277,No,Not employed,,,No,No
278,Yes,Not employed,,,Yes,Yes
279,Yes,Not employed,,,Yes,Yes
280,No,Employed Full Time,2019-03-22,Yes,No,No
281,Yes,Employed Full Time,2019-03-12,Yes,No,No
282,No,Not employed,,,No,No
283,Yes,Not employed,,,Yes,Yes
284,Yes,Not employed,,,Yes,Yes
285,No,Not employed,,,No,No
286,Yes,Employed Full Time,2019-04-21,No,No,No
287,No,Employed Full Time,2019-06-12,No,No,No
288,Yes,Employed Full Time,2019-05-28,No,No,No
289,Yes,Not employed,,,Yes,Yes
290,Yes,Not employed,,,Yes,Yes
291,No,Not employed,,,Yes,No
292,No,Not employed,,,No,No
293,No,Employed Full Time,2019-06-03,No,No,No
294,No,Not employed,,,No,No
295,No,Not employed,,,No,No
296,No,Employed Full Time,2019-01-02,Yes,No,No
297,No,Employed Full Time,2017-03-21,Yes,No,No
298,No,Employed Full Time,2018-09-24,Yes,No,No
299,Yes,Not employed,,,Yes,Yes
300,Yes,Not employed,,,Yes,Yes
301,Yes,Not employed,,,Yes,Yes
302,No,Employed Full Time,2018-02-27,Yes,No,No
303,No,Not employed,,,No,No
304,No,Employed Full Time,2018-10-08,Yes,No,No
305,No,Not employed,,,No,No
306,No,Employed Part Time,2018-05-31,Yes,No,No
307,No,Employed Full Time,2019-02-01,Yes,No,No
308,No,Not employed,,,No,No
309,No,Not employed,,,No,No
310,No,Employed Full Time,2019-01-17,Yes,No,No
311,No,Employed Full Time,2019-06-12,No,No,No
312,No,Employed Full Time,2016-07-05,Yes,No,No
313,No,Not employed,,,No,No
314,Yes,Not employed,,,Yes,Yes
315,No,Employed Full Time,2017-09-01,Yes,No,No
316,No,Not employed,,,No,No
317,No,Employed Full Time,2018-05-10,Yes,No,No
318,No,Employed Full Time,2015-10-15,Yes,No,No
319,No,Employed Full Time,2018-06-04,Yes,No,No
320,No,Employed Full Time,2019-03-29,Yes,No,No
321,No,Not employed,,,Yes,No
322,No,Not employed,,,No,No
323,No,Not employed,,,No,No
324,No,Employed Full Time,2018-08-02,Yes,No,No
325,No,Not employed,,,No,No
326,No,Not employed,,,No,No
327,Yes,Not employed,,,No,No
328,No,Employed Full Time,2018-02-28,Yes,No,No
329,No,Employed Full Time,2017-09-12,Yes,No,No
330,No,Employed Full Time,2019-01-14,Yes,No,No
331,Yes,Employed Full Time,2019-06-26,No,Yes,Yes
332,Yes,Employed Full Time,2019-06-26,No,Yes,Yes
333,No,Employed Full Time,2018-07-16,Yes,No,No
334,No,Employed Full Time,2018-03-01,Yes,No,No
335,No,Employed Full Time,2018-05-01,Yes,No,No
336,No,Not employed,,,No,No
337,No,Employed Part Time,2019-02-13,Yes,No,No
338,No,Not employed,,,No,No
339,No,Not employed,,,No,No
340,No,Employed Full Time,2016-09-06,Yes,No,No
341,No,Not employed,,,No,No
342,No,Not employed,,,No,No
343,No,Employed Full Time,2016-06-01,Yes,No,No
344,No,Not employed,,,No,No
345,Yes,Not employed,,,Yes,Yes
346,Yes,Not employed,,,Yes,Yes
347,Yes,Not employed,,,Yes,Yes
348,No,Employed Part Time,2017-09-15,Yes,No,No
349,No,Not employed,,,No,No
350,Yes,Employed Part Time,2019-03-14,Yes,No,No
351,No,Employed Full Time,2019-04-19,No,No,No
352,No,Employed Full Time,2018-12-24,Yes,No,No
353,No,Not employed,,,No,No
354,No,Not employed,,,Yes,No
355,No,Not employed,,,Yes,No
356,No,Employed Full Time,2019-02-27,Yes,No,No
357,No,Not employed,,,No,No
358,No,Employed Full Time,2017-12-01,Yes,No,No
359,Yes,Employed Full Time,2019-06-25,No,Yes,Yes
360,Yes,Employed Full Time,2019-06-25,No,Yes,Yes
361,No,Employed Full Time,2016-08-15,Yes,No,No
362,No,Employed Full Time,2018-06-25,Yes,No,No
363,No,Employed Full Time,2018-10-11,Yes,No,No
364,No,Not employed,,,No,No
365,No,Not employed,,,No,No
366,Yes,Not employed,,,Yes,Yes
367,Yes,Not employed,,,Yes,Yes
368,No,Employed Full Time,2016-09-07,Yes,No,No
369,No,Employed Full Time,2019-06-03,No,No,No
370,No,Not employed,,,No,No
371,No,Employed Full Time,2018-10-01,Yes,No,No
372,Yes,Employed Full Time,2019-06-17,No,Yes,Yes
373,Yes,Employed Full Time,2019-06-17,No,Yes,Yes
374,No,Employed Full Time,2019-06-12,No,No,No
375,No,Not employed,,,No,No
376,No,Employed Full Time,2019-02-07,Yes,No,No
377,No,Employed Full Time,2018-12-17,Yes,No,No
378,No,Employed Full Time,2018-09-03,Yes,No,No
379,No,Employed Full Time,2019-06-12,No,No,No
380,No,Not employed,,,No,No
381,No,Employed Full Time,2018-08-27,Yes,No,No
382,Yes,Not employed,,,Yes,Yes
383,Yes,Not employed,,,Yes,Yes
384,Yes,Not employed,,,Yes,Yes
385,Yes,Not employed,,,Yes,Yes
386,Yes,Employed Full Time,2019-06-11,No,Yes,Yes
387,Yes,Employed Full Time,2019-06-11,No,Yes,Yes
388,Yes,Employed Full Time,2019-03-22,Yes,No,No
389,No,Not employed,,,No,No
390,No,Employed Full Time,2016-12-23,Yes,No,No
391,No,Not employed,,,No,No
392,No,Employed Full Time,2018-12-05,Yes,No,No
393,No,Employed Full Time,2018-03-20,Yes,No,No
394,Yes,Not employed,,,Yes,Yes
395,Yes,Not employed,,,Yes,Yes
396,No,Not employed,,,No,No
397,No,Employed Full Time,2018-12-11,Yes,No,No
398,Yes,Not employed,,,Yes,Yes
399,Yes,Not employed,,,Yes,Yes
400,No,Employed Full Time,2018-08-07,Yes,No,No
401,No,Employed Full Time,2017-09-22,Yes,No,No
402,No,Employed Full Time,2019-06-10,No,No,No
403,Yes,Not employed,,,Yes,Yes
404,Yes,Not employed,,,Yes,Yes
405,No,Employed Full Time,2018-08-09,Yes,No,No
406,No,Not employed,,,No,No
407,No,Not employed,,,No,No
408,No,Not employed,,,No,No
409,No,Not employed,,,No,No
410,No,Not employed,,,No,No
411,Yes,Not employed,,,Yes,Yes
412,Yes,Not employed,,,Yes,Yes
413,No,Not employed,,,No,No
414,No,Not employed,,,No,No
415,No,Employed Full Time,2019-05-01,No,No,No
416,No,Employed Full Time,2018-12-06,Yes,No,No
417,No,Employed Full Time,2018-10-22,Yes,No,No
418,No,Not employed,,,No,No
419,No,Employed Full Time,2019-06-24,No,No,No
420,Yes,Not employed,,,No,No
421,No,Employed Part Time,2018-09-24,Yes,No,No
422,No,Not employed,,,No,No
423,No,Employed Full Time,2018-12-17,Yes,No,No
424,No,Not employed,,,No,No
425,No,Not employed,,,No,No
426,No,Employed Full Time,2018-09-19,Yes,No,No
427,No,Not employed,,,No,No
428,No,Not employed,,,No,No
429,No,Not employed,,,No,No
430,Yes,Not employed,,,No,No
431,No,Not employed,,,No,No
432,No,Not employed,,,No,No
433,No,Employed Part Time,2019-03-04,Yes,No,No
434,No,Employed Full Time,2017-11-06,Yes,No,No
435,No,Not employed,,,No,No
436,No,Not employed,,,No,No
437,No,Not employed,,,No,No
438,No,Employed Full Time,2018-10-18,Yes,No,No
439,No,Not employed,,,No,No
440,No,Employed Full Time,2017-08-15,Yes,No,No
441,No,Not employed,,,No,No
442,No,Not employed,,,No,No
443,Yes,Employed Full Time,2019-06-02,No,Yes,Yes
444,Yes,Employed Full Time,2019-06-02,No,Yes,Yes
445,No,Not employed,,,Yes,No
446,No,Not employed,,,Yes,No
447,No,Employed Part Time,2019-01-30,Yes,No,No
448,No,Employed Full Time,2018-09-17,Yes,No,No
449,No,Not employed,,,No,No
450,No,Employed Full Time,2018-08-06,Yes,No,No
451,Yes,Not employed,,,Yes,Yes
452,Yes,Not employed,,,Yes,Yes
453,No,Employed Full Time,2018-01-05,Yes,No,No
454,No,Employed Full Time,2018-11-01,Yes,No,No
455,No,Employed Part Time,2017-02-01,Yes,No,No
456,Yes,Employed Full Time,2019-04-27,No,Yes,Yes
457,Yes,Not employed,,,No,No
458,No,Employed Full Time,2018-11-01,Yes,No,No
459,No,Employed Full Time,2018-05-28,Yes,No,No
460,No,Not employed,,,No,No
461,No,Employed Part Time,2019-02-08,Yes,No,No
462,No,Employed Full Time,2018-04-24,Yes,No,No
463,Yes,Not employed,,,Yes,Yes
464,Yes,Not employed,,,Yes,Yes
465,No,Not employed,,,No,No
466,No,Not employed,,,No,No
467,No,Not employed,,,No,No
468,Yes,Employed Full Time,2019-01-08,Yes,No,No
469,Yes,Employed Full Time,2018-06-26,Yes,No,No
470,No,Employed Full Time,2018-06-25,Yes,No,No
471,No,Not employed,,,No,No
472,No,Employed Full Time,2018-09-27,Yes,No,No
473,No,Not employed,,,No,No
474,No,Employed Full Time,2017-11-06,Yes,No,No
475,No,Employed Part Time,2017-06-27,Yes,No,No
476,No,Not employed,,,No,No
477,No,Not employed,,,No,No
478,No,Not employed,,,No,No
479,No,Employed Full Time,2019-03-22,Yes,No,No
480,Yes,Not employed,,,No,No
481,No,Not employed,,,No,No
482,No,Not employed,,,No,No
483,No,Not employed,,,Yes,No
484,No,Not employed,,,Yes,No
485,No,Employed Full Time,2018-09-07,Yes,No,No
486,No,Employed Full Time,2017-09-19,Yes,No,No
487,No,Employed Full Time,2017-06-19,Yes,No,No
488,No,Employed Full Time,2017-11-02,Yes,No,No
489,No,Not employed,,,No,No
490,No,Not employed,,,No,No
491,No,Employed Full Time,2018-08-06,Yes,No,No
492,No,Employed Full Time,2018-10-22,Yes,No,No
493,Yes,Employed Full Time,2016-12-01,Yes,No,No
494,Yes,Employed Full Time,2016-10-01,Yes,No,No
495,Yes,Employed Full Time,2017-08-26,Yes,No,No
496,Yes,Not employed,,No,No,No
497,Yes,Not employed,,No,No,No
498,Yes,Employed Full Time,2018-07-07,Yes,No,No
499,Yes,Employed Part Time,2017-07-20,Yes,No,No
500,Yes,Employed Full Time,2017-08-04,Yes,No,No
501,Yes,Employed Full Time,2016-09-18,Yes,No,No
502,Yes,Employed Full Time,2018-05-12,Yes,No,No
503,Yes,Not employed,,No,Yes,Yes
504,Yes,Not employed,,No,No,No
505,Yes,Employed Full Time,2017-08-15,Yes,No,No
506,Yes,Employed Full Time,2018-07-01,Yes,No,No
507,Yes,Employed Full Time,2017-06-23,Yes,No,No
508,Yes,Not employed,,No,No,No
509,Yes,Employed Part Time,2018-07-02,Yes,No,No
510,Yes,Employed Part Time,2018-05-20,Yes,No,No
511,Yes,Employed Part Time,2017-06-14,Yes,No,No
512,Yes,Employed Part Time,2018-03-01,Yes,No,No
513,Yes,Employed Full Time,2017-09-01,Yes,No,No
514,Yes,Not employed,,No,No,No
515,Yes,Not employed,,No,No,No
516,Yes,Not employed,,No,No,No
517,Yes,Not employed,,No,No,No
518,Yes,Employed Part Time,2017-06-01,Yes,No,No
519,Yes,Not employed,,No,No,No
520,Yes,Employed Full Time,2017-07-18,Yes,No,No
521,Yes,Employed Part Time,2018-05-02,Yes,No,No
522,Yes,Employed Full Time,2018-01-28,Yes,No,No
523,Yes,Employed Full Time,2017-09-18,Yes,No,No
524,Yes,Employed Full Time,2017-08-16,Yes,No,No
525,Yes,Employed Part Time,2018-07-01,Yes,No,No
526,Yes,Not employed,,No,No,Yes
527,Yes,Not employed,,No,No,No
528,Yes,Employed Full Time,2018-02-09,Yes,No,No
529,Yes,Employed Full Time,2018-08-01,Yes,No,No
530,Yes,Employed Full Time,2017-07-19,Yes,No,No
531,Yes,Not employed,,No,No,No
532,Yes,Not employed,,No,No,No
533,Yes,Employed Full Time,2016-02-16,Yes,No,No
534,Yes,Employed Full Time,2018-07-01,Yes,No,No
535,Yes,Employed Part Time,2019-02-17,Yes,No,No
536,Yes,Employed Full Time,2019-01-16,Yes,No,No
537,Yes,Employed Full Time,2018-12-05,Yes,Yes,No
538,Yes,Employed Part Time,2017-10-01,Yes,No,No
539,Yes,Employed Full Time,2019-02-19,Yes,No,No
540,Yes,Employed Full Time,2018-02-01,Yes,No,No
541,Yes,Employed Full Time,2018-10-21,Yes,No,No
542,Yes,Employed Full Time,2018-12-15,Yes,No,No
543,Yes,Employed Part Time,2018-05-17,Yes,No,No
544,Yes,Employed Part Time,2018-07-27,Yes,No,No
545,Yes,Employed Part Time,2019-04-12,Yes,Yes,Yes
546,Yes,Employed Full Time,2018-08-01,Yes,No,No
547,Yes,Employed Full Time,2018-08-11,Yes,No,No
548,Yes,Employed Full Time,2018-03-01,Yes,No,No
549,Yes,Employed Full Time,2019-04-20,Yes,No,No
550,Yes,Employed Full Time,2019-01-18,Yes,No,No
551,Yes,Employed Full Time,2019-01-22,Yes,No,No
552,Yes,Employed Full Time,2019-01-28,Yes,No,No
553,Yes,Employed Full Time,2017-08-20,Yes,No,No
554,Yes,Employed Full Time,2019-01-23,Yes,Yes,No
555,Yes,Employed Full Time,2018-10-10,Yes,No,No
556,Yes,Employed Part Time,2018-04-12,Yes,No,No
557,Yes,Not employed,,No,No,No
558,Yes,Employed Full Time,2018-12-18,Yes,No,No
559,Yes,Employed Part Time,2018-11-30,Yes,No,No
560,Yes,Not employed,,No,No,No
561,Yes,Not employed,,No,No,No
562,Yes,Not employed,,No,No,No
563,Yes,Employed Part Time,2019-05-12,Yes,No,No
564,Yes,Employed Part Time,2019-06-01,Yes,No,No
565,Yes,Not employed,,No,No,No
566,Yes,Employed Part Time,2019-01-19,Yes,No,No
567,Yes,Employed Part Time,2018-12-06,Yes,No,No
568,Yes,Not employed,,No,No,No
569,Yes,Not employed,,No,No,No
570,Yes,Not employed,,No,No,No
571,Yes,Employed Full Time,2018-12-18,Yes,No,No
572,Yes,Employed Part Time,2017-06-15,Yes,No,No
573,Yes,Employed Full Time,2018-11-07,Yes,No,No
574,Yes,Not employed,,No,No,No
575,Yes,Not employed,,No,No,No
576,Yes,Employed Part Time,2018-01-13,Yes,No,No
577,Yes,Not employed,,No,No,No
578,Yes,Not employed,,No,No,No
579,Yes,Not employed,,No,No,No
580,Yes,Not employed,,No,No,No
581,No,Not employed,,No,No,No
582,Yes,Employed Part Time,2019-05-15,Yes,No,No
583,No,Employed Full Time,2018-11-01,Yes,No,No
584,No,Employed Part Time,2019-04-01,Yes,No,No
585,No,Not employed,,No,No,No
586,Yes,Not employed,,No,No,No
587,No,Employed Part Time,2018-12-01,Yes,No,No
588,No,Employed Part Time,2018-10-01,Yes,No,No
589,Yes,Not employed,,No,No,No
590,No,Not employed,,No,No,No
591,No,Employed Part Time,2018-09-17,Yes,No,No
592,No,Not employed,,No,No,No
593,Yes,Not employed,,No,No,No
594,Yes,Not employed,,No,No,No
595,No,Not employed,,No,No,No
596,No,Employed Part Time,2018-07-01,Yes,No,No
597,Yes,Not employed,,,,
598,Yes,Not employed,,,,
599,Yes,Not employed,,,Yes,Yes
600,Yes,Not employed,,,Yes,Yes
601,Yes,Employed Full Time,2018-10-22,Yes,,
602,Yes,Employed Full Time,2019-04-05,Yes,,
603,Yes,Employed Full Time,2019-04-05,Yes,,
604,Yes,Employed Full Time,2019-01-04,Yes,Yes,Yes
605,Yes,Employed Full Time,2018-12-17,Yes,Yes,Yes
606,Yes,Employed Full Time,2018-12-17,Yes,Yes,Yes
607,Yes,Employed Full Time,2019-01-04,Yes,,
